a05956cb65927a1f236e56cd064a77198e2395df646ca9d41a064a25387ff638,559c49889ac865eca2fb03497c257106452ca9a96eca82b4503097b03b5ed4d4,72c29613913073cd8ad76e5e0e045d3f537a41133fc9201cc490501ee52c94b3,208de3bed2067a50265e5710762388d214436d85d89e125bf27567299d5e3e2f,1c334f569a84dfbbedcbe31effc533720e0b11f80aad29e890d6bbeea4de7e7b,7bdd8b20b40520f8a958a5aceb92f22322eb4c7cdc51cc8c09748135efde802a,4fa95611b73621123fbe5e0f4ce4af6f4900b05773169e01da6b33781390cf2b,05381cfee0098a2f2bbcbd24275bfdbc46b29bf7faee78f6e38a33d9b10ffa71,39045b0bcacaece81bedaf4c974c37bc30070a285b45a6b1aac74213264b2b05,94ab285946d9f5049f7ad9d792038b6590e20bea3cb3de64dc3c59fde9d6d676,3f5b57cfd3dec21529598cfbca61ccbd6d303be69e74994dbaac816146463d4c,0fc3fce51cc9741374e2086df91299ae55542969780658d2da0ed9b70cf14df5,9378ce2e65edf85e3183c05341c2e1fb24cd9f3c304e322232b8ffd1c2beb250,ce0fb206248dfb5f22d81332d932c39032e166dbc0b14d43584786a01747c9ca,6e7ff619ed879681abe6293c5d482f43e73dfe46fcd9fe42afccacd29c239146,61794046e621edaaddfd2b3f959c6610e9d72793257c7d2b3920887ac8d0d284,34f8a4b6cd50bc8c8ee127a6767cfc20173d8b3740d2e30eca66ce4e4702a518,ec23ca3959f69ed3768edf6ac2cc86078af49367cf1abb57ca55b0e5bfc2cd96,38a7d825ff5e823e9ea44c0d3ffc7894feb5ee02730424399657caa637ca5aa2,c0d41c19ef37447b0e9c3cab3535249551380d4a57aad4440607e1609a66d896,1e7604e7ab39854fbc44b76d2fc821416734b16a25bdc19a1b683f7fbc4d5b59,3c72ecb723269e616058c62a7fc0be28b364f8edba23b38c932e7a0273424017,f15e1852cb234916cd8886fbd78eca20c9ea4f34206abd628a7c6e0023f2f749,a41fd47cda1c5f38fe9faef5ae3326e37a6464f567987e53a368ec7014bb006b,a96b5d93a93a3467777d1c75f0011ce57091e90e16ab3c365d7206ada8ecd533,ccac6d14b9fafe1479e8bcf2ca19d7d5f349e818a978515ecd998328103c2a96
"0","","103171","0","bgm_MC022","0","105630102","105630101","0","105630103","0","","0","","","0","0","0","0","bgm_MC022","105630105","90","105630104","15063001","150630011","1"
"0","","103171","0","bgm_MC022","0","105630202","105630201","0","105630203","0","","0","","","0","0","0","0","bgm_MC022","105630205","90","105630204","15063002","150630021","1"
"0","","103201","0","bgm_MC022","0","105630302","105630301","0","105630303","0","","0","","","0","0","0","0","bgm_MC022","105630305","90","105630304","15063003","150630031","1"
"0","","103201","0","bgm_MC022","0","105630402","105630401","0","105630403","0","","0","","","0","0","0","0","bgm_MC022","105630405","90","105630404","15063004","150630041","1"
"0","","103171","0","bgm_MC022","0","105630502","105630501","0","105630503","0","","0","","","0","0","0","0","bgm_MC022","105630505","90","105630504","15063005","150630051","1"
"0","","103201","0","bgm_MC022","0","105630602","105630601","0","105630603","0","","0","","","0","0","0","0","bgm_MC022","105630605","90","105630604","15063006","150630061","1"
"0","","103201","0","bgm_MC022","0","105630702","105630701","0","105630703","0","","0","","","0","0","0","0","bgm_MC022","105630705","90","105630704","15063007","150630071","1"
"0","","103201","0","bgm_MC022","0","105640102","105640101","0","105640103","0","","0","","","0","0","0","0","bgm_MC022","105640105","90","105640104","15064001","150640011","1"
"0","","103171","0","bgm_MC022","0","105640202","105640201","0","105640203","0","","0","","","0","0","0","0","bgm_MC022","105640205","90","105640204","15064002","150640021","1"
"0","","103171","0","bgm_MC022","0","105640302","105640301","0","0","0","","0","","","0","0","0","0","bgm_MC022","0","90","0","15064003","150640031","1"
"0","","103171","0","bgm_MC022","0","105640402","105640401","0","105640403","0","","0","","","0","0","0","0","bgm_MC022","105640404","90","105640405","15064004","150640041","1"
"0","","103171","0","bgm_MC022","0","105640502","105640501","0","105640503","0","","0","","","0","0","0","0","bgm_MC022","105640505","90","105640504","15064005","150640051","1"
"0","","103201","0","bgm_MC022","0","105640601","105640603","0","105640602","0","","0","","","0","0","0","0","bgm_MC022","0","90","0","15064006","150640061","1"
"0","","103171","0","bgm_MC022","0","105650102","105650101","0","105650103","0","","0","","","0","0","0","0","bgm_MC022","105650105","90","105650104","15065001","150650011","1"
