f61340528de9bec02bb0450c75896bb6a882fd47b9981786894e2b3ad61d3f4a,4cca25c965607bb33b3786a6c7116053c9a0e00a741df18b1d835976315cfd5a,b04dde101d864c3b743c0ed1a23a8eaa654529001d508f179772ac07b7d23949,5eb056071ea4e2912ab3c8c26cac4155085ad89ede029656e41b12132ed5dffa,766d99555eb7a236acd861549120ed4f6d861a033712a19927204d66a25582f6
"0","0","1","0","0"
"0","0","2","0","0"
"0","0","3","0","0"
"0","0","4","0","2"
"0","0","5","0","2"
"0","0","6","0","2"
"0","0","7","0","3"
"0","0","8","0","3"
"0","0","9","0","3"
"0","0","10","0","4"
"0","0","11","0","4"
"0","0","12","0","4"
"0","0","13","0","0"
"0","0","14","0","0"
"0","0","15","0","0"
"0","0","16","2","0"
"0","0","17","2","0"
"0","0","18","2","0"
"0","0","19","3","0"
"0","0","20","3","0"
"0","0","21","3","0"
"0","0","22","0","3"
"0","0","23","0","3"
"0","0","24","0","2"
"0","0","25","0","2"
"0","0","26","2","0"
"0","0","27","2","0"
"0","3","28","0","2"
"0","3","29","0","2"
"0","0","30","2","3"
"0","0","31","2","3"
"0","0","32","3","3"
"0","0","33","3","0"
"0","4","34","0","3"
"0","0","35","0","0"
"0","0","36","2","2"
"0","0","37","2","2"
"0","0","38","3","4"
