766d99555eb7a236acd861549120ed4f6d861a033712a19927204d66a25582f6,5eb056071ea4e2912ab3c8c26cac4155085ad89ede029656e41b12132ed5dffa,f61340528de9bec02bb0450c75896bb6a882fd47b9981786894e2b3ad61d3f4a,4cca25c965607bb33b3786a6c7116053c9a0e00a741df18b1d835976315cfd5a,b04dde101d864c3b743c0ed1a23a8eaa654529001d508f179772ac07b7d23949
"0","0","0","0","1"
"0","0","0","0","2"
"0","0","0","0","3"
"2","0","0","0","4"
"2","0","0","0","5"
"2","0","0","0","6"
"3","0","0","0","7"
"3","0","0","0","8"
"3","0","0","0","9"
"4","0","0","0","10"
"4","0","0","0","11"
"4","0","0","0","12"
"0","0","0","0","13"
"0","0","0","0","14"
"0","0","0","0","15"
"0","2","0","0","16"
"0","2","0","0","17"
"0","2","0","0","18"
"0","3","0","0","19"
"0","3","0","0","20"
"0","3","0","0","21"
"3","0","0","0","22"
"3","0","0","0","23"
"2","0","0","0","24"
"2","0","0","0","25"
"0","2","0","0","26"
"0","2","0","0","27"
"2","0","0","3","28"
"2","0","0","3","29"
"3","2","0","0","30"
"3","2","0","0","31"
"3","3","0","0","32"
"0","3","0","0","33"
"3","0","0","4","34"
"0","0","0","0","35"
"2","2","0","0","36"
"2","2","0","0","37"
"4","3","0","0","38"
