934fa8ae4b22803ad60fa899156ae3046b37bdd2f7c33934387ed337c581e072,21a2d2128a20fc3ab59933651ad38adfefca0ef628ad8c25e9d0bde610fde36f,b5f8a91d2ff6f764f9365d93bb2f8607099b64f6c418ed68238ce267eb0a2307,0ca0388d46f3cc615ea8b54b307893b659085f8988f5988bb48ec8bef7a2082c,5c2df3e4777a95412897e2c39f8d1ff8214bafaca193854af03684a6858bc927,6fb059b22f2ae10d39afa435f4de0ece563f9ab9475522bec5fc704934629198,96d209ac6c0018d80d62116c06dab6fb2420821784b44c1abbea54f02a2ddd6c,2359db578239b69943d30c8f2a6de839c3f72d33c10d1af308dd96355ac4a4c0,163406c19426b7ea7391d32fc00494e9c823dc696e69c2ddb3ec2b66039918bb,e80dc95c787547111748768bae576d54f1df77ee6047477b9c42fb53c4a709db,4062c71ab053b0ee384ae8c4901d788452a6eeb1604f555b07981abbb18a6621,1307344feccbb5ac428b92f7c46c58483952a7ceaa5fe2714decd247d2cc240d,837cd10073cda17aef4a53c0656be565018481aad1c41e1fbbc13ec50166155c,7aabd2c30184eb6a4f7dc74dc8527b2053e0a88ae70455c7cd2b76e994d188b8,6f142bd2d9455c81e91a3ec3efd536db78aa0acc4d71cbd73881be5e2ac04b1c,06e690ac2f6cf6270638fe86510ddf27fe109455558f8fa3b3c629ca6b628af1,2ac66bc110d809ba3eaae7136769bcf451278ab6e929698ea2fad1aef6945d7a,c6d1ab7e63cab8056de39a71e1a24567670a346f52b1271008573f3853a55584,d9190f76f256453c7d40f96c3fb9135607067ad5c3046f5373dd51aa771ec147,d0bb57b5768187b37f7f80e7cdf3d2f363ea74c51483f8812ba4647f3591d7f1,2750a222657912432349715b46885dda7e8474a55e91a5d99ebd64eac6343492,5272109762076cf9753858f77004235db8dc627057c50c4e35c0e743acf1984d,2d3102d124414a6705c818804f9a9918909cbce968f87a6b776245f0ee36d04e,c43b35685ef30efc840351356b79176d740da52c9c2340d351cf6ef2f6c34eef,76c76c01b81365fe7b7df0a972b4f9e8e3f78b9c58a989ff184ffc811c977798,fc8d2bef967018358f710b8f4d589127f24fc5c5061c2b42422cef317e9db7e7,7b0085ab5964085915ef8ac90d5162bcfed7263f5b1a1cb58734f41d07dcdc7b,4a01be7aeb23d7451d3a672bab5264c130c89fab445dba1c27e80bac1cad14f2,788caffa5a3c377b926585128ab68165ea1ef8a1e552ebdf47dfe6c630df323f,2bd7ca2beb7775cb3cf40ef0ce3e76a7ff0e0b31caec05f217fbbf343f707f31,76bcb613aee6a2f6a2870f2b005384a51bfee10d6185e2d06a65000a5d07e41a,9f8c9ac4efaee6201b6601804b13fcb2ff96c114250e9ee07950d78fd14675b5,328398f334fe2095e6dfc03f232ca1f7a384c4dcb0364f7662449bbe6e19c88e,5524c391f98cba5fccebaeb297d960d05a744563aba9b59efa2e490781ec86c3
"1119","0","1060","1279","1078","1211","0","0","1120","0","0","0","1","1272","0","1118","1253","為了能夠進入特別的餐廳用餐，貪吃佩可組成了這個公會。主要的目的是邊走邊吃。","1210","1804","美食殿堂","1058","0","1076","1806","1805","0","1155","1075","0","1058","0","0","1059"
"1801","0","1003","0","1087","1288","0","0","1802","0","0","0","2","1287","0","1803","1289","公會長是日和，並以助人為中心活動著的公會。但真正的目的是，實現夢見相同夢境的３人所許下的「到達索爾之塔頂端」心願","1226","1140","破曉之星","1001","0","1089","1225","1156","0","1224","1088","0","1001","0","0","1002"
"1212","0","1011","0","1171","0","0","0","1193","0","0","0","3","0","0","0","0","由謎樣人物・拉比林斯達所一手建立，探究世界謎團的公會。經營著可麗餅店，對外偽裝成平凡的公會。也就是俗稱的祕密結社。","0","1200","拉比林斯","1068","0","1129","0","1811","0","0","1091","0","1068","0","0","1049"
"1174","0","1054","0","1139","0","0","0","1172","0","0","0","4","0","0","1322","0","由單人偶像的望所組成，以歌舞（來與日常中產生的悲傷心情）戰鬥的偶像公會。以Live的演出為主要活動內容。","0","1173","慈樂之音","1029","0","1116","0","1248","0","0","1084","0","1029","0","0","1042"
"1228","0","1036","0","1113","0","0","0","1808","0","0","0","5","0","0","1307","0","由感情良好的３人組所創立，實際上是非公認的公會。演著公會戲碼，實際目的只是想到處玩。","0","1229","小小甜心","1020","0","1112","0","1227","0","0","1111","0","1020","0","0","1004"
"1807","0","1040","0","1135","0","0","0","1167","0","0","0","6","0","0","1284","0","由精靈族來管理、守護森林，歷史悠久的公會。管理著只有精靈之森才採得到藥草，並守衛著森林。","0","1221","森林守衛","1015","0","1134","0","1246","0","0","1107","0","1015","0","0","1012"
"1117","0","1006","0","1081","1240","0","0","1082","0","0","0","7","1271","0","1199","1262","伊莉亞與魔族少女們所組成的公會。其名與伊莉亞當年所統領、和眾神為敵並且展開戰鬥的魔族最強軍團的名字相同。","1241","1137","惡魔偽王國軍","1044","0","1007","1220","1138","0","1209","1031","0","1044","0","0","1022"
"1143","0","1037","0","1136","0","0","0","1141","0","0","0","8","0","0","1239","0","身為蘭德索爾的國軍，其活動目的為保護「王宮」及皇族，以及完成所接受到的聖令。另一身為守護街上治安的警察組織的身分也十分強悍。","0","1236","王宮騎士團（NIGHTMARE）","1047","0","1115","0","1238","0","1242","1005","0","1047","0","0","1071"
"1103","0","1023","0","1086","1308","0","0","1085","0","0","0","9","0","0","1213","0","雖然是孤兒院，但買賣的範圍也做得相當廣。身為王宮護衛時的每一天，自覺找不出其價值的咲戀，為了想幫助他人，於是帶著這樣的心情組成了公會。","1275","1121","咲戀育幼院","1028","0","1077","1232","1145","0","1809","1021","0","1028","0","0","1025"
"1122","0","1014","0","1104","1298","0","0","1106","0","0","0","10","0","0","1160","1310","保護同為【動物苑】的夥伴免於魔物們的威脅的武鬥派公會。同時也從事著「闇影」異變的調查及解決。與【王宮騎士團】的關係水火不容。","1285","1157","哞哞自衛隊","1010","0","1105","1231","1159","0","1177","1017","0","1010","0","0","1043"
