c6a477f93ae5d71e4e8b2862f500ce840eed7b8fa210cffe40ce3587bf464231,e3a05e0ef0cafa94a133dfc28db75cc422fb73664dc503abaa5313787f1acb98,db4de3da3b1e6852f2768ac4f7dc56706cd9a07074886fcaf60a2098cdea6856,6441b27da41a344ef20dfd2ba9bcab8e6de0a2a8f431e7a30d866f59f4aa69f3,c14b311e17ef3b1ab2af433c70638fcb44d2330948c0664614f034f589b62289,374496f2842491ac5c6d2756e3bf6b2400ae686ca04ab53f61248e2569bf8134,d45565c551669fd711dd66b7d929e7b1164ce81e650880f2fd33b406a7affeec
"1","0","獲得料理活動","0","3","0","1"
"2","0","獲得骰子活動1","0","1","0","2"
"3","0","獲得骰子活動2","0","2","0","2"
"4","3","跳過計算回合數","0","0","1","3"
"5","2","里程+100%","1","100","0","4"
"6","2","小遊戲里程+100%","1","100","0","5"
"7","3","商店打折活動","1","300","0","6"
"8","3","商店打折活動","1","300","0","6"
"98001","3","跳過計算回合數1","0","0","2","3"
"98011","3","跳過計算回合數1","0","0","1","3"
"98012","3","跳過計算回合數2","0","0","2","3"
