8891f5a1bcfa62c030ca7a8a77ae950ac53cbc43a4c4c5cd60d1f87db8a34358,2c3f0c866e7c65688613464fdeaec6225cd250adefea956a8b95640389724f04,9a8a9bc2877097e14865ffbeb289a1fd529b421dcf29fa203cf1f1cfdd2c7f1b,1410fc9a8d82203ecc598ac574786d5fc40bbb37af0d5dd293a22a5419bcb400,c5f6a9e5ff50997bee9e858ffcb90a14c0ee60a2a63ba7a77a4a236cc0f755f9,c414054167c00f57fe60a7bf84fb26b0295d94f1f3f5f97a113f15bc779d54de,e56ce94dbc283fce4f51ce6dd17554c03a54612ec26095c0d97f55eb9757a9ba,5f722f75f17c7c4b5a0cf9184830978e38b442f9c69c066b46b77632c4e7d5c9,e040a5e4441c91884cb2397a03c149156168d9963afcd63f5e09989dc8adc570,ed643a22236bee0f3287e006947ae01d1c067b101a5b44b02c0bb66f62fb1ed3,44c86a3a2b583bcfb123a9b961f3cc14ee8c1706153e6c84024cc693fb97735d,2b58f6ae3c9b6ff9daecc3478905f9342ea00d07e9f6b765a064d96d18dc624b
"1","0","21","0","0","0","0.05","29","0.025","25","270","0"
"2","0","20","0","0","0","0.05","28","0.025","24","261","0"
"3","0","19","0","0","0","0.05","27","0.025","23","252","0"
"4","0","18","0","0","0","0.05","26","0.025","22","243","0"
"5","0","17","0","0","0","0.05","25","0.025","21","234","0"
"6","0","16","0","0","0","0.05","24","0.025","20","225","0"
"7","0","15","0","0","0","0.05","23","0.025","19","216","0"
"8","0","14","0","0","0","0.05","22","0.025","18","207","0"
"9","0","13","0","0","0","0.05","21","0.025","17","198","0"
"10","0","12","0","0","0","0.05","20","0.025","16","189","0"
"11","0","11","0","0","0","0.05","19","0.025","15","180","0"
"12","0","10","0","0","0","0.05","18","0.025","14","171","0"
"13","0","9","0","0","0","0.05","17","0.025","13","161","0"
"14","0","8","0","0","0","0.05","16","0.025","12","152","0"
"15","0","7","0","0","0","0.05","15","0.025","11","143","0"
"16","0","6","0","0","0","0.05","14","0.025","10","134","0"
"17","0","5","0","0","0","0.05","13","0.025","9","125","0"
"18","0","4","0","0","0","0.05","12","0.025","8","116","0"
"19","0","3","0","0","0","0.05","11","0.025","7","107","0"
"20","0","2","0","0","0","0.05","10","0.025","6","101","0"
"21","0","0","0","0","0","0","0","0","0","1","0"
