63cd5e2c14150896206ee8818c6b5537e56b8937cdc5488270553f5cdd0035f3,0a7e70e4ae3a3b2abd7027161be5ac9c05acb3be555fbf787ca2d104b825ce92,e47e0136caa922db41d049886bc3b2cce09fdbcc454342e6e7f796ff2f2d407c,085686cb808c5ba7aa39e482c761afadecab9cef0a016db3ff3f37df83940b92,150a846cca92dfb2aa5e10e642df90af21d6ef614a1134688a2b97da3456fa5c,97668855af98555f1f66e56b7fc8913bef95aa5a7983dfe9b807946d5314bc80,83f44b81dedfdbde4160af2a679473cd5037fca782e879a0cb1ed7b6890b4e6e,cd2ac85af2908c39743fa12bfc1847330563d1870be08d5fdf91a2f67d1238ab,38e3ee307ab45b199e8dcdc9a3b2fc8ae348c4ee6d0852bdc79804ef22df9716,26dcd56ff1d4e332b4aedb4cc4523d45a8c7302f7086722d62264291f5afba25,74339a0b47d9f22f50f6923e9ff6c87dca93f51fb4d5ef4b8450e2d87172e45e
"5","1101010001","53","0","0","1","1","1","empty","10101","0"
"5","1101010002","56","0","0","2","101000","1","empty","10101","0"
"5","1101010003","70","0","0","3","101000","1","empty","10101","0"
"31","1101010004","0","","1","0","101000","0","","10101","0"
"31","1101010005","0","","1","1","101001","0","","10101","0"
"31","1101010006","0","","1","2","101002","0","","10101","0"
"31","1101010007","0","","1","3","101003","0","","10101","0"
"31","1101010008","0","","1","4","101004","0","","10101","0"
"31","1101010009","0","","1","10","1","0","","10101","0"
"31","1101010010","0","","1","30","3","0","","10101","0"
"91","1101010011","","","","0","0","","","10101",""
"32","1101010012","","","","1","0","","","10101",""
"32","1101010013","","","","1","10","","","10101",""
"3","1101010014","0","","","getDish_1_in","2","0","","10101",""
"93","1101010015","","","","0","0.2","","","10101",""
"3","1101010016","0","","","getDish","1","0","","10101",""
"3","1101010017","0","","","getDish_1_B","2","0","","10101",""
"3","1101010018","0","","","getDish_1_F","3","0","","10101",""
"32","1101010019","","","","1","1","","","10101",""
"32","1101010020","","","","1","3","","","10101",""
"93","1101010021","","","","0","7.2","","","10101",""
"101","1101010022","","","","1","1101010023","","","10101",""
"35","1101010023","","","","1","2","","","10101",""
"32","1101010024","","","","1","2","","","10101",""
