d2e605415f139beca30a695d0e6ef992aba01cb085c41d5cbb1e726487ea54aa,2dab1efce72b38559e29f2b3ce52e8c6881a89e22b1b6caeeb39bfa72cd59f50,801cf61fa9a310acfb9925ee8c95bf8be8f04943dce8d4bf488d2a459e95b85e,316ff06080f702f81425406d4a8b544fb06480f65ef1662b0858e9d6e63937db,3f45154b3679c3152c433c5d36a967b27b26222ea0d74988bbf3e03d79c4231e
"1","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","92407010","火屬性獎勵特大幅度提升"
"2","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","92407010","提升物理防禦力（不可降低）"
"3","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","92407010","提升魔法防禦力（不可降低）"
"4","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","92407010","賦予TP上升的上限"
"5","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","92407010","降低HP吸收"
"6","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","92407020","火屬性獎勵特大幅度提升"
"7","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","92407020","提升物理防禦力（不可降低）"
"8","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","92407020","提升魔法防禦力（不可降低）"
"9","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","92407020","賦予TP上升的上限"
"10","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","92407020","降低HP吸收"
"11","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","92407030","火屬性獎勵特大幅度提升"
"12","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","92407030","提升物理防禦力（不可降低）"
"13","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","92407030","提升魔法防禦力（不可降低）"
"14","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","92407030","賦予TP上升的上限"
"15","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","92407030","降低HP吸收"
"16","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","92407110","火屬性獎勵特大幅度提升"
"17","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","92407110","傷害值衰減"
"18","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","92407110","提升物理防禦力（不可降低）"
"19","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","92407110","提升魔法防禦力（不可降低）"
"20","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","92407110","賦予TP上升的上限"
"21","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9","92407110","降低HP吸收"
"22","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","92407110","減少降低TP"
"23","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","92407120","火屬性獎勵特大幅度提升"
"24","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","92407120","傷害值衰減"
"25","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","92407120","提升物理防禦力（不可降低）"
"26","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","92407120","提升魔法防禦力（不可降低）"
