3712884a5aca8f80dec8bcd026256b21ba0643235afc8930f1ca04369fa42496,2a04a60b9eaf258b98defa766dcb157eb1e371c4bd6adc7205751e1636bab1ae,a3dbc231847a617b868424a447c982738cbd503f628b1e1875c22c86a84ef098,329f5d928ed0073a5e5e235c045b2e44000087d84e0a6a37c28ad624211f16fd,d924a541b8a38d68f8603c3b9800d0540b3eb836a96cb582f6a3c1e285208e3d,7f6719bead6acb4ef9fe95f986ef0cc63cd3332384a7ba5b4752287faa21be1e,09317592301e45ccfc7f16f8287bafdc8ac240bb1fed37adced01372c832b05d,aeb6d1fcb5446aa84c6cba530ac81ef54e36be3587426da34306b9ea60c93764,4b76ff64e509774dd78c189346e6bbaaa1c7de701e80443e2135215e17e9448c,0f6c9698fe1895d50ee2c2a8339bc0ae324d636f937ab71fe2981bfa98f9bab9,2f34445ff2c67603b2b27f78ae3fa250f50408608964a5481c1592c296e027f3,9a32d986c852783e655bcc948a88d96c0c08a155daa0b38efe45cbc7ac6f7684,01972246078a5a8ff4bcd6fcd35cd319d4973bee6b998e387dce099c23640bc5,739986603b7b4467a5e759ceb162c70714fc468a8b01da16fe8bea1dd56c29de,95f4854b7df1d9c36a782d291f4966a1daf475fae0a5bf8f4aa102ea9522c41a,b0bb2cbe186c3712f98d80f06c0feb7a5680ea175a41cb44a41b0ebf4c90fd3c,acd6e8f4141d6dbe0f9629e05287f9ca5308479c728e963a38f59bc247a3c8a0,38781c52df9ede339b61a89316ccaf6ac26ac31adcb8189b053bedfd6fba6150
"0.85","102271","0","bgm_M299","-200","0","0.85","90013","102271","76010001","26202","-200","bgm_M299","99011","-100","0","0","霸瞳皇帝的領域1層"
"0.85","102271","0","bgm_M299","-200","0","0.85","90013","102271","76010002","26202","-200","bgm_M299","99011","-100","0","0","霸瞳皇帝的領域2層"
"0.85","102271","0","bgm_M299","-200","0","0.85","90013","102271","76010003","26202","-200","bgm_M299","99011","-100","0","0","霸瞳皇帝的領域3層"
"0.85","102271","0","bgm_M299","-200","0","0.85","90013","102271","76010004","26202","-200","bgm_M299","99011","-100","0","0","霸瞳皇帝的領域4層"
"0.85","102271","0","bgm_M299","-200","0","0.85","90013","102271","76010005","26202","-200","bgm_M299","99011","-100","0","0","霸瞳皇帝的領域5層"
"0.85","102271","0","bgm_M299","-200","0","0.85","90013","102271","76010006","26202","-200","bgm_M299","99011","-100","0","0","霸瞳皇帝的領域6層"
"0.85","102271","0","bgm_M299","-200","0","0.85","90013","102271","76010007","26202","-200","bgm_M299","99011","-100","0","0","霸瞳皇帝的領域7層"
"0.85","102271","0","bgm_M299","-200","0","0.85","90013","102271","76010008","26202","-200","bgm_M299","99011","-100","0","0","霸瞳皇帝的領域8層"
"0.85","102271","0","bgm_M299","-200","0","0.85","90013","102271","76010009","26202","-200","bgm_M299","99011","-100","0","0","霸瞳皇帝的領域9層"
"0.85","102271","0","bgm_M299","-200","0","0.85","90013","102271","76010010","26202","-200","bgm_M299","99011","-100","0","0","霸瞳皇帝的領域10層"
"1.2","102891","0","bgm_M506","0","0","1.3","90013","102891","76020001","26202","50","bgm_M506","99011","-100","0","0","贊恩的領域1層"
"1.2","102891","0","bgm_M506","0","0","1.3","90013","102891","76020002","26202","50","bgm_M506","99011","-100","0","0","贊恩的領域2層"
"1.2","102891","0","bgm_M506","0","0","1.3","90013","102891","76020003","26202","50","bgm_M506","99011","-100","0","0","贊恩的領域3層"
"1.2","102891","0","bgm_M506","0","0","1.3","90013","102891","76020004","26202","50","bgm_M506","99011","-100","0","0","贊恩的領域4層"
"1.2","102891","0","bgm_M506","0","0","1.3","90013","102891","76020005","26202","50","bgm_M506","99011","-100","0","0","贊恩的領域5層"
"1.2","102891","0","bgm_M506","0","0","1.3","90013","102891","76020006","26202","50","bgm_M506","99011","-100","0","0","贊恩的領域6層"
"1.2","102891","0","bgm_M506","0","0","1.3","90013","102891","76020007","26202","50","bgm_M506","99011","-100","0","0","贊恩的領域7層"
"1.2","102891","0","bgm_M506","0","0","1.3","90013","102891","76020008","26202","50","bgm_M506","99011","-100","0","0","贊恩的領域8層"
"1.2","102891","0","bgm_M506","0","0","1.3","90013","102891","76020009","26202","50","bgm_M506","99011","-100","0","0","贊恩的領域9層"
"1.2","102891","0","bgm_M506","0","0","1.3","90013","102891","76020010","26202","50","bgm_M506","99011","-100","0","0","贊恩的領域10層"
"0.9","103111","0","bgm_M646_Mode3","0","0","1.1","90013","103111","76030001","26202","50","bgm_M646","99011","-100","0","0","彌勒的領域1層"
"0.9","103111","0","bgm_M646_Mode3","0","0","1.1","90013","103111","76030002","26202","50","bgm_M646","99011","-100","0","0","彌勒的領域2層"
"0.9","103111","0","bgm_M646_Mode3","0","0","1.1","90013","103111","76030003","26202","50","bgm_M646","99011","-100","0","0","彌勒的領域3層"
"0.9","103111","0","bgm_M646_Mode3","0","0","1.1","90013","103111","76030004","26202","50","bgm_M646","99011","-100","0","0","彌勒的領域4層"
"0.9","103111","0","bgm_M646_Mode3","0","0","1.1","90013","103111","76030005","26202","50","bgm_M646","99011","-100","0","0","彌勒的領域5層"
