d8525239213dc5475fcf88d710ebcf6a258cf51dacfe593fa8a3e389b6f091d5,8faa64290caf40f9b88ee278e0478da1fe2d158b0ab9b68f07aed6b574a47fbe,0e037206f7f240dfcedb28befc17fcef435d7eec9b617bce9f1725f8afa425d9,18ea1958d9a86eb549c181bb702329e253df8ed02f88901efdb2f6f1544d43b3,89f61cba92afaed2e3263221b1118c4df41d5df0e7d2d9cbc76baaf0217255e6,46fca5892e349bfcf85a2042ec1e41c61ab62044be06d67b03aefc1480876b09,dc2a68bc5b335c644e39094bdbc45db9fe64e099d0227cbde252fb9ef4b19160
"0","","1","10008111","1","10008101","0"
"0","","2","10008115","1","10008112","0"
"0","","3","10008103","3","10008101","0"
"0","","4","10008115","3","10008105","0"
"0","","5","150","4","10008112","0"
"0","","6","10028111","1","10028101","0"
"0","","7","10028115","1","10028112","0"
"0","","8","10028103","3","10028101","0"
"0","","9","10028115","3","10028105","0"
"0","","10","150","4","10028112","0"
"0","","11","20012104","11","20012104","20012107"
"0","","12","20012108","11","20012108","20012109"
"0","","13","20012110","11","20012110","20012114"
"0","","14","20012115","11","20012115","20012115"
"0","","15","120","4","20012110","0"
"0","","16","20008111","1","20008101","0"
"0","","17","20008115","1","20008112","0"
"0","","18","20008103","3","20008101","0"
"0","","19","20008115","3","20008105","0"
"0","","20","150","4","20008112","0"
