c63d33c4c77ce08b66c1d4f1edfde8b65f714f07213ff2ff6bbc31ee79769f38,1a1941a438bef13ccce957cf7492d2f083c899bbb807762926ccb23750f72566,d776b93d3aed61d78003cdc21ae2b8944e43b7478057bcb83f3ab5d809686c12,7f8927fe1200756c6a6ef97aaf9113e15105e298bbbb52a61d06fad72320a2a3,e13661a40daa9a942c680659e77e19e56974185fe36e1191419e35055c6cdc10,9fba4e62b5b02e86703fc4be577a233a822549ea4e7eed82ad8a2a568064ffa7,9458b53589e345bc06dbafcce3a1ef613854bed56f4cf726c30c353f0dec7212
"0","0","獲得料理活動","0","3","1","1"
"0","0","獲得骰子活動1","0","1","2","2"
"0","0","獲得骰子活動2","0","2","3","2"
"0","3","跳過計算回合數","1","0","4","3"
"1","2","里程+100%","0","100","5","4"
"1","2","小遊戲里程+100%","0","100","6","5"
"1","3","商店打折活動","0","300","7","6"
"1","3","商店打折活動","0","300","8","6"
"0","3","跳過計算回合數1","2","0","98001","3"
"0","3","跳過計算回合數1","1","0","98011","3"
"0","3","跳過計算回合數2","2","0","98012","3"
