b93882ad57c4e840f201e701863f53bbf9601057fe524760aa8b3789a7c36f68,083eea5d467a3f479a9647f5d3c5c7313a0232510949ce297bd38348b20127ce,bbbc6c176562fef9d2fdc58dcb04eba64fdccb5ee71e500dd5d4df546b9482fd,d094543c46d592e0c37ec4ddf69f11da463f246620b9ef849777df8305ecd348
"100101","無法戰鬥的角色為0人以下時獲勝","1001","0"
"100102","無法戰鬥的角色為1人以下時獲勝","1001","1"
"100103","無法戰鬥的角色為2人以下時獲勝","1001","2"
"100201","戰鬥剩餘時間為1:15以上時獲勝","1002","74001"
"100202","戰鬥剩餘時間為1:10以上時獲勝","1002","69001"
"100203","戰鬥剩餘時間為1:00以上時獲勝","1002","59001"
"100204","戰鬥剩餘時間為0:50以上時獲勝","1002","49001"
"100205","戰鬥剩餘時間為0:45以上時獲勝","1002","44001"
"100206","戰鬥剩餘時間為0:40以上時獲勝","1002","39001"
"100207","戰鬥剩餘時間為0:30以上時獲勝","1002","29001"
"100301","我方的Total HP為100%以上時獲勝","1003","1000"
"100302","我方的Total HP為90%以上時獲勝","1003","900"
"100303","我方的Total HP為80%以上時獲勝","1003","800"
"100304","我方的Total HP為70%以上時獲勝","1003","700"
"100305","我方的Total HP為60%以上時獲勝","1003","600"
"100306","我方的Total HP為50%以上時獲勝","1003","500"
"100307","我方的Total HP為99%以上時獲勝","1003","990"
