8e962711c37fb2442291621139e0d254a9e9d67e4ce4d20b359a18428b06e590,fbbf6d5e1738458c1e221a3b4a7418aa9ae99f4170ed3dad5ae760c178e53b77,4a9ffcc5a87355565b3eb53b23a03e7a702ff7504c0716da3bb72864081635ea,6aae975f5ccf3c50529abd9e2ac4d6fa539a558e98decedaef27c1cd8076e305,2f84e4b88fa5841e6b07eab9155817710422d5f9fccc04852e5cf8b772424abf,414e43aa3bbb6305656fe39bb77bb5ab069f8e862f78a51bb5de8c08b05d3e9b,d5ffcac0d92a280d87a9d88ed3526bd7bdee7ae60ba99fc3afd47056de4f656e,e432b917028acaca86dc991249e91c1c292e94141f0a7e5861127fec191abf8a,09bfada72c1f959913ff6b8627819849ef7658760adf9da581a5e6f0df938db0,d4b468ca35ef444941ed5750417a0b89e19ba0a18a31b7028331754eecf0dd52,dcca5e0887bdc26ebfc5540995e51643bc36f768f7f3deec7633555ce6cccf75
"0","1","0","1","1","1001","0","1.3","130011","bsm_idle_yamato","100"
"0","3","1","1","130011","1002","bsm_drama_arm_crossed_loop","0.2","bsm_drama_arm_crossed","","0"
"","21","","1","vo_minigame_1014","1003","0","","vo_minigame_1014_top_1000","","0"
"0","11","0","1","130011","1004","1","0","弱肉強食很好啊。\n從正面上贏不了的時候，\n也要去想怎樣才能出乎對方預料。","1","5"
"","91","","1","0","1005","","","","",""
"","3","","1","130011","1006","","0.3","bsm_idle_yamato","","1"
"0","1","0","2","1","2001","0","1.3","130011","bsm_idle_yamato","100"
"","3","","2","130011","2002","","0.2","bsm_drama_thinking","","1"
"","21","","2","vo_minigame_1014","2003","0","","vo_minigame_1014_top_1001","","0"
"0","11","0","2","130011","2004","1","0","總有一天\n我也來教若菜，\n戰勝敵人之後\n品嘗的八鹽折的滋味吧。","1","6"
"","91","","2","0","2005","","","","",""
"","3","","2","130011","2006","","0.3","bsm_idle_yamato","","1"
"0","1","0","3","1","3001","0","1.3","130011","bsm_idle_yamato","100"
"0","3","1","3","130011","3002","bsm_drama_doya_loop","0.2","bsm_drama_doya","","0"
"","21","","3","vo_minigame_1014","3003","0","","vo_minigame_1014_top_1002","","0"
"0","11","0","3","130011","3004","1","0","作為維修員，\n布武機的技術好到像神一樣啊……\n她是我妹妹\n真的是太好了。","1","7"
"","91","","3","0","3005","","","","",""
"","3","","3","130011","3006","","0.3","bsm_idle_yamato","","1"
"0","1","0","4","1","4001","0","1.3","130111","bsm_idle_wakana","100"
"0","3","1","4","130111","4002","bsm_drama_guts_loop","0.2","bsm_drama_guts","","0"
"","21","","4","vo_minigame_1014","4003","0","","vo_minigame_1014_top_2000","","0"
"0","11","0","4","130111","4004","1","0","雖然很對不起\n各位參加者……\n但是為了還錢，\n我要贏下這場比賽！","1","8"
"","91","","4","0","4005","","","","",""
"","3","","4","130111","4006","","0.3","bsm_idle_wakana","","1"
"0","1","0","5","1","5001","0","1.3","130111","bsm_idle_wakana","100"
"","3","","5","130111","5002","","0.2","bsm_drama_wish","","1"
"","21","","5","vo_minigame_1014","5003","0","","vo_minigame_1014_top_2001","","0"
"0","11","0","5","130111","5004","1","0","雖然這樣說\n有點那個……\n但是姊姊看起來很開心，\n我也很高興。","1","8"
"","91","","5","0","5005","","","","",""
"","3","","5","130111","5006","","0.3","bsm_idle_wakana","","1"
"0","1","0","6","1","6001","0","1.3","130111","bsm_idle_wakana","100"
"","3","","6","130111","6002","","0.2","bsm_drama_pazzled","","1"
"","21","","6","vo_minigame_1014","6003","0","","vo_minigame_1014_top_2002","","0"
"0","11","0","6","130111","6004","1","0","要怎麼樣\n才能讓布武機\n吃蔬菜呢……\n要、要更強硬一點……？","1","7"
"","91","","6","0","6005","","","","",""
"","3","","6","130111","6006","","0.3","bsm_idle_wakana","","1"
"0","1","0","7","1","7001","0","1.3","130211","bsm_idle_fubuki","100"
"","3","","7","130211","7002","","0.2","bsm_drama_smile","","1"
"","21","","7","vo_minigame_1014","7003","0","","vo_minigame_1014_top_3000","","0"
"0","11","0","7","130211","7004","1","0","對戰對手的工作是～\n替我們\n搬運獎金過來♪\n請多指教囉～♡","1","5"
"","91","","7","0","7005","","","","",""
"","3","","7","130211","7006","","0.2","bsm_idle_fubuki","","1"
"0","1","0","8","1","8001","0","1.3","130211","bsm_idle_fubuki","100"
"","3","1","8","130211","8002","bsm_drama_doya_loop","0.2","bsm_drama_doya","","0"
"","21","","8","vo_minigame_1014","8003","0","","vo_minigame_1014_top_3001","","0"
"0","11","0","8","130211","8004","1","0","倭姊已經\n穩拿第一了啊～♪\n把獎金全部拿走\n也沒關係吧～？","1","7"
"","91","","8","0","8005","","","","",""
"","3","","8","130211","8006","","0.2","bsm_idle_fubuki","","1"
"0","1","0","9","1","9001","0","1.3","130211","bsm_idle_fubuki","100"
"0","3","1","9","130211","9002","bsm_drama_laugh_loop","0.2","bsm_drama_laugh","","0"
"","21","","9","vo_minigame_1014","9003","0","","vo_minigame_1014_top_3002","","0"
"0","11","0","9","130211","9004","1","0","把大哥哥當子彈\n射出去的武器，如何啊～？\n呀哈哈，感覺很弱呢～♡","1","7"
"","91","","9","0","9005","","","","",""
"","3","","9","130211","9006","","0.2","bsm_idle_fubuki","","1"
