7f5ba889a37be437b9ac742acc39daed08add1c7e252977231354f2191f58bbd,45aa52cd7390dd099820a455b2f5e179606f570439830ae8bc636f7e2898a878,0ba8771baaa14d3dbd1df788a0fc3d49ba5cc163dc3574900c1d86549df61ce3,b75658952ebcf8c1f699ca7b0907584225c96730ef3cd33a2b8525f439662126,aabe624af5e79397a3e9e2c315a704fa7e67bd236e92cf8d301506a3584b3233,441b6c8680d4ce7b5879eef436b73d1a5f13d7b5f33f275e2406f0e7b9a2fddc,1b8d65f43cf66d8ee47db1b956fe2037296ae2834154dd16cc3bd261b4f46946,960b00f65d16612d74b940610c3e110b8dff1cb2c99c590bb357496b4ea52c80,feb1cf01c961dde03f1e18a8ddb898d939334c319896365d5b26cb7916cefe16,112260edbac738fe797444aa1e584fa17a2e6457e4a743da54a0828cf82c309a,e55dad11c9e03a1581eb4ff75ac9b08ffa98ebd59a1e56b6b2460dfa7e282dce,3e8b1e9484244caec4c3a1fac955be79c7cbd3ccfb20debd98e0a5c9082836cb
"2022/01/03 12:00:00","20","0","20041106","91002","年輕與低燒","10074","8","100201","0","優衣的病歷　其一","1007401"
"2022/01/03 12:00:00","20","1007401","20041112","91002","感受內心的激烈鼓動","10074","8","100201","0","優衣的病歷　其二","1007402"
"2022/01/05 05:00:00","30","1007402","20041115","91002","心煩意亂的病名是","10074","8","100201","0","優衣的病歷　其三","1007403"
"2022/01/03 12:00:00","20","0","20041106","91002","預料之外的訪客","10074","8","111001","0","優妮的病歷　其一","1007404"
"2022/01/03 12:00:00","20","1007404","20041112","91002","服藥的時間","10074","8","111001","0","優妮的病歷　其二","1007405"
"2022/01/06 05:00:00","30","1007405","20041115","91002","致親愛的你","10074","8","111001","0","優妮的病歷　其三","1007406"
"2022/01/03 12:00:00","20","0","20041108","91002","奇妙的外來患者","10074","8","102501","0","鈴莓的病歷　其一","1007407"
"2022/01/03 12:00:00","20","1007407","20041114","91002","可怕的病症","10074","8","102501","0","鈴莓的病歷　其二","1007408"
"2022/01/07 05:00:00","30","1007408","20041115","91002","現代醫學的極限","10074","8","102501","0","鈴莓的病歷　其三","1007409"
"2022/01/03 12:00:00","20","0","20041108","91002","統御黑夜之人的苦難","10074","8","104401","0","伊莉亞的病歷　其一","1007410"
"2022/01/03 12:00:00","20","1007410","20041114","91002","美麗計畫","10074","8","104401","0","伊莉亞的病歷　其二","1007411"
"2022/01/08 05:00:00","30","1007411","20041115","91002","華麗課程","10074","8","104401","0","伊莉亞的病歷　其三","1007412"
"2022/01/03 12:00:00","20","0","20041110","91002","不可視之敵","10074","8","100901","0","杏奈的病歷　其一","1007413"
"2022/01/03 12:00:00","20","1007413","0","91002","被封印的魔法","10074","8","100901","2004101","杏奈的病歷　其二","1007414"
"2022/01/09 05:00:00","30","1007414","0","91002","獨眼惡魔的特別治療","10074","8","100901","2004101","杏奈的病歷　其三","1007415"
"2022/01/03 12:00:00","20","0","20041110","91002","骷髏驚喜","10074","8","103101","0","忍的病歷　其一","1007416"
"2022/01/05 05:00:00","30","1007416","0","91002","向迷惘少女伸出援手","10074","8","103101","2004101","忍的病歷　其二","1007417"
