1314b691077d433fc4909e4af459169004a3098ce792fc22519809576fbe79d4,ac8dabd69662704ba2098d4d9903c79de6c5b6f74db2667b496692297fd8417a,67ecd58f776b2a83129f66050856826aa0f85a47cb31eb021d19bec7c11765ea,291a845fa5b7f2c8820a7fe3299973912c4e186b1cef2d1cd94ddb49b74686da,5ea13407b8cb38d3525f0d8eb89eeb1603c1dea3f41bbf3df397b6a2c34d62d2,aed9d5eeb4d675cd4ae95a5d58fb2476b2e93a62541a882e6a1a9a94e65b0660,01848486f9f1f0fec4c2a6f293dae8fa4626596e84c27fd7bb073631b208edbf,f86429822e65e51ad3fa297ef1930d5cd82012833a05ae0f765ef607d925cee2,aab3e104962b9e62244535d19b39f01df86d66caf1238883ef087f8379aa9c8c,600b53dbef38a4a4c19aa5ecfc25edba6f0f5500e9599021724bc0c9eab9a00b,0a1592cbe8327baf59351215ac0c7f8bdf568220a2ccaa105dee33625abed72d,0437cf9525345e912b52a690abcedfae352dbd08e646c6142a5cb7e0bb9d9bd3,0b2e020ba8b33172c044eea42ee5e03b2432b12b5511d81fd0c9c47077c3a3b9,e2915964757c739fd22f754dbc31698521ac5d057ac2c165c12954857d251e96,cd50a73c689b8a2776ad3aa2e4d63302eb7285dd2a8456b68cbbb1e98f047d2e,8df7827fe78c2fe09c9dc548436108283fae612ae894fd0ea7c086ba7023b6b3,d0a913ade35373ae6774c6a4a9b8c5ebf7435ba680b0ff96141bdae714702b8f,1556fc99654dd45acf15df961579aa1df6d18e78148bac2aadb11d33a56df843,ade600cf649861c71484d6a2dd4b8f32e6c9594a813c31e687bfde9547faba92,3c601f60d6129ff8c403e0c2fc1a9669e375d45d91104ffb40d4af5c03c023c4,01544f7fea8746979e8431c30bd9eb640f6daa6fac13540f3d86dc5944dfa400,5d3b5f82317422bd5c3ec9a5a203d1adbe5c0d542832611d200b462ec2b0a989,213b463b94f9a7ee0a1d92582cd9a61310ad02c1dc48cbfc26f591a62cefbe18,cee13d2a2be2ac9dca8e3136a1ccfbffcad8f568b3c4832af18eb862e768a774,4d253a7a7afcd9b0eced23594ba0cbbb7972190db46e8b4ebfcf99cc61304f3f,a90eb73c305f8021079173a29a1ca8594965bde3351e7ceda8733de140feafc7,dc66226a34829ac92e1b7e43959d8ee312658e0b6ed7a11eb100190d2cbd5d92
"1","0","0","0","0","公主突襲車１號","1","0","0","201010","1","2010100","2010100","3010100","0","0","0","0","1010101","0","0","101","0","0","0","0","0"
"2","0","0","0","0","深淵戰車Mk－１","2","0","0","201020","1","2010100","2020100","3050101","0","0","0","0","1040101","0","0","405","0","0","0","0","0"
"3","0","0","0","0","第一可可蘿丸","3","0","0","201030","1","2040100","2040100","3040100","0","0","0","0","1030101","0","0","315","0","0","0","0","0"
"4","0","0","0","0","冰龍加速‧一重","4","0","0","201040","1","2020100","2020100","3020101","0","0","0","0","1020101","0","0","211","0","0","0","0","0"
"5","0","0","0","0","勇往直前號‧壹式","5","0","0","201050","1","2040100","2040100","3030101","0","0","0","0","1010101","0","0","106","0","0","0","0","0"
"6","0","0","0","0","小槌子亂揮１號","6","0","0","201060","1","2020100","2020100","0","0","0","0","3040101","1050101","0","0","506","0","0","0","0","0"
"7","0","0","0","0","大章魚燒丸‧阿爾法","7","0","0","201070","1","2020100","2010100","3010101","0","0","0","0","1030101","0","0","315","0","0","0","0","0"
"8","0","0","0","0","火箭戰車α","8","0","0","201080","1","2040100","0","3010102","0","4030102","2040100","0","1030101","4030102","0","310","0","0","0","0","0"
"9","0","0","0","10501100","創雷夜轉‧第一位階","9","0","0","201090","1","0","0","3010100","0","0","0","3010100","1050101","0","0","501","0","0","0","0","0"
"10","0","0","20301010","0","真摯維拉１","10","0","0","201100","1","2030100","2030100","3030101","0","4020102","0","0","1010101","0","0","102","0","0","0","0","0"
"11","0","0","20301010","0","垃圾維拉１","11","0","0","201110","1","0","2030100","3010101","0","0","0","0","1010101","0","0","103","0","0","0","0","0"
"12","0","0","20201010","0","青銅翻滾","12","0","0","201120","1","2020100","2020100","3040101","0","4030102","0","0","1030101","0","0","313","0","0","0","0","0"
"13","0","0","20301030","10201050","耕耘機α","13","0","0","201130","1","2040100","2030100","3020102","30202015","0","0","0","1020101","0","0","210","0","0","20401030","0","0"
"14","0","0","20201010","10401075","萬化黑鐵‧壹式","14","0","0","201140","1","2020100","2020100","3050102","30502015","0","2020100","0","1040101","0","20201010","406","0","0","20201010","0","0"
"15","0","0","0","0","公主突襲車２號","15","0","0","201150","2","2040200","2020200","3010201","0","0","0","0","1010201","0","0","101","0","0","0","0","0"
