0af81429369b73bf76c4546811713db5d775d6ae4c9fa66f2e0327dc45b6aa19,298429abf7470c6f50053eb2ee66ebe0bd38b8221f7806291699126ff5a83920,95b6ba0002d4f98e2807a478c72c9f2bb87c32330cc155716914b6dee9bf31d9,81a952b1c0a773cf0fa8915b122e42c4052b9bd5337a1c3a73f0c0020ad66a54,e5a3d2e525fae85b1e3f41c7f44677cc9e0306f183ae6a6d9117d1d39b36b070,2b9813b8bb71283335ab7bb8be4988e5d5cb887885ef0589c0c90fd5516826bc,35eeb817da7f0e17a179833af4a6f2b980f0451ee5529eb07ae32933df07787d,888f2435295af2b2b4384ff5dce52e1da9a0d7b2a4ca7a98d2b72531600c6bcc,0602bdd1112e6c4607c1eade81be45af620cfda877002a50642d1651dd5a9d45,a265b9016faf9b681271e6afecb6b6d7a8dc2e3a27cf16dd6dfc2569c4448aed,5370517e903a3a859815abb350c7a2149e0f38f20dd960283cb8482875983861,530435a1f2680b949419d7cb5cb0459afd3dc27c94ea9514ad6414ab245f3ea9,02884daf5454a0a10acb89d19c5dd358fbc14c9305d2cfbfee7fa51cf2545216,a359c795932d37588304fa5f5165cda9aa43950c52b59f0a68564757b267d6b0,076f0fc193fb53af4f16fd3067c4cf49316c0d13ca46f41a9989545e28b1e484,656cbf8bfe0622301699142174b97d5db178457a6146a31c5c129f0895919e45,6e34bb2da129ade2ca34031b4f010b9fb89432139609d49b2323a52fd9e66334,05488712873fcc42bef7e7068f850597a647e5e3a66ea54ffd6b02422c1df719,f5160fd116c1af1ce7d5284d0c3a4d30e115b15715f2e0b697daaa598c407e4c
"12","2","0","1","5000","10000","0","0","0","0","幫忙靜流時獲得 10000pt","0","0","0","0","94002","0","0","0"
"12","2","0","2","10000","20000","0","0","0","0","幫忙靜流時獲得 20000pt","0","0","0","0","94002","0","0","0"
"8","2","0","3","50","30000","23001","5","0","2","幫忙靜流時獲得 30000pt","0","0","0","0","91002","0","0","0"
"12","1","0","4","5000","10000","0","0","0","0","幫忙惠理子時獲得 10000pt","0","0","0","0","94002","0","0","0"
"12","1","0","5","10000","20000","0","0","0","0","幫忙惠理子時獲得 20000pt","0","0","0","0","94002","0","0","0"
"8","1","0","6","50","30000","23001","5","0","2","幫忙惠理子時獲得 30000pt","0","0","0","0","91002","0","0","0"
"12","0","0","7","15000","70000","0","0","0","0","幫忙兩人合計獲得 70000pt","0","0","0","0","94002","0","0","0"
"12","0","0","8","20000","80000","0","0","0","0","幫忙兩人合計獲得 80000pt","0","0","0","0","94002","0","0","0"
"12","0","0","9","25000","90000","0","0","0","0","幫忙兩人合計獲得 90000pt","0","0","0","0","94002","0","0","0"
"12","0","0","10","30000","100000","0","0","0","0","幫忙兩人合計獲得 100000pt","0","0","0","0","94002","0","0","0"
"12","0","0","11","35000","110000","0","0","0","0","幫忙兩人合計獲得 110000pt","0","0","0","0","94002","0","0","0"
"12","0","0","12","40000","120000","0","0","0","0","幫忙兩人合計獲得 120000pt","0","0","0","0","94002","0","0","0"
"12","0","0","13","45000","130000","0","0","0","0","幫忙兩人合計獲得 130000pt","0","0","0","0","94002","0","0","0"
"12","0","0","14","50000","150000","0","0","0","0","幫忙兩人合計獲得 150000pt","0","0","0","0","94002","0","0","0"
"7","0","0","15","1","200000","91002","150","0","8","幫忙兩人合計獲得 200000pt","0","2","0","10","1113","23001","0","0"
