63cb44be90359f02fb5882a4c82930dfdca3f67e64e984bc843f1453b4d1b478,b848cddd9b48b86b79556ae02966c27c00525240fdf9a275920334335b7ff1f0,b101e552f58c1a03d587c3ef31cc023c67656764ebdf855b4cbf7a4c33591e9c,cfaecafdb3fb73fc22ed188b5a3e466fce765a277696a0277bf2de4da75f66d7,7fac91c6a2ff300b148417e57e5aaa6d3ec80faf0de912ba76477d65e0d7c3b1,96c8d84919505faeef2d439230d904fdfca315ffcf506a452b2bd4c773e97687,0b987c0bb29ed22190e108e30bf719b532b7d69d47c7f011d43e67ab1e999155,243467e8c9e1c5960160da8baa51a5dd664dba33fc693bd0d067ff15bcbc8e03,3bb0beac2b3fa519edf329335c4f28469f2165e4b7e26ae140803f00ff87afde,826be9599fb924d111fc299fd102c67ed55df89002a13f694d8b6b130054286b,44c26a02ece81b3d1020a07ec06a87933bc2c451262958feaf29a3b90f2fb029,40ea1a2683e81f57f9994e57533d59c62330d987202663d5e84d14255e48b4f8,d8e5a00122730ce40153e88b4dcbe203df32f9306517937ce1d1f159ac0931cf,18878ab35ff0e4422fd62c3cfacf911dedccdde28a2cbeeefb49a5be00b023b6,1f267baddd0225c726a9d333f23f1094dc3066cab820d81852209848174921f8,77afcf33c3bbae93dff1c71ffa8adadaece0df0e6633c39e51c8a7dda1874e1c,a388d5d9efd008119c8a55543b31a0356e560784ae10584388ce4d2477ecfdf8,3877f5fb12e5b102e2ca7d31a6320507e527ea58520262f6d2df108f80a7bfb0,3bb366a2fc06c86fbeacdb5db9d5241ccd74539cad15e2d92c14452d4531009c,866f0e1f69cbbee11dcc8faf810c8a560e4ff33687312d31ed5ea1dbd8cd5eb5,61befb1c5e957877d7be5f560ebaaecc31bd5676495b9ff249e1cca34ebcb823
"0","0","1","30","3","1","2.4","0","1","100100101","0","單體物理傷害+{0}","0","對敵方單體造成{0}的物理傷害","1","1","30","0","-1","0","1"
"0","0","3","0","3","1","500","0","1","100100102","0","","0","","99","1","50","0","-1","0","3"
"0","0","1","13.5","3","1","1.08","0","1","100100103","0","範圍物理傷害+{0}","0","對範圍內的敵人造成{0}的物理傷害","99","2","13.5","0","400","0","1"
"0","0","1","20","3","1","1.6","0","1","100100201","0","物理傷害+{0}","0","對敵方單體造成{0}的物理傷害","1","1","20","0","-1","0","1"
"0","0","1","8","1","1","0.6","0","1","100100301","0","物理傷害+{0}","0","對敵方單體造成{0}的物理傷害","1","1","8","0","0","0","1"
"0","1","10","11","7","1","11","0","2","100100302","0","物理攻擊力提升+{0}","0","提升自身{0}的物理攻擊力","1","1","1","1","0","12","10"
"0","0","1","60","3","1","4.8","0","1","100101101","0","單體物理傷害+{0}","0","對敵方單體造成{0}的物理傷害","1","1","60","0","-1","0","1"
"0","0","1","45","3","1","3.6","0","1","100101102","0","範圍物理傷害+{0}","0","對範圍內的敵人造成{0}的物理傷害","99","2","45","0","600","0","1"
"0","0","1","20","3","1","1.6","0","1","100101201","0","單體物理傷害+{0}","0","對敵方單體造成{0}的物理傷害","1","1","20","0","-1","0","1"
"0","0","1","9","3","1","0.72","0","1","100101202","0","範圍物理傷害+{0}","0","對範圍內的敵人造成{0}的物理傷害","99","2","9","0","400","0","1"
"0","0","90","15","0","1","15","0","0","100150101","0","物理攻擊力提升+{0}","0","提升自身{0}的物理攻擊力","0","0","1","0","0","1","2"
"0","0","90","240","0","1","15","0","0","100151101","0","物理攻擊力提升+{0}","0","提升自身{0}的物理攻擊力","0","0","1","0","0","1","2"
