9479c603a4e7da74d7b3d27d777fb991df7062a6f37b9274539f3693a025fbe4,29bb78c50247757796f53525a8d7bcc42246285d34c716d75cfcda6ae1a43d34,be2964de090bcf8cd981ff0de575928e284b68c5ef05245334b8b4143ed7ab46,d40dbcda0e027277025f011bc095725558224df8dacd48e80ef4389393e1b478,701a92848679285212e5c191ebbade5003351104746f7f5ad78e7f8e5e7a4576,c203f2fdfa1a09d2bff0ee6ee63fe1afbcfd8f327e3a46c29c4965dfcdc84a4b,e9b9d206622baf13b0714347ea74e3db1a80ed4297f0e495df2e5d028d9c2889,d71720f7c393cdd7592ab1399548e2af4ec6660a4f3aa1c6982dd90221d23461,7fe1fae4db7f5cabdb0c7b201c2d4ef444a4ab76724bdb675791ef22c5d06c0e,53ac9bbd23ae2aa423ee5a7954d80c11d4a0d05a86d32bf296b34066f09e5178,d1934a69f0dab4cc0c23a150e4021c332ee631396b78e93c1aa0af3e7eabd9cd,f339ebad3522de8727c6d4670a93c2eeab0e5e163f97f13f3b64265ac7a9d11d,05298671b0472b17df7ed49bf556d14256972b3e3ad77d5cd2b9e04339677225,ed6bb391176969e68ab0fca76fb02555832bc3830d590b7ccb0a5de95fbc321c
"0","180","-1","180","-1","-1","19","1","-1","1","1","-1","-1","0"
"0","180","-1","180","-1","-1","19","1","-1","1","2","-1","-1","0"
"0","180","-1","180","-1","-1","19","1","-1","1","3","-1","-1","0"
"0","180","-1","180","-1","-1","19","1","-1","0","4","-1","-1","0"
"0","180","-1","180","-1","-1","19","1","-1","1","5","-1","-1","0"
"0","180","-1","180","-1","-1","19","1","-1","1","6","-1","-1","0"
"0","180","-1","180","-1","-1","19","1","-1","1","7","-1","-1","0"
"0","180","-1","180","-1","-1","19","1","-1","1","8","-1","-1","0"
"0","215","-1","215","-1","-1","23","1","-1","1","9","-1","-1","0"
"0","215","-1","215","-1","-1","23","1","-1","1","10","-1","-1","0"
"0","215","-1","215","-1","-1","23","1","-1","0","11","-1","-1","0"
"0","215","-1","215","-1","-1","23","1","-1","1","12","-1","-1","0"
"0","215","-1","215","-1","-1","23","1","-1","1","13","-1","-1","0"
"0","215","-1","215","-1","-1","23","1","-1","1","14","-1","-1","0"
"0","215","-1","215","-1","-1","23","1","-1","1","15","-1","-1","0"
"0","215","-1","215","-1","-1","23","1","-1","1","16","-1","-1","0"
"0","250","-1","250","-1","-1","26","1","-1","1","17","-1","-1","0"
"0","250","-1","250","-1","-1","26","1","-1","0","18","-1","-1","0"
"0","250","-1","250","-1","-1","26","1","-1","1","20","-1","-1","0"
"0","250","-1","250","-1","-1","26","1","-1","1","21","-1","-1","0"
"0","250","-1","250","-1","-1","26","1","-1","1","22","-1","-1","0"
"0","260","-1","260","-1","-1","28","1","-1","0","23","-1","-1","0"
"0","250","-1","250","-1","-1","26","1","-1","1","24","-1","-1","0"
"0","250","-1","250","-1","-1","26","1","-1","1","25","-1","-1","0"
"0","280","-1","280","-1","-1","29","1","-1","0","26","-1","-1","0"
"0","280","-1","280","-1","-1","29","1","-1","1","27","-1","-1","0"
"0","280","-1","280","-1","-1","29","1","-1","1","28","-1","-1","0"
"0","280","-1","280","-1","-1","29","1","-1","1","29","-1","-1","0"
"0","280","-1","280","-1","-1","29","1","-1","1","30","-1","-1","0"
"0","280","-1","280","-1","-1","29","1","-1","1","31","-1","-1","0"
"0","280","-1","280","-1","-1","29","1","-1","1","32","-1","-1","0"
