b72e347fee5775309026cffad27e7341835f27c9ce5cb55ac5b33d7482d715d9,d64bc0e06267613c081d8288dfc76dbce0a2eb1f4ca0c8e6989a0464709cb478,45a7dc3d28c8940e27850a894828fe5c2cc5078bfed0f2511101e848856c267a,16c1cb5c801d4e58c610dba0f42125e60d9903a434ebeec445569baaea771e1c,4e0873f70dd1d210014112196726e1f12b7627cce8330e9e60d88a4258e05c35,edf6985f9658b248a09df09379b3ad908831ca5c8ef35f8d0f9d5dd9c59160ed,8d1a07d700ccd6743d1316734d04b8848b60c6824e513e215820fddd06067d51,30a4b8999039bc95784c83c739c494beda7acb1a355acaf3273843ec00ad9d36,47581dd01bb35e205032e9f6169a6536c6f655ceede76954ab13ee55cc55739c,8002cc060f7ade18591a4ce570f7d63354eb50fccf2ea237e3ab397945fc09b8,0022f2a1b0c79373490636e8f5a1b9ff5875d51833ad047c8651eb95eba01f1b,edd586324d2a6a8ca970e383881912b6580a2a1c714ae125e742682c386f1413
"100101","3","1","100","1","1","1","1","13","-1","-1","1"
"100201","4","1","130","1","1","1","1","15","-1","-1","1"
"100301","4","1","160","1","1","1","1","17","-1","-1","1"
"100401","4","1","180","1","1","1","1","19","-1","120","1"
"100402","4","1","180","1","1","1","1","19","-1","-1","1"
"100501","4","1","200","1","1","1","1","21","-1","150","1"
"100502","4","1","200","1","1","1","1","21","-1","-1","1"
"100601","5","1","220","1","1","1","1","23","-1","180","1"
"100602","5","1","220","1","1","1","1","23","-1","-1","1"
"100701","5","1","240","1","1","1","1","25","-1","210","1"
"100702","5","1","240","1","1","1","1","25","-1","-1","1"
"100801","5","1","260","1","1","1","1","27","-1","240","1"
"100802","5","1","260","1","1","1","1","27","-1","-1","1"
"100901","5","1","280","1","1","1","1","29","-1","270","1"
"100902","5","1","280","1","1","1","1","29","-1","-1","1"
"101001","6","1","300","1","1","1","1","32","1","300","1"
"101002","6","1","300","1","1","1","1","32","-1","300","1"
"101003","6","1","300","1","1","1","1","32","-1","-1","1"
"101004","5","1","300","1","1","1","1","32","1","300","1"
"101005","5","1","300","1","1","1","1","32","-1","300","1"
"101006","5","1","300","1","1","1","1","32","-1","-1","1"
"101101","6","1","310","1","1","1","1","32","1","300","1"
"101102","6","1","310","1","1","1","1","32","-1","300","1"
"101103","6","1","310","1","1","1","1","32","-1","-1","1"
"101104","5","1","310","1","1","1","1","32","1","300","1"
"101105","5","1","310","1","1","1","1","32","-1","300","1"
"101106","5","1","310","1","1","1","1","32","-1","-1","1"
"101201","6","1","320","1","1","1","1","32","1","300","1"
"101202","6","1","320","1","1","1","1","32","-1","300","1"
"101203","6","1","320","1","1","1","1","32","-1","-1","1"
"101204","5","1","320","1","1","1","1","32","1","300","1"
"101205","5","1","320","1","1","1","1","32","-1","300","1"
"101206","5","1","320","1","1","1","1","32","-1","-1","1"
"101301","6","1","330","1","1","1","1","32","3","300","1"
"101302","6","1","330","1","1","1","1","32","-1","300","1"
"101303","6","1","330","1","1","1","1","32","-1","-1","1"
"101304","5","1","330","1","1","1","1","32","3","300","1"
"101305","5","1","330","1","1","1","1","32","-1","300","1"
"101306","5","1","330","1","1","1","1","32","-1","-1","1"
"101401","6","1","340","1","1","1","1","32","3","300","1"
"101402","6","1","340","1","1","1","1","32","-1","300","1"
"101403","6","1","340","1","1","1","1","32","-1","-1","1"
"101404","5","1","340","1","1","1","1","32","3","300","1"
"101405","5","1","340","1","1","1","1","32","-1","300","1"
"101406","5","1","340","1","1","1","1","32","-1","-1","1"
"101501","6","1","350","1","1","1","1","32","3","300","1"
"101502","6","1","350","1","1","1","1","32","-1","300","1"
"101503","6","1","350","1","1","1","1","32","-1","-1","1"
"101504","5","1","350","1","1","1","1","32","3","300","1"
"101505","5","1","350","1","1","1","1","32","-1","300","1"
"101506","5","1","350","1","1","1","1","32","-1","-1","1"
"101601","6","1","360","1","1","1","1","32","5","310","1"
"101602","6","1","360","1","1","1","1","32","-1","310","1"
"101603","6","1","360","1","1","1","1","32","-1","-1","1"
"101604","5","1","360","1","1","1","1","32","5","310","1"
"101605","5","1","360","1","1","1","1","32","-1","310","1"
"101606","5","1","360","1","1","1","1","32","-1","-1","1"
"101701","6","1","380","1","1","1","1","32","5","310","1"
"101702","6","1","380","1","1","1","1","32","-1","310","1"
"101703","6","1","380","1","1","1","1","32","-1","-1","1"
"101704","5","1","380","1","1","1","1","32","5","310","1"
"101705","5","1","380","1","1","1","1","32","-1","310","1"
"101706","5","1","380","1","1","1","1","32","-1","-1","1"
"101801","6","1","400","1","1","1","1","32","5","310","1"
"101802","6","1","400","1","1","1","1","32","-1","310","1"
"101803","6","1","400","1","1","1","1","32","-1","-1","1"
"101804","5","1","400","1","1","1","1","32","5","310","1"
"101805","5","1","400","1","1","1","1","32","-1","310","1"
"101806","5","1","400","1","1","1","1","32","-1","-1","1"
"111601","6","1","400","1","1","1","1","33","5","310","1"
"111602","6","1","400","1","1","1","1","33","-1","310","1"
"111603","6","1","400","1","1","1","1","33","-1","-1","1"
"111604","5","1","400","1","1","1","1","33","5","310","1"
"111605","5","1","400","1","1","1","1","33","-1","310","1"
"111606","5","1","400","1","1","1","1","33","-1","-1","1"
"111701","6","1","450","1","1","1","1","33","5","310","1"
"111702","6","1","450","1","1","1","1","33","-1","310","1"
"111703","6","1","450","1","1","1","1","33","-1","-1","1"
"111704","5","1","450","1","1","1","1","33","5","310","1"
"111705","5","1","450","1","1","1","1","33","-1","310","1"
"111706","5","1","450","1","1","1","1","33","-1","-1","1"
"111801","6","1","500","1","1","1","1","33","5","310","1"
"111802","6","1","500","1","1","1","1","33","-1","310","1"
"111803","6","1","500","1","1","1","1","33","-1","-1","1"
"111804","5","1","500","1","1","1","1","33","5","310","1"
"111805","5","1","500","1","1","1","1","33","-1","310","1"
"111806","5","1","500","1","1","1","1","33","-1","-1","1"
