16c1cb5c801d4e58c610dba0f42125e60d9903a434ebeec445569baaea771e1c,4e0873f70dd1d210014112196726e1f12b7627cce8330e9e60d88a4258e05c35,47581dd01bb35e205032e9f6169a6536c6f655ceede76954ab13ee55cc55739c,edd586324d2a6a8ca970e383881912b6580a2a1c714ae125e742682c386f1413,30a4b8999039bc95784c83c739c494beda7acb1a355acaf3273843ec00ad9d36,b72e347fee5775309026cffad27e7341835f27c9ce5cb55ac5b33d7482d715d9,45a7dc3d28c8940e27850a894828fe5c2cc5078bfed0f2511101e848856c267a,edf6985f9658b248a09df09379b3ad908831ca5c8ef35f8d0f9d5dd9c59160ed,8002cc060f7ade18591a4ce570f7d63354eb50fccf2ea237e3ab397945fc09b8,0022f2a1b0c79373490636e8f5a1b9ff5875d51833ad047c8651eb95eba01f1b,8d1a07d700ccd6743d1316734d04b8848b60c6824e513e215820fddd06067d51,d64bc0e06267613c081d8288dfc76dbce0a2eb1f4ca0c8e6989a0464709cb478
"100","1","13","1","1","100101","1","1","-1","-1","1","3"
"130","1","15","1","1","100201","1","1","-1","-1","1","4"
"160","1","17","1","1","100301","1","1","-1","-1","1","4"
"180","1","19","1","1","100401","1","1","-1","120","1","4"
"180","1","19","1","1","100402","1","1","-1","-1","1","4"
"200","1","21","1","1","100501","1","1","-1","150","1","4"
"200","1","21","1","1","100502","1","1","-1","-1","1","4"
"220","1","23","1","1","100601","1","1","-1","180","1","5"
"220","1","23","1","1","100602","1","1","-1","-1","1","5"
"240","1","25","1","1","100701","1","1","-1","210","1","5"
"240","1","25","1","1","100702","1","1","-1","-1","1","5"
"260","1","27","1","1","100801","1","1","-1","240","1","5"
"260","1","27","1","1","100802","1","1","-1","-1","1","5"
"280","1","29","1","1","100901","1","1","-1","270","1","5"
"280","1","29","1","1","100902","1","1","-1","-1","1","5"
"300","1","32","1","1","101001","1","1","1","300","1","6"
"300","1","32","1","1","101002","1","1","-1","300","1","6"
"300","1","32","1","1","101003","1","1","-1","-1","1","6"
"300","1","32","1","1","101004","1","1","1","300","1","5"
"300","1","32","1","1","101005","1","1","-1","300","1","5"
"300","1","32","1","1","101006","1","1","-1","-1","1","5"
"310","1","32","1","1","101101","1","1","1","300","1","6"
"310","1","32","1","1","101102","1","1","-1","300","1","6"
"310","1","32","1","1","101103","1","1","-1","-1","1","6"
"310","1","32","1","1","101104","1","1","1","300","1","5"
"310","1","32","1","1","101105","1","1","-1","300","1","5"
"310","1","32","1","1","101106","1","1","-1","-1","1","5"
"320","1","32","1","1","101201","1","1","1","300","1","6"
"320","1","32","1","1","101202","1","1","-1","300","1","6"
"320","1","32","1","1","101203","1","1","-1","-1","1","6"
"320","1","32","1","1","101204","1","1","1","300","1","5"
"320","1","32","1","1","101205","1","1","-1","300","1","5"
"320","1","32","1","1","101206","1","1","-1","-1","1","5"
"330","1","32","1","1","101301","1","1","3","300","1","6"
"330","1","32","1","1","101302","1","1","-1","300","1","6"
"330","1","32","1","1","101303","1","1","-1","-1","1","6"
"330","1","32","1","1","101304","1","1","3","300","1","5"
"330","1","32","1","1","101305","1","1","-1","300","1","5"
"330","1","32","1","1","101306","1","1","-1","-1","1","5"
"340","1","32","1","1","101401","1","1","3","300","1","6"
"340","1","32","1","1","101402","1","1","-1","300","1","6"
"340","1","32","1","1","101403","1","1","-1","-1","1","6"
"340","1","32","1","1","101404","1","1","3","300","1","5"
"340","1","32","1","1","101405","1","1","-1","300","1","5"
"340","1","32","1","1","101406","1","1","-1","-1","1","5"
"350","1","32","1","1","101501","1","1","3","300","1","6"
"350","1","32","1","1","101502","1","1","-1","300","1","6"
"350","1","32","1","1","101503","1","1","-1","-1","1","6"
"350","1","32","1","1","101504","1","1","3","300","1","5"
"350","1","32","1","1","101505","1","1","-1","300","1","5"
"350","1","32","1","1","101506","1","1","-1","-1","1","5"
"360","1","32","1","1","101601","1","1","5","310","1","6"
"360","1","32","1","1","101602","1","1","-1","310","1","6"
"360","1","32","1","1","101603","1","1","-1","-1","1","6"
"360","1","32","1","1","101604","1","1","5","310","1","5"
"360","1","32","1","1","101605","1","1","-1","310","1","5"
"360","1","32","1","1","101606","1","1","-1","-1","1","5"
"380","1","32","1","1","101701","1","1","5","310","1","6"
"380","1","32","1","1","101702","1","1","-1","310","1","6"
"380","1","32","1","1","101703","1","1","-1","-1","1","6"
"380","1","32","1","1","101704","1","1","5","310","1","5"
"380","1","32","1","1","101705","1","1","-1","310","1","5"
"380","1","32","1","1","101706","1","1","-1","-1","1","5"
"400","1","32","1","1","101801","1","1","5","310","1","6"
"400","1","32","1","1","101802","1","1","-1","310","1","6"
"400","1","32","1","1","101803","1","1","-1","-1","1","6"
"400","1","32","1","1","101804","1","1","5","310","1","5"
"400","1","32","1","1","101805","1","1","-1","310","1","5"
"400","1","32","1","1","101806","1","1","-1","-1","1","5"
"400","1","33","1","1","111601","1","1","5","310","1","6"
"400","1","33","1","1","111602","1","1","-1","310","1","6"
"400","1","33","1","1","111603","1","1","-1","-1","1","6"
"400","1","33","1","1","111604","1","1","5","310","1","5"
"400","1","33","1","1","111605","1","1","-1","310","1","5"
"400","1","33","1","1","111606","1","1","-1","-1","1","5"
"450","1","33","1","1","111701","1","1","5","310","1","6"
"450","1","33","1","1","111702","1","1","-1","310","1","6"
"450","1","33","1","1","111703","1","1","-1","-1","1","6"
"450","1","33","1","1","111704","1","1","5","310","1","5"
"450","1","33","1","1","111705","1","1","-1","310","1","5"
"450","1","33","1","1","111706","1","1","-1","-1","1","5"
"500","1","33","1","1","111801","1","1","5","310","1","6"
"500","1","33","1","1","111802","1","1","-1","310","1","6"
"500","1","33","1","1","111803","1","1","-1","-1","1","6"
"500","1","33","1","1","111804","1","1","5","310","1","5"
"500","1","33","1","1","111805","1","1","-1","310","1","5"
"500","1","33","1","1","111806","1","1","-1","-1","1","5"
