408ab622b8639159587aefa3c836de7d1a2ee967bad954294c0b4bb252c6d967,56a413e60122176513cad294aa102057d198d4e736491bb47fa78f0863bdc996,936ca9a528adeec23b6918d5e82d633185ba02ae705803a58bb941bbfdf9f875,d22cc5f937d636cdab26091e939a263bc1bd26179f58c5ed2da5ebe8f18882d2
"1","8","1","緩速"
"2","8","2","加速"
"3","8","3","麻痺"
"4","8","4","凍結"
"5","8","5","束縛"
"6","8","6","睡眠"
"7","8","7","暈眩"
"8","8","8","石化"
"9","8","9","拘留"
"10","9","0","拘留(傷害)"
"11","9","1","毒"
"12","9","2","火傷"
"13","9","3","詛咒"
"14","11","0","魅惑"
"15","12","-1","黑暗"
"16","13","-1","沉默"
"17","30","-1","即死"
"18","3","-1","擊退"
"19","11","1","混亂"
"20","9","4","猛毒"
"21","56","-1","千里眼"
"22","59","-1","妨礙恢復"
"23","61","-1","恐慌"
"24","60","-1","給予刻印"
"25","62","-1","畏懼"
"26","69","-1","馴鹿化"
"27","8","10","暈眩"
"28","9","5","詛咒"
"29","70","-1","HP變化"
"30","8","11","時間停止"
"31","76","-1","HP回復量減少"
"32","78","-1","虛弱個體受到的傷害上升"
"33","79","1","行動時毒傷"
"34","8","14","暈眩（另計）"
"35","9","7","毒（另計）"
"36","9","8","詛咒（另計）"
"37","11","2","混亂（另計）"
"38","8","13","結晶化"
"39","83","1","緩速(可加成)"
"40","83","2","加速(可加成)"
"41","49","3","消除增益"
"42","49","10","消除護盾"
"43","9","9","黑炎"
"44","99","2","加速領域"
"45","99","1","緩速領域"
"46","49","20","消除增益（指定）"
"47","101","5","擊打烙印（攻擊命中）"
"48","79","10","行動時界雷傷害"
"49","112","9","延長狀態異常時間"
"50","116","1","執著狀態"
"51","117","15","阿剌克涅拘束"
"52","11","3","操絲"
