14a3d741f75a53ae79d079242f2473fa7d14776d5fa6a920f85a2e11e744d628,55478c2e72abb7268e36aa7c44b44e8904fee9ad45168c2e721c6c1255cb2029,c64e5bf59aee108f938ffdafc0c3cb1020f1952900d7ee861276cfefbb383c10,5855cb9e5e5a238fcaabdd19853248aa8151333e62548fe38c0b9c9eb6a60d18,561f2ae28aaac53c0248eddd0aba348775f665fdfb3a5d2afd7693cca9cb6a06,35b57a4319de7091c323e65e298d0cfb8ea1e6d8737556d9bdabe43706741fe6,6c566ffe9887af3aa2b119a818ecf6a98569e5ed0eb5c0c8373628375de81ca2,48b4e69d3eb087bc8f87d8da79bd9c38d8d003e425a3639c0bb7b4b458a70083,91597b1d28a5e9090babac6cbcf116f245f1466f5c90794fe1067ce170267880,5580733fb7fa463d610897bfac75345c3c3a1b7c2f85dfbd6714d899ee7aac1b
"vo_minigame_1013_icon_2_002_001","2","2","1000","訓練現在\n才要開始。","3000","2","1","vo_minigame_1013_icon_1_002_001","狀態逐漸\n變好了呢。"
"vo_minigame_1013_icon_2_003_001","2","2","5000","嘻嘻，局勢\n發展得不錯。","3000","2","2","vo_minigame_1013_icon_1_003_001","喂喂，\n還能繼續的吧？"
"vo_minigame_1013_icon_2_004_001","2","2","10000","這是出色的\n紀錄。","3000","3","3","vo_minigame_1013_icon_1_004_001","嘿嘿，你們\n挺行的嘛！"
"vo_minigame_1013_icon_2_005_001","2","3","10000","現在狀態\n絕佳呢。","3000","3","4","vo_minigame_1013_icon_1_005_001","我們還不能\n止步於此！"
"vo_minigame_1013_icon_2_005_002","2","3","10000","還能繼續前進。\n給我跟上。","3000","3","5","vo_minigame_1013_icon_1_005_002","看著吧！\n真琴班過關斬將！"
"vo_minigame_1013_icon_2_005_003","2","3","10000","惠理子班\n發揮真本事！","3000","3","6","vo_minigame_1013_icon_1_005_003","唔哦哦哦！\n狀態絕佳！"
"vo_minigame_1013_icon_2_006_001","2","4","0","接下來是\n前無古人的領域！","3000","3","7","vo_minigame_1013_icon_1_006_001","能前進到什麼地方\n真讓人期待！"
"vo_minigame_1013_icon_2_007_001","3","5","1","真是棘手……","1000","4","8","vo_minigame_1013_icon_1_007_001","還不能放棄。"
"vo_minigame_1013_icon_2_007_002","3","5","1","不可輕敵。","1000","4","9","vo_minigame_1013_icon_1_007_002","捏了把冷汗啊……！"
"vo_minigame_1013_icon_2_007_003","3","5","1","真是可恨……","1000","4","10","vo_minigame_1013_icon_1_007_003","不准說喪氣話。"
"vo_minigame_1013_icon_2_008_001","4","6","99","人多勢眾呢。","1500","3","11","vo_minigame_1013_icon_1_008_001","真琴班集合！"
"vo_minigame_1013_icon_2_008_002","4","6","99","歡迎來到惠理子班。","1500","3","12","vo_minigame_1013_icon_1_008_002","齊心協力上吧！"
"vo_minigame_1013_icon_2_020_001","1","8","0","儘管包在\n小七七香身上。","3000","6","13","vo_minigame_1013_icon_1_020_001","賦予大家力量！"
"vo_minigame_1013_icon_2_022_001","1","9","0","哈哈哈！\n交給我吧！","3000","7","14","vo_minigame_1013_icon_1_022_001","包在我身上。"
"vo_minigame_1013_icon_2_023_001","1","10","0","繼續前進囉。","3000","8","15","vo_minigame_1013_icon_1_023_001","好哪，繼續前進吧。"
