c510572b82a8e5d6304f451aa3341f69c0136595d5ae7c054ae6edb15fd06fed,a64e338a577e69f4e0db3607784b711890454a5d753ee12490db63981c7c09d0,b063fa50def35768ed0967752628542245b8adc12a1dfb2ae12eb50759c0e3b7,71d4b0a4d77d08ac3b18bde4616db5312194e2661a4e11dc28b2f99efc9b08e7,f10305e5dc6261515f007205d775411efe9060880586e3900538eee9ae243c0e,1a253f1868694cdfb9079050504ba6d198e50b21cbe89a3945b4a8b356c03d66,a2a59e130bd9703c8e37b6a38e52899c03974d36e499245cc2c9078f87400c6c,05d650476fe43c73369c4f00b70bbef18d931521be0eb8b675c6c0648c410d5c,2733b416d66fd33380056ddb968bcbc0878eab7b3eeb1fb69043a1c82689811a,01d0d1cc2aae93b3d9e8850f1f89c582681beae4adfd2f9fefab903a7f996d73,b91db23fe35ef0ad5de51733b29f838452b77df7547e97ef8e95b1030048a50a,f376524693f424b267b3671a4dcf5030150e1a0e1fc5062f1d1947b66137a3ea,0861573570fc3c86ef789dbb45417aed25d5c3d2cf977398380351b457a9bf0b,54c0dd8805e30c1a4f8b254ee8473c4c697539e1874d20a7e55c8a6db1faed2e,c9d13ae000cdc01ee87aabbd08285b07a6e1a15bca53ed088cd72e4644e157d2,4b785de2c4e82aedf8f262e5459d35470fc296e897f2cd91f0317221f1eb3749,a15417c40e8ee28a67985f57df27c0d715fd0c05983284c5f7401b045b27bff1,898cb180951547fa516082d0ef1f60c642c42c028cf895fae40ee4ec296a3710,f4990adea05f2d067345821d778f1f266718fb7fe4c8813a2df71eccf78e197d
"5","2","1","140000","2","94002","4","1","1","32001","90008","2","90005","10","12","500","4","500000","140001"
"10","12","2","140001","8","0","2","1","1","32001","91002","1","94002","500000","0","200","4","0","25001"
"15","2","1","140000","2","94002","4","1","2","32001","90008","2","90005","5","12","500","4","750000","140001"
"20","12","2","140001","8","0","2","1","2","32001","91002","1","94002","750000","0","300","4","0","25001"
"25","2","1","140000","2","94002","4","1","2","32001","90008","2","90005","5","12","500","4","750000","140001"
"30","12","2","140001","8","0","2","1","3","32001","91002","1","94002","750000","0","500","4","0","25001"
"35","2","1","140000","2","94002","4","1","3","32001","90008","2","90005","5","12","750","4","1000000","140001"
"40","12","2","140001","2","0","2","1","4","32001","90008","1","94002","1000000","0","1000","4","0","25001"
"45","2","1","140000","2","94002","4","1","4","32001","90008","2","90005","5","12","1250","4","2000000","140001"
"50","12","2","140001","2","0","2","1","4","32001","90008","1","94002","2000000","0","1500","4","0","25001"
"5","2","1","140000","2","94002","4","1","1","32002","90008","2","90005","10","12","500","4","500000","140001"
"10","2","1","21951","8","94002","4","1","1","32002","91002","2","25001","1","12","200","2","500000","140001"
"15","2","1","140000","2","94002","4","1","2","32002","90008","2","90005","5","12","700","4","750000","140001"
"20","12","2","140001","8","0","2","1","2","32002","91002","1","94002","750000","0","300","4","0","25001"
"25","2","1","140000","2","94002","4","1","2","32002","90008","2","90005","5","12","700","4","750000","140001"
"30","12","2","140001","8","0","2","1","3","32002","91002","1","94002","750000","0","500","4","0","25001"
"35","2","1","140000","2","94002","4","1","3","32002","90008","2","90005","5","12","1000","4","1000000","140001"
"40","12","2","140001","2","0","2","1","4","32002","90008","1","94002","1000000","0","1000","4","0","25001"
"45","2","1","140000","2","94002","4","1","4","32002","90008","2","90005","5","12","1250","4","2000000","140001"
