1ef6e2412344011222a739c440ce7d119e78f890bf49aefc3db94a131b978a91,18c0edaea3fa718f8d79df6fdc3978846dc6626f834a3bf0afc9d418d59a601d,6ed526ce7181f566613c725c0d7616230aecd0d288fd2a1fa796d40f15b70e38,1161667cb00d58e99dbb6d50798ec7130d1375745c65c0a0800c2c36449a7b4c,db80b1471317706a317bf7db00a8c085fa7e0dae47811ce45e577b7297cfc224,5f862ea1dcbf5c2c85c68b1a9f8b8d95e8d835fc2037baa95f889fac9f97ee08,5514b0c135fee233cc0ae349b00a25c8a505490c4d51e473b75b5bed6df06581,bb907b78af71c68b957488f006bb9dbec5a63c558584524b8e1aabdcd13b564e,194da19eb7f410061482e83bb03ed6d394d0ff0f2bd46a0ad48cff047cdabf30,395f515bc5ee215c7acec4484e14cc6dd0e4add177de9dc1d46c1ecb6c9fed7c,5d9c9488f501fd51c5ffd915d21142ed708e7eb0ce08c3aa39d80788b27014e7,2bfe9cf158884fe62f9177d675a290209db1f0f31c0349ae6698a2edbd5c449f,b2c044610eafce2a67c6c75afa831d3c9093f55efe2ee0c1cc296adc3eca4457,43d33122d8722fe391dd8438b5bb7b2292c9838315ef9846b796e9910312e7a0,866d8bff7bed2cca0772b355d7b6c3873c5b6e3cba314f9495cf7e9b13621e39,6443c6857b1eb38ba304ff0361b3691a239f66f221eb157b9f94de76cbe00a62,67daafbee46522994b79584fe93662b864e362e66da6340f9024890df3fc7b05,717920e103158c31530510f1f286c59bbb60c6d36ef6b9bfffd20622e7665ad1,84f7fe288ce241f460dbd1903a76c11d6e5bbffefde2193c55c2358852cd1708,5451aa52b30f55e5d23c2d3be75d5fba1c57840030e556e5f7f7a889e20610d7
"25104","6","6","6","「宮子」的口頭禪，同時也是其必殺技名稱的詞語。","6","1001","1","1","這個的名稱是什麼？","6","把你變成布丁喲","變成布丁喲","19969","21938","35722","1001","24067","1","把你變成布丁喲"
"24503","6","6","6","每半年舉行一次的障礙物賽跑。來猜猜四名跑者中哪一名角色會跑第一吧！","6","0","1","1","這個的名稱是什麼？","6","蘭德索爾盃","蘭德索爾盃","29246","30403","34349","1008","32034","1",""
"25802","6","6","6","「怜（★6）」的必殺技。","6","0","1","1","這個的名稱是什麼？","6","斬擊暴風雨","斬擊暴風雨","39080","38632","26028","1010","26292","1",""
"27138","6","6","6","「莉瑪（★6）」的必殺技。","6","0","1","1","這個的名稱是什麼？","6","歡樂軟綿綿突擊","歡樂軟綿綿","32191","32191","27489","1011","36575","1","歡樂軟綿綿突擊"
"24433","6","6","6","「珠希（★6）」的必殺技。","6","0","1","2","這個的名稱是什麼？","6","喵咪喵咪幻影大暴走","幻影大暴走","26292","36208","24187","1012","22823","1","喵咪喵咪幻影大暴走"
"19971","6","6","6","「七七香（★6）」的必殺技。","6","0","1","2","這個的名稱是什麼？","6","七七香‧∞‧閃亮","七七香閃亮","38275","20142","19971","1013","39321","1",""
"30693","6","6","6","「優妮」的必殺技。","6","0","1","2","這個的名稱是什麼？","6","認知與發展性的哲學","認知發展性","23637","24615","35469","1014","30332","1","認知與發展性的哲學"
"76","3","3","6","「伊緒（★6）」的必殺技。","2","0","1","2","這個的名稱是什麼？","3","心型Love颶風","心Love","118","101","24515","1015","111","1","心型Love颶風"
"23376","6","6","6","「美美（★6）」的必殺技。","6","0","1","2","這個的名稱是什麼？","6","兔子先生旋風","兔子先生旋","29983","26059","20820","1016","20808","1",""
"28779","6","6","6","「妮諾（★6）」的必殺技。","6","0","1","2","這個的名稱是什麼？","6","忍法‧烈火之紅蓮旋風","烈火之紅蓮","32005","34030","28872","1017","20043","1","忍法‧烈火之紅蓮旋風"
