c9b05a8b3da30be9337bf98ccba2798f3cfe67dbaec00276115e4a3b06f76b11,0fbc22ace6c8b953b2cb9901d0c5d2c97d74cf46ecc9260b20a84afa7e3ae231,1d1547c2fe96bed123a9a900f9e2dca27702eda67cc00a25864716164dae1343,6110cb3a4cea3a0953b6f16499b77ba5f1bf7ebde6ef801021731a8e6542e296,340005fdf12e02726ce2996defc181f9df1e72fe73f4acd5fcd4420d1ee01238,9bde5604078e4c02244cbce682197fc164cbc9ba4df7f943708806b0b8484034,8503b45ccf477ddb6a7e3676226d24d845d9a27c163939c5fbb6df5f7740f07a,1627bd5ee9319a8f6790493e9b67d0c6a1afede8978db215a9495049b02aa390,13f986431feb7f77605b7e18bd34d0b5f44cae0c6d77b00999b75e5376011c50,d431a552f77bfe6ab665c6172b5fc13faf7bfb7db0f7818198f7dd2c901351d4,ae08b9fb841455ee5a3a19844f386598399aedec1b7bb54e643419200d629451,8cfe83ce9e04e40cc259a07bfc537761ab786a2b686736d481eddbf325946144,be59d86e2cdb41f66c5a0fffc590ed482e973924569868ba51d72773062c8050,c9ddfc73e0b146f3440ccfb5afe440c7b461aa8f2dc216df0a6ca87c2deb2091,f23b193c89ea129581216ae3770b9f8a93d1105bc39a1c25879708ef3021cd9e,74f196006c62ba00a401c2faa763aeed6dee65398ac111ce182bd7676dab58fa
"1001101","1","2","8","40","2","0","91002","0","0","40","0","0","0","90006","22002"
"1001102","2","2","8","50","2","0","91002","0","0","60","0","0","0","90006","22002"
"1001103","3","2","8","60","2","0","91002","0","0","80","0","0","0","90006","22002"
"1001104","4","2","8","80","2","0","91002","0","0","100","0","0","0","90006","22002"
"1001105","2","2","8","150","2","0","91002","0","0","200","0","0","0","90006","22003"
"1001106","0","0","2","1","2","0","90006","0","0","20","0","0","0","22002","0"
"1001107","0","0","2","1","2","0","90006","0","0","20","0","0","0","22002","0"
"1001108","0","0","2","1","2","0","90006","0","0","20","0","0","0","22002","0"
"1001109","0","0","2","1","2","0","90006","0","0","20","0","0","0","22002","0"
"1001110","0","0","2","1","2","0","90006","0","0","20","0","0","0","22003","0"
"1002101","1","2","8","40","2","0","91002","0","0","40","0","0","0","90006","22002"
"1002102","2","2","8","50","2","0","91002","0","0","60","0","0","0","90006","22002"
"1002103","3","2","8","60","2","0","91002","0","0","80","0","0","0","90006","22002"
"1002104","4","2","8","80","2","0","91002","0","0","100","0","0","0","90006","22002"
"1002105","2","2","8","150","2","0","91002","0","0","200","0","0","0","90006","22003"
"1002106","0","0","2","1","2","0","90006","0","0","40","0","0","0","22002","0"
"1002107","0","0","2","1","2","0","90006","0","0","40","0","0","0","22002","0"
"1002108","0","0","2","1","2","0","90006","0","0","40","0","0","0","22002","0"
"1002109","0","0","2","1","2","0","90006","0","0","40","0","0","0","22002","0"
"1002110","0","0","2","1","2","0","90006","0","0","40","0","0","0","22003","0"
"1003101","1","2","8","40","2","0","91002","0","0","40","0","0","0","90006","22002"
"1003102","2","2","8","50","2","0","91002","0","0","60","0","0","0","90006","22002"
"1003103","3","2","8","60","2","0","91002","0","0","80","0","0","0","90006","22002"
"1003104","4","2","8","80","2","0","91002","0","0","100","0","0","0","90006","22002"
"1003105","2","2","8","150","2","0","91002","0","0","200","0","0","0","90006","22003"
"1003106","0","0","2","1","2","0","90006","0","0","40","0","0","0","22002","0"
"1003107","0","0","2","1","2","0","90006","0","0","40","0","0","0","22002","0"
"1003108","0","0","2","1","2","0","90006","0","0","40","0","0","0","22002","0"
"1003109","0","0","2","1","2","0","90006","0","0","40","0","0","0","22002","0"
"1003110","0","0","2","1","2","0","90006","0","0","40","0","0","0","22003","0"
"1004101","1","2","8","40","2","0","91002","0","0","40","0","0","0","90006","22002"
"1004102","2","2","8","50","2","0","91002","0","0","60","0","0","0","90006","22002"
"1004103","3","2","8","60","2","0","91002","0","0","80","0","0","0","90006","22002"
"1004104","4","2","8","80","2","0","91002","0","0","100","0","0","0","90006","22002"
"1004105","2","2","8","150","2","0","91002","0","0","200","0","0","0","90006","22003"
"1004106","0","0","2","1","2","0","90006","0","0","40","0","0","0","22002","0"
"1004107","0","0","2","1","2","0","90006","0","0","40","0","0","0","22002","0"
"1004108","0","0","2","1","2","0","90006","0","0","40","0","0","0","22002","0"
"1004109","0","0","2","1","2","0","90006","0","0","40","0","0","0","22002","0"
"1004110","0","0","2","1","2","0","90006","0","0","40","0","0","0","22003","0"
