2ef8d1c0ef29298b3cc3ad7463360827e7d394a724085a8717b4a13e4bfd4c02,37aa81bb4067a8f720042d9722b0aa2b120031acd4199644d056a1e818b7db4b,36415621a3ddeb219e5b8b1acc4e7fea013161a064023b0c1c0d350e4004ad04,0d2b96a7135a57058185d88ae473e52b12b71f62e86a7665771b012518fde3d9,840323bf5000a3884c5873f0a67666a64b9c86754240a882a872783d5328586e,5caed3e0595fcabbd9da3f3a3d653b4e460927c6530e9df0d06f7e04fd128e2c,4a2c97e3905681828853aba6a59381b47dcced94d76834b028b72548b9b6e540,1516641d388be79b66922ace1bf49012ad7409de615817ff6aab10f548d44880,3ac89afbcf7ad5c490b7b9f80346be3fb64581420e7be2667ce008fab226a036,529b488d119399dec3d043373213bf735380ff82efe8fd5d102a249952f79e40,0394db82d081626d399d94e34bb97c53c6a6e7d453473f12cb20f29d508fe641,cf32fdd9b15150c8ced43058c443ea4469ab45953ab1ac0f8aef36ea6caa1433,d90bd93587e66680afc527cec645b4f18228e2c6575de45bd82266025a725175,429e6b4a58f941ccab54efe0d4874b013dfe84cad96b349fa535a23da35a1442,59228d21c1c4f66a5265cc1b86614d81a287e5402954ee1d1aed2b611263733c,38b569537df8d15bf49330b6fd668a6eef1d230db74a0867340ce8dbabe96288,640e6029a7dd0343eddcabce9f72a127c2eab9fde77f9b5f5ffdb575bc2ba44f,261a3153e9b22454b796ccec40fb4895f0d9d8a6545c189cac1622f9c104974c,0d8755f4eec054838a9d23b665197e70777cec0abdc16e049f18a4707e6824ca,5bb8bdec3b3ab572bcf25ccc503b5390c14b302aad3ee292d4a8c596221a6f4f,7e5799e96d998c01379a22e42244f49e4636559bf769681399949d63c86f086c
"0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","2","1","1300110","130011","0","4.7"
"0","0","0.25","-1","0","0","0","0","0","0","0","0.25","0","0.25","2.3","2","0","1300210","130021","0","0"
"5.5","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","2","0","1300310","130031","0","4.75"
"0","0","0.3","-1","0","0","0","0","0","0","0","0","0","0.1","0","2","0","1300410","130041","0","3.35"
"6.5","0","0.45","-1","0","0","0","0","0","0","0","0","0","0.4","0","2","0","1300510","130051","0","0"
"0","0","0.15","-1","0","0","0","0","0","0","0","0","0","0.15","3.6","2","0","1300610","130061","0","0"
"11.5","0","0.45","300","0","0","0","0","0.15","0","0","0","0","0.15","0","2","0","1300710","130071","0","0"
"11.5","0","0.65","-1","0","0","0","0","0","0","0","0","0","0.15","0","301","0","1300711","130071","0","0"
"0","0","0.2","-1","0","0","0","0","0","0","0","0","0","0.2","3.15","2","0","1300810","130081","0","0"
"0","0","0","-1","0","0","0","0.5","0","0","0","0","0","0","4.5","2","0","1300910","130091","0","0"
"0","0","0.3","-1","0","0","0","0","0","0","0","0.25","0","0.25","2.1","2","0","1301010","130101","0","0"
"0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","2","1","1301110","130111","0","4.6"
"0","0","25","-1","0","0","0","0","0","0","0","0","0","0","0","1","90","1301120","130112","0","500"
"0","0","0.05","-1","0","0","0","0.5","0","0","0","0","0","0","4.4","2","0","1301210","130121","0","0"
"0","0","0","-1","0","0","0","0.75","0","0","0","0","0","0","4.5","2","0","1301310","130131","0","0"
"830","0","50","-1","0","0","0","0","0","0","0","0","0","50","0","1","0","1301320","130132","0","0"
"0","0","0.15","-1","0","0","0","0","0","0","0","0","0","0.2","3.5","2","0","1301410","130141","0","0"
"0","0","0.15","-1","0","0","0","0","0","0","0","0.15","0","0.35","2.55","2","0","1301510","130151","0","0"
"0","0","0","260","0","0","0","0","0","0.1","0","0","0","0","0","2","0","1301610","130161","0","4.9"
"0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","261","0","1301611","130161","0","5.4"
"0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","1","70","1301620","130162","0","700"
"0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","2","1","1301710","130171","0","4.7"
"0","0","0","260","0","0","0","0.5","0","0.05","0","0","0","0","4.25","2","0","1301810","130181","0","0"
"0","0","0","-1","0","0","0","0.5","0","0","0","0","0","0","4.5","261","0","1301811","130181","0","0"
"0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","2","0.75","1302010","130201","0","4.4"
"5","0","0.4","-1","0","0","0","0","0","0","10","0","0","0.4","0","2","0","1302110","130211","0","0"
"0","0","0","-1","0","0","0","0.5","0","0","0","0","0","0.05","4.25","2","0","1302210","130221","0","0"
"0","0","0.3","-1","0","0","0","0","0","0","0","0","0","0.2","0","2","0.6","1302310","130231","0","2.5"
"0","0","0","-1","0","0","0","0.5","0","0","0","0","0","0","4.8","2","0","1302510","130251","0","0"
"0","0","0.1","-1","0","0","0","0","0","0","0","0.5","0","0.15","0","2","0","1302610","130261","0","3"
"0","0","0","260","0","0","0","0","0","0.1","0","0","0","0","0","2","1","1302710","130271","0","4.25"
"0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","261","1","1302711","130271","0","4.75"
"1.25","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","2","0","1302810","130281","0","5.25"
"15","0","0.3","300","0","0","0","0","0.05","0","0","0","0","0.3","0","2","0","1302910","130291","0","0"
"15","0","0.4","-1","0","0","0","0","0","0","0","0","0","0.3","0","301","0","1302911","130291","0","0"
"0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","2","0.75","1303010","130301","0","4.75"
"12.5","0","0","260","0","0","0","0","0","0.1","0","0","0","0","0","2","0","1303110","130311","0","3.2"
"12.5","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","261","0","1303111","130311","0","3.7"
"7.5","0","0.1","-1","0","0","0","0","0","0","0","0","0","0","0","2","0","1303210","130321","0","3"
"0","0","0.05","260","0","0","0","0","0","0.1","0","0","0","0.05","0","2","0","1303310","130331","0","4.25"
"0","0","0.05","-1","0","0","0","0","0","0","0","0","0","0.05","0","261","0","1303311","130331","0","4.75"
"0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","1","70","1303320","130332","0","700"
