361df917853fa5cbe627359806ee2f58810cc0509596fb9a4dbb04ba74b1f481,1e58f7c7cb6f036109da875f7edb7ae5701f043a0243673dee05bdd933486dee,13abfd195cf571d5a25b5227b380e6024b99ecdfaf475509d94aa72b082cb2cf,a4e217648666f3efcca4d7c1f2ae7ee47799095fea0ff9262494e6cf0a4344b2,e71232ab6fe7c3f5c9984fb70725790918bd5dad0e2671e2ad6d18b1c798dabf
"519","27003","2021/08/02 16:00:00","2021/08/20 15:59:59","27001"
"550","27004","2022/02/01 16:00:00","2022/02/22 15:59:59","27001"
"571","27005","2022/05/02 16:00:00","2022/05/23 15:59:59","27001"
"572","27006","2022/08/01 16:00:00","2022/08/20 15:59:59","27005"
"575","27007","2023/01/20 16:00:00","2023/02/10 15:59:59","27001"
"609","27008","2023/05/11 16:00:00","2023/05/26 15:59:59","27001"
"616","27009","2023/08/01 16:00:00","2023/08/20 15:59:59","27005"
"626","27010","2023/09/01 16:00:00","2023/09/26 15:59:59","27009"
"632","27011","2024/02/07 16:00:00","2024/02/25 15:59:59","27001"
"641","27013","2024/05/01 16:00:00","2024/05/22 15:59:59","27012"
"649","27014","2024/08/15 16:00:00","2024/09/03 15:59:59","27005"
"656","27015","2024/10/01 00:00:00","2024/10/31 23:59:59","27012"
"664","27016","2025/02/01 00:00:00","2025/02/27 23:59:59","27012"
