dcd6e8582e7af4e6b43f372976dfc92fdf4f36f15247aaad6d1130c5daba3057,3bf81e3148833defab11986f557ca30258b66f05bec99b233c4bb857f6e5e468,59d72b499a3111002038bde950f74d0e12cede034a4e4becf6e74729bbaa31a2,e2ec48e4fb2dc092f66111613755c5b2eca825182013f470131fcae1cc475449,def322ff8a8f13edb9e5b1deb9f9caed4a9ae24af086005688c0d62e15fec196,6de1d8746a51dbbc7895ddb8ce1e60b1198a6de4127440b2bad3cb14c6ea9201,18bd7da77b1440976c2bf859faf2bd286f3b57039e958b0beaa5f0cd212e795a,864c3c20e2272e9a1d71df5f96e7367381e5263059f3bb69e327b97369e8ba87
"2030/01/01 01:00:00","1","為什麼會發\n生這種事？","1","0","5023000","2020/12/18 05:00:00","0"
"2030/01/01 01:00:00","2","竟然說不出\n日安這句話","2","0","5023001","2020/12/18 05:00:00","0"
"2030/01/01 01:00:00","3","搞砸了！","3","0","5023002","2020/12/18 05:00:00","0"
"2030/01/01 01:00:00","4","優妮是\n這樣的人","4","0","5023002","2020/12/19 05:00:00","0"
"2030/01/01 01:00:00","5","克蘿依是\n這樣的人","5","0","5023002","2020/12/19 05:00:00","0"
"2030/01/01 01:00:00","6","琪愛兒是\n這樣的人","6","0","5023002","2020/12/19 05:00:00","0"
"2030/01/01 01:00:00","7","知性的\n優妮","7","0","5023003","2020/12/20 05:00:00","0"
"2030/01/01 01:00:00","8","溫柔的\n克蘿依","8","0","5023003","2020/12/20 05:00:00","0"
"2030/01/01 01:00:00","9","令人崇拜的\n琪愛兒","9","0","5023003","2020/12/20 05:00:00","0"
"2030/01/01 01:00:00","10","特別講座的\n練習","10","0","5023003","2020/12/21 05:00:00","0"
"2030/01/01 01:00:00","11","終於來了\n特別講座","11","0","5023004","2020/12/21 05:00:00","0"
"2030/01/01 01:00:00","12","真不愧是BB團的團長！","12","0","5023005","2020/12/21 05:00:00","0"
"2030/01/01 01:00:00","13","曼德拉草\n造成大混亂","13","0","5023006","2020/12/21 05:00:00","0"
"2030/01/01 01:00:00","14","最終日","14","0","5023007","2020/12/25 16:00:00","0"
"2030/01/01 01:00:00","0","","15","1","5023000","2020/12/25 16:00:00","0"
"2030/01/01 01:00:00","0","","16","1","5023000","2020/12/25 16:00:00","0"
"2030/01/01 01:00:00","0","","17","1","5023000","2020/12/25 16:00:00","0"
