59f8a6df19c825c664b808f0e80c1d4f43a6c550ac8d5400f68bc63ef34484f4,cee0f65589d3ba841c137daa3f3b9ca7d3148da6faa5135529ab351562e9338d,70ae3b441ef35b15d73ca2f5fc613909c3ee66b51576b35dc14ed2a036d2719a,e9fca58f890d17ec905adbb3c0e1c5d72d7dae7184d9b6fa617b3face4a3435a,23296cd6f141c663ad85cb9acd979178a27c06edbe2afaa16e6e0b0600d6d554,58d8033d0f85bcb8320f6e414e2dc903b5ff3cf6dacb30bd7e11cbc3d711dc25
"150","0","150","1","10","1"
"250","0","400","2","10","1"
"400","0","800","3","10","1"
"150","0","150","1","20","2"
"250","0","400","2","20","2"
"400","0","800","3","20","2"
"500","1","1300","4","20","2"
"800","0","800","1","30","3"
"1000","0","1800","2","30","3"
"1200","0","3000","3","30","3"
"1400","1","4400","4","30","3"
"1600","2","6000","5","30","3"
"800","0","800","1","40","4"
"1000","0","1800","2","40","4"
"1200","0","3000","3","40","4"
"1400","1","4400","4","40","4"
"1600","2","6000","5","40","4"
"0","0","0","0","0","5"
