4887118ce2d093060adead3428c9e6a4aa0f8d5fa49195d5a9966f878d7c5b22,228e4b260781dfa068c08aced998d6936743cc5e2e41bf8aed76c0571520a191,3ae2def3dbca98c93650f61e49dc89c785fa68175931cd2c9b98385367e2ff5b,d05031439e51442fec59c84de4249b198cdae51d6abef5b36026f43bc6102559,7167dfd603d4e27e47aabcddd9c8ec36462cad3e2c5ebcfe75bd0cdc4be885e4,b27e1ac68ab699ab51743ce56dcd7b1dc95a9dc69ecdf970bfb0bf92ca1074d0,4379f35533fea5e7f434b95221546b23f0d17f7e4f4887540f176f00e6874298
"3","105","1","2","105","105","1"
"3","120","1","2","105","120","2"
"3","120","1","2","100","100","3"
"3","120","1","2","105","120","4"
"3","120","1","2","105","105","5"
"3","105","1","2","100","100","6"
"3","105","1","2","120","100","7"
"3","105","1","2","100","100","8"
"3","120","1","2","105","120","9"
"3","105","1","2","120","100","10"
"3","100","1","2","100","105","11"
"3","120","1","2","105","120","12"
"3","105","1","2","105","105","13"
"3","105","1","2","105","120","14"
"3","120","1","2","120","120","15"
"3","100","1","2","100","100","16"
"3","120","1","2","120","105","17"
"3","105","1","2","120","120","18"
"3","100","1","2","105","105","19"
"3","105","1","2","100","105","20"
"3","100","1","2","100","105","21"
"3","120","1","2","120","120","22"
"3","100","1","2","105","100","23"
"3","120","1","2","120","120","24"
"3","120","1","2","105","105","25"
"3","100","1","2","100","100","26"
"3","100","1","2","100","100","27"
"3","100","1","2","100","100","28"
"3","120","1","2","120","120","29"
"3","105","1","2","105","120","30"
