6157297ff5de132f26b414d4ac5a607219dd3df4285d82dcad517566b55bdda9,067469c5b415bfb7f977942fbfa3a7d2901d513e4cc2deeb2894c5f76c535612,3fd72552ce06458af974c846ac8966ef3ff78976ef058d8987704b568800eb1c,0cfc0a104a3b76ea50019efed91a341c911c3c9be3e23df0a8a5c36938bfa926,eb0221e637494fd1d76c84eaf160fbde572dba662e612aa9c19cee4c2b37f1f3,de2023c66345d6f9173749fd010efab20a73db630e217ec74317787ddaf9eb2d,0ca27fb42b09863b7bfc8373456fedc68b13d3669d61ab0ba9e7fa4e62a6d3e8
"8","1","40","甜點速吃社團","10148","91002","5148061"
"0","1","0","怪奇怪靈的真面目是……？","10148","0","5148062"
"8","2","40","在平靜的夜晚海邊談戀愛話題？","10148","91002","5148064"
"0","2","0","麥酒反向推理","10148","0","5148065"
"8","3","40","用閃亮亮的衝浪板","10148","91002","5148067"
"0","3","0","Ｍ是什麼啊？","10148","0","5148068"
"8","4","40","西瓜之後是牛奶？","10148","91002","5148070"
"0","4","0","小騎士治療","10148","0","5148071"
"8","5","40","劈啪作響和呼～呼～","10148","91002","5148073"
"0","5","0","用火遁之術炒飯！","10148","0","5148074"
"8","6","40","側耳傾聽的話","10148","91002","5148076"
"0","6","0","去找人除靈比較好吧～？","10148","0","5148077"
"8","7","40","火熱臀部墜擊誕生","10148","91002","5148079"
"0","7","0","超級史萊姆戰士","10148","0","5148080"
"0","0","0","散掉的照片跟證言","10148","0","5148601"
"0","7","0","相簿復原完成！","10148","0","5148602"
"0","100","0","作紀念的合照★","10148","0","5148603"
