88571b3782f7490697fa209a4e9f21c08e20f2806e3ee425aa52f931d6e078ea,ffff5c531ca5e6a0248d8391ee967a2e7b146934014d68fe1644d3f70bc8cdbf,e29ea6e5d2544c12484eb3ad639f10b664bae016958e87bc0c381ec2eb601bd2,a153579198fc9a5b98a62f63f2ed15d404fa237ed51d13712267a4f7e402f6f2,25597321e62856ea612d23101d35c10b0f978b8de976479aed606c631c232d34,70fc89f4f87e5afc899d81709e6208d620cb8e2e02eee385f5db6a77da3bb579,b1c09a20d2e2d9c4813cd4f848aec5cdf57ef4c07c890aa156b034d4959561ee,98a023fdf432655217c1ac3f8f72feeb43c56e9eca1baf2672a0261f25d022d1,3018a444b7bc7cc8db4a64f96f69c1b1dab1c3d6c7c10462139016caac14b300,01143b5226c37e4aa98c9f2f153b8b2ae8a38b1e1804315cb3b51afc452cfa66,396d355a0c30ab3e2a1e485aee20c152327fcf84178fca758178a2064e5dc901,7a043f086dd4d4cccbefaa572b5390fec906588668d09cd80ada7854c0b4a1e4,b3e8a89f50a937714b55365774a6737dbdc8ac75c1c0c3c9075e9b2b764d6ae9,432f89055cd8992c0c2b71a9e8ef87032730ccce569fe55355273922f1149135,cfdac6e768136faed25e8cf0e4cd02dff343b60aef994607ad8691b17aabe9a7,a768381f045487ef0c173e42015cbcccbbe017c161ca71eacdc3cd56355a52eb,94fdf954c73907934a9b3bbe242b8651a09fe11e55714f82a3fef4b059197a66,21458f9501585aabdf160768ff795af2ee65860a99a7122c6aa24f7fc16a19cb,9d12fadb46b2d97ad4a1de5377ab6b7e4f4c4b2aba1de082ea8d0faa4bb0996d,bee26d3d8e45f7a6c527c5f87fd87bdd349fc8bdeff01990c9806aa2ab388a4c
"12","0","0","10153","0","0","0","10000","0","0","1","0","讓信賴度達到100吧","0","94002","0","0","0","100","1"
"12","0","0","10153","0","0","0","25000","0","0","2","0","讓信賴度達到200吧","0","94002","0","0","0","200","1"
"8","0","0","10153","0","0","0","50","0","0","3","0","讓信賴度達到500吧","0","91002","0","0","0","500","1"
"12","0","0","10153","0","0","0","50000","0","0","4","0","讓信賴度達到800吧","0","94002","0","0","0","800","1"
"8","0","0","10153","0","0","0","100","0","0","5","0","讓信賴度達到MAX吧","0","91002","0","0","0","1000","1"
"12","0","0","10153","0","0","0","10000","0","0","6","0","讓信賴度達到100吧","0","94002","0","0","0","100","2"
"12","0","0","10153","0","0","0","25000","0","0","7","0","讓信賴度達到200吧","0","94002","0","0","0","200","2"
"8","0","0","10153","0","0","0","50","0","0","8","0","讓信賴度達到500吧","0","91002","0","0","0","500","2"
"12","0","0","10153","0","0","0","50000","0","0","9","0","讓信賴度達到800吧","0","94002","0","0","0","800","2"
"8","0","0","10153","0","0","0","100","0","0","10","0","讓信賴度達到MAX吧","0","91002","0","0","0","1000","2"
"12","0","0","10153","0","0","0","10000","0","0","11","0","讓信賴度達到100吧","0","94002","0","0","0","100","3"
"12","0","0","10153","0","0","0","25000","0","0","12","0","讓信賴度達到200吧","0","94002","0","0","0","200","3"
"8","0","0","10153","0","0","0","50","0","0","13","0","讓信賴度達到500吧","0","91002","0","0","0","500","3"
"12","0","0","10153","0","0","0","50000","0","0","14","0","讓信賴度達到800吧","0","94002","0","0","0","800","3"
"8","0","0","10153","0","0","0","100","0","0","15","0","讓信賴度達到MAX吧","0","91002","0","0","0","1000","3"
