632eb6bd63aecd87c86477486325944e3551cef4723ae2acda845c54489fe138,2626eab18d5649c038150632c0bc82fc4fb63e533f799793b2a77a9c40d47c22,4cf7a21f433ac958837a70be441ec62c1d9a0c220a2151b9b6936d4fe8bead77,414f090a02eb417df751f7fb7828a432822abd2ff38334c9632ad6ffa3e524de,1b6ff69102a5aeb3098bb5bed2adb60f15169f86055033dcaf71c23aee5dea81,9585939855de991a1b7d4bf344cdba4070ca9357a52d8248cdd5012c91a18c81,58edf864054a2f018ff5e4cbb7412b44b272f3e06089dc624e06a56f82af3cf6,1e6d7d63a4f8d30d2549ca5198c944781af5c9f3c9dc6bb2ce6b942499cf7578,e8050f2de4ddb142ed56a1b5f97c3b334dbfe168941d13886e5c947cc642f4f4,63b7e22135ad7c165d290d1ec666931dbc0f090861edc02315b3d91319f978a8,c62a954773e3cd11ce8e1f49f51c28e42cd8fa835d8b8266df562ddd02b83a0a,3f25076e5bd1dfd4bdf509d6f6bd78943bdd98412587aa8bf89cc30dad5b8104,dc3f7546e42f157b3683050b9d02cd8140072c204d43bfa686f27b7a40bb407b,2436cbcb36b1dc708ad81d00b299aee436cd06d0d89ac41c73a2bf1c6d3a85d8,00ac85a3e90400f0571c19b58b42f3f472ebde2c5779827e5cdc8653830465db
"0","0","0","110690103","0","1","101691001","0","0","0","0","0","101691011","0","0"
"0","0","0","110700103","0","1","101701001","0","0","0","0","0","101701011","0","0"
"0","0","0","110710103","0","1","101711001","0","0","0","0","0","101711011","0","0"
"0","0","0","110720103","0","1","101721001","0","0","0","0","0","101721011","0","0"
"0","0","0","110730103","0","1","101731001","0","0","0","0","0","101731011","0","0"
"0","0","0","110740103","0","1","101741001","0","0","0","0","0","101741011","0","0"
"0","0","0","110750103","0","1","101751001","0","0","0","0","0","101751011","0","0"
"0","0","0","110760103","0","1","101761001","0","0","0","0","0","101761011","0","0"
"0","0","0","110770103","0","1","101771001","0","0","0","0","0","101771011","0","0"
"0","0","0","110780093","0","1","101780901","0","0","0","0","0","101780911","0","0"
"0","0","0","110790093","0","1","101790901","0","0","0","0","0","101790911","0","0"
"16","0","0","610132007","0","1","102311001","0","0","61013201","0","0","610132504","0","0"
"16","0","0","610132008","0","1","102311002","0","0","61013201","0","0","610132504","0","0"
"16","0","0","610132009","0","1","102311003","0","0","61013201","0","0","610132504","0","0"
"16","0","0","610134007","0","1","102312001","0","0","61013401","0","0","610134504","0","0"
"16","0","0","610134008","0","1","102312002","0","0","61013401","0","0","610134504","0","0"
