1e6d7d63a4f8d30d2549ca5198c944781af5c9f3c9dc6bb2ce6b942499cf7578,9585939855de991a1b7d4bf344cdba4070ca9357a52d8248cdd5012c91a18c81,dc3f7546e42f157b3683050b9d02cd8140072c204d43bfa686f27b7a40bb407b,63b7e22135ad7c165d290d1ec666931dbc0f090861edc02315b3d91319f978a8,2626eab18d5649c038150632c0bc82fc4fb63e533f799793b2a77a9c40d47c22,c62a954773e3cd11ce8e1f49f51c28e42cd8fa835d8b8266df562ddd02b83a0a,3f25076e5bd1dfd4bdf509d6f6bd78943bdd98412587aa8bf89cc30dad5b8104,00ac85a3e90400f0571c19b58b42f3f472ebde2c5779827e5cdc8653830465db,2436cbcb36b1dc708ad81d00b299aee436cd06d0d89ac41c73a2bf1c6d3a85d8,e8050f2de4ddb142ed56a1b5f97c3b334dbfe168941d13886e5c947cc642f4f4,414f090a02eb417df751f7fb7828a432822abd2ff38334c9632ad6ffa3e524de,4cf7a21f433ac958837a70be441ec62c1d9a0c220a2151b9b6936d4fe8bead77,1b6ff69102a5aeb3098bb5bed2adb60f15169f86055033dcaf71c23aee5dea81,632eb6bd63aecd87c86477486325944e3551cef4723ae2acda845c54489fe138,58edf864054a2f018ff5e4cbb7412b44b272f3e06089dc624e06a56f82af3cf6
"0","1","101691011","0","0","0","0","0","0","0","110690103","0","0","0","101691001"
"0","1","101701011","0","0","0","0","0","0","0","110700103","0","0","0","101701001"
"0","1","101711011","0","0","0","0","0","0","0","110710103","0","0","0","101711001"
"0","1","101721011","0","0","0","0","0","0","0","110720103","0","0","0","101721001"
"0","1","101731011","0","0","0","0","0","0","0","110730103","0","0","0","101731001"
"0","1","101741011","0","0","0","0","0","0","0","110740103","0","0","0","101741001"
"0","1","101751011","0","0","0","0","0","0","0","110750103","0","0","0","101751001"
"0","1","101761011","0","0","0","0","0","0","0","110760103","0","0","0","101761001"
"0","1","101771011","0","0","0","0","0","0","0","110770103","0","0","0","101771001"
"0","1","101780911","0","0","0","0","0","0","0","110780093","0","0","0","101780901"
"0","1","101790911","0","0","0","0","0","0","0","110790093","0","0","0","101790901"
"0","1","610132504","61013201","0","0","0","0","0","0","610132007","0","0","16","102311001"
"0","1","610132504","61013201","0","0","0","0","0","0","610132008","0","0","16","102311002"
"0","1","610132504","61013201","0","0","0","0","0","0","610132009","0","0","16","102311003"
"0","1","610134504","61013401","0","0","0","0","0","0","610134007","0","0","16","102312001"
"0","1","610134504","61013401","0","0","0","0","0","0","610134008","0","0","16","102312002"
"0","1","610134504","61013401","0","0","0","0","0","0","610134009","0","0","16","102312003"
"0","1","610136404","61013601","0","0","0","0","0","0","610136004","0","0","16","102401001"
"0","1","610136405","61013601","0","0","0","0","0","0","610136005","0","0","16","102401002"
"0","1","610136406","61013601","0","0","0","0","0","0","610136006","0","0","16","102401003"
"0","1","610136504","61013601","0","0","0","0","0","0","610136007","0","0","16","102401004"
"0","1","610136505","61013601","0","0","0","0","0","0","610136008","0","0","16","102401005"
"0","1","610136506","61013601","0","0","0","0","0","0","610136009","0","0","16","102401006"
"0","1","610137504","61013601","0","0","0","0","0","0","610137007","0","0","16","102401007"
"0","1","610137504","61013601","0","0","0","0","0","0","610137008","0","0","16","102401008"
"0","1","610137504","61013601","0","0","0","0","0","0","610137009","0","0","16","102401009"
"0","1","610140504","61014001","0","0","0","0","0","0","610140007","0","0","16","102402001"
"0","1","610140504","61014001","0","0","0","0","0","0","610140008","0","0","16","102402002"
"0","1","610140504","61014001","0","0","0","0","0","0","610140009","0","0","16","102402003"
"0","1","610142404","61014201","0","0","0","0","0","0","610142004","0","0","16","102403001"
"0","1","610142405","61014201","0","0","0","0","0","0","610142005","0","0","16","102403002"
"0","1","610142406","61014201","0","0","0","0","0","0","610142006","0","0","16","102403003"
"0","1","610142504","61014201","0","0","0","0","0","0","610142007","0","0","16","102403004"
"0","1","610142505","61014201","0","0","0","0","0","0","610142008","0","0","16","102403005"
"0","1","610142506","61014201","0","0","0","0","0","0","610142009","0","0","16","102403006"
"0","1","610144404","61014401","0","0","0","0","0","0","610144004","0","0","16","102404001"
"0","1","610144405","61014401","0","0","0","0","0","0","610144005","0","0","16","102404002"
"0","1","610144406","61014401","0","0","0","0","0","0","610144006","0","0","16","102404003"
