2f3d6c62688beab0dfa907888aaf05d796ba89429c4760d6444494535a46f0a8,f99bb577bdf672a25ce66888b590694ae40f5107c88758840643b996f6da4c37,c53c902d8385413c8d0e92b0ab3edcb2162226990159951575f52806197379e6,4417c767c59d571640391eaf9b3901a5573ea7c2096c84a1786ee279fff6bc6f,48f8a66bb264edd6a48973bbcca27a2d9efd366c55a9eea97c1f4dbc86ea39ae,b61ce2b8da95b4f258e70e2a3c9738632eb398e76fdc62b930c069e26e5852eb,c2dc121c266e16ed288a8453468d4872e16448552d571f1598e782c3e76f6159,c54e09cf1dc4631cfb7cb85601cc1a4fa3b2b5b2e8a69c01ab53ff8e925fe1e0,99ca381410e3d2350dbb2ec506171112d4333d6a143f75c9aaceb8027058d0fa
"50","1.6","1","","0","0","1","610201101","0"
"-75","1.8","1","","200","0","1","610201151","0"
"50","1.6","1","","0","0","1","610201201","0"
"50","1.6","1","","0","0","1","610201202","0"
"50","1.6","1","","0","0","1","610201203","0"
"-75","1.65","1","","200","0","1","610201251","0"
"-75","1.8","1","","200","0","1","610201252","0"
"-75","1.8","1","","200","0","1","610201253","0"
"50","1.6","1","","0","0","1","610201301","0"
"50","1.6","1","","0","0","1","610201302","0"
"50","1.6","1","","0","0","1","610201303","0"
"-75","1.65","1","","200","0","1","610201351","0"
"-75","1.8","1","","200","0","1","610201352","0"
"-75","1.8","1","","200","0","1","610201353","0"
"0","1","2","","0","1","0","610201401","0"
"0","1","3","","0","1","0","610201402","0"
"0","1","4","","0","1","0","610201403","0"
"0","0.78","2","","0","0","0","610201451","-200"
"0","0.78","3","","0","0","0","610201452","-140"
"0","0.78","4","","0","0","0","610201453","-60"
"0","1","2","","0","1","0","610201501","0"
"0","1","3","","0","1","0","610201502","0"
"0","1","4","","0","1","0","610201503","0"
"0","0.78","2","","0","0","0","610201551","-200"
"0","0.78","3","","0","0","0","610201552","-140"
"0","0.78","4","","0","0","0","610201553","-60"
