0a13750da283f6dbc7e1bc94259b1d13f837efd23fd7e08892cb6b0d3d8a1c62,4a8db25d1089f4aea7c435ac5d092b2994b5da3def66e2e921b168b00e15ab80,37ebaa6f23684048381c97b435df2c1c49031a11b698ae3099c4599a6f3e92f5,d9cf61cf9dbbde83e4eee0dbe06f3ded89eaa2b29b617fab6e202ad66cf9a988,dd9e4db20b573747896c50a1a6a1ff151a2cc4b9a2859abef8ba11ec81cd8bc1,0f4c3d61d8104cb246e8057581c92ad69147f26f06c6dd971c7efc9724f79913,f45b012f855e6f5b3ac2427665b3197f7c26f83fc29d64b6adc5809d8ee8ac16,7405362680390dd1f9bc3e358f564eefade5cbec559323157473444a2a69f22b,f8f878ee580c349def9e95798a28ad5ae78a5294b45ec693c2d7625827d6e4f1,ada051496ad4bff7931f85f171ff14958b73d9350757ea51dc02e2d434646523,aa88b1cf9d7e79e0a08e923266a62835c247413a14e501d7c73afb77ba39e60c
"0","10128107","91002","10128","25","8","2","0","5128071","只有兩人的元旦日出","0"
"5128071","0","91002","10128","25","8","2","0","5128072","新家的必備條件","0"
"5128072","0","91002","10128","25","8","2","0","5128073","其實比誰都還要","0"
"5128073","0","91002","10128","25","8","2","0","5128074","想要一家人\n一起珍惜的事","0"
"5128074","0","91002","10128","50","8","2","0","5128075","誓約的諾言","0"
"0","10128107","91002","10128","25","8","3","0","5128081","染血的訂婚通知","0"
"5128081","0","91002","10128","25","8","3","0","5128082","漂泊之人的尋家路","0"
"5128082","0","91002","10128","25","8","3","0","5128083","珍愛時光","0"
"5128083","0","91002","10128","25","8","3","0","5128084","東國的\n家族文化","0"
"5128084","0","91002","10128","50","8","3","0","5128085","傳達真誠的愛","0"
"5128075","0","0","10128","0","0","4","0","5128091","口頭約定是禍端","5128085"
"5128091","0","0","10128","0","0","4","11001271","5128092","不容退讓的家庭味道","0"
"0","10128107","0","10128","0","0","1","0","5128161","夢境說書人的邀請","0"
