3813397cc18fd649009156e6e739b1dc34202da42def7702ed6ecb7f1cb8bb81,f6ba9211fe26c59321e377c1d4d384ffaddd8caf5860c89cdf160ddfebbd774b,5c07604f7f8160e00d743120e4436751f1a21f7c1d44fd2bd64546dc306220c9,0238034febea442485361c02a43280fa167fa28ff57c4dcb2af1f1106c5553d5,ef45e768ff9ff4b4f61d531eb834349b5d573f4f23026462b4dadb0b53bd8231,c6beb4bad3a340e8fbe22beb80965b72c8532ea0ed515510cd7897478ebf9b5e,c0265d679314dffb1042706c838fb0cc07871039d9f8e68b162983ecad1bf660,0c7af01a156c72ba08c3cea09ab0d97bc9f9cbdcd8960fc01f7379657711fdd8,34f1570eef6a63438c192af06777d417170bc9b5c0ee125d6936975fc28f787f,6e634775a563218ba7dbfb83dd5990417135d162e252ae0a8931cb4533cd8390
"0","0","2018/01/01 15:00:00","0","0","0","2019/08/01 15:59:59","0","10001","0"
"1","1001","2019/08/01 16:00:00","1","0","0","2020/02/14 15:59:59","1001","10002","1001"
"1","1001","2020/02/14 16:00:00","1","0","0","2020/08/03 15:59:59","0","10003","0"
"1","1001","2020/08/03 16:00:00","1","1002","0","2020/08/31 23:59:59","1002","10004","1002"
"2","1002","2020/08/03 16:00:00","2","1002","2015009","2020/08/31 23:59:59","1002","10005","1002"
"1","1001","2020/09/01","1","0","0","2021/02/09 04:59:59","0","10006","0"
"2","1002","2020/09/01","2","0","2015009","2021/02/09 04:59:59","0","10007","0"
"1","1001","2021/02/09 05:00:00","1","1003","0","2021/02/26 04:59:59","0","10008","0"
"2","1002","2021/02/09 05:00:00","2","1003","2015009","2021/02/26 04:59:59","0","10009","0"
"1","1001","2021/02/26 04:59:59","1","0","0","2021/08/01 04:59:59","0","10010","0"
"2","1002","2021/02/26 04:59:59","2","0","2015009","2021/08/01 04:59:59","0","10011","0"
"1","1001","2021/08/01 05:00:00","1","1004","0","2021/08/31 23:59:59","1003","10012","1003"
"2","1002","2021/08/01 05:00:00","2","1004","2015009","2021/08/31 23:59:59","1003","10013","1003"
"1","1001","2021/09/01","1","0","0","2023/08/01 04:59:59","0","10014","0"
"2","1002","2021/09/01","2","0","2015009","2023/08/01 04:59:59","0","10015","0"
"1","1001","2023/08/01 05:00:00","1","1008","0","2023/08/31 23:59:59","1005","10028","1005"
"2","1002","2023/08/01 05:00:00","2","1008","2015009","2023/08/31 23:59:59","1005","10029","1005"
"1","1001","2023/09/01","1","0","0","2030/08/15 14:59:59","0","10030","0"
"2","1002","2023/09/01","2","0","2015009","2030/08/15 14:59:59","0","10031","0"
