ee802e66ed56d26811f9ccf81689116324d50590ecc7ea8096855a22c26b2b0f,00fe0e43de588272623aa562820c6bb9c96ca6ec2896733b0555e472ae8d8430,7445aa83520e0fa7e0728d8a3ab15d9eb4ad79184fccd6031c962fa3da447aaf,afd95daa12552934fbd1fc63033d0cd0197912b8b9e9c6f8f4a776c9cf235cd4,fae2de870aec0b950e58bb81ee208204c74e6c347fef5e9e276ee250a448af6f,b7db3ce3458d022d95d9396a311824db83d708fa8bd7d5eeb3aeeefc5b5144ef,ba06ff5e911628fc3190bfdde9b218d930db2760efaccb2da8cd8e1b9941dce2,e704a65fe3f11e23dca2c82b16b0d934f68ec78f1b650582b0df73a3d5d880b3,2b0340d33c7d1dd65bf7b97db711ef0fda17c7fa43128366deba7dabe13c84f4,e8e87513af9047826d2859433700b406fb7e70c3c57126e634ce923aa40735af,a396d311b3d46e247a99651d43361ff6c6025ec0dd3683153c5707b307de1ac6,0e8d1b756c07c3fcdb624bba0a31e6ee658af9531f4bd371068e3172156825c2,69a5f68198696acec5f4f2ba7b2ed451b6d5dfd01e1f3407ea26b5d78021c412,227c43ee884850a040f8143095895d8cef02d9d9497e5cee7a6df7edb7f6b168,292731948cb26f36cb267c65ed364ca4a0a5e2406a2a326dcc682579b1cf5de2
"94002","100198","bgm_MC170","0","-30","0","0","bgm_MC170","1","100198","1.3","92407110","0","0","-30"
"94002","100198","bgm_MC170","0","-30","0","0","bgm_MC170","1","100198","1.3","92407120","0","0","-30"
"94002","100198","bgm_MC170","0","-30","0","0","bgm_MC170","1","100198","1.3","92407130","0","0","-30"
"94002","100198","bgm_MC170","0","-30","0","0","bgm_MC170","1","100198","1.3","92407140","0","0","-30"
"94002","100198","bgm_MC170","0","20","0","0","bgm_MC170","2","100198","1.45","92407210","0","0","-30"
"94002","100198","bgm_MC170","0","20","0","0","bgm_MC170","2","100198","1.45","92407220","0","0","-30"
"94002","100198","bgm_MC170","0","20","0","0","bgm_MC170","2","100198","1.45","92407230","0","0","-30"
"94002","100198","bgm_MC170","0","20","0","0","bgm_MC170","2","100198","1.45","92407240","0","0","-30"
"94002","100198","bgm_MC170","0","-30","0","0","bgm_MC170","3","100198","1.4","92407310","0","0","-30"
"94002","100198","bgm_MC170","0","-30","0","0","bgm_MC170","3","100198","1.4","92407320","0","0","-30"
"94002","100198","bgm_MC170","0","-30","0","0","bgm_MC170","3","100198","1.4","92407330","0","0","-30"
"94002","100198","bgm_MC170","0","-30","0","0","bgm_MC170","3","100198","1.4","92407340","0","0","-30"
"94002","101822","bgm_MC170","0","-30","0","0","bgm_MC170","1","101822","0.9","92408110","0","0","-30"
"94002","101822","bgm_MC170","0","-30","0","0","bgm_MC170","1","101822","0.9","92408120","0","0","-30"
"94002","101822","bgm_MC170","0","-30","0","0","bgm_MC170","1","101822","0.9","92408130","0","0","-30"
"94002","101822","bgm_MC170","0","-30","0","0","bgm_MC170","1","101822","0.9","92408140","0","0","-30"
"94002","101822","bgm_MC170","0","20","0","0","bgm_MC170","2","101822","1","92408210","0","0","-30"
"94002","101822","bgm_MC170","0","20","0","0","bgm_MC170","2","101822","1","92408220","0","0","-30"
"94002","101822","bgm_MC170","0","20","0","0","bgm_MC170","2","101822","1","92408230","0","0","-30"
"94002","101822","bgm_MC170","0","20","0","0","bgm_MC170","2","101822","1","92408240","0","0","-30"
"94002","101822","bgm_MC170","0","0","0","0","bgm_MC170","3","101822","0.9","92408310","0","0","-30"
"94002","101822","bgm_MC170","0","0","0","0","bgm_MC170","3","101822","0.9","92408320","0","0","-30"
"94002","101822","bgm_MC170","0","0","0","0","bgm_MC170","3","101822","0.9","92408330","0","0","-30"
"94002","101822","bgm_MC170","0","0","0","0","bgm_MC170","3","101822","0.9","92408340","0","0","-30"
"94002","101191","bgm_MC170","-50","-30","0","0","bgm_MC170","1","101191","1.25","92409110","0","0","-30"
"94002","101191","bgm_MC170","-50","-30","0","0","bgm_MC170","1","101191","1.25","92409120","0","0","-30"
"94002","101191","bgm_MC170","-50","-30","0","0","bgm_MC170","1","101191","1.25","92409130","0","0","-30"
"94002","101191","bgm_MC170","-50","-30","0","0","bgm_MC170","1","101191","1.25","92409140","0","0","-30"
"94002","101191","bgm_MC170","0","20","0","0","bgm_MC170","2","101191","1","92409210","0","0","-30"
"94002","101191","bgm_MC170","0","20","0","0","bgm_MC170","2","101191","1","92409220","0","0","-30"
"94002","101191","bgm_MC170","0","20","0","0","bgm_MC170","2","101191","1","92409230","0","0","-30"
"94002","101191","bgm_MC170","0","20","0","0","bgm_MC170","2","101191","1","92409240","0","0","-30"
"94002","101191","bgm_MC170","-50","-30","0","0","bgm_MC170","3","101191","1.25","92409310","0","0","-30"
"94002","101191","bgm_MC170","-50","-30","0","0","bgm_MC170","3","101191","1.25","92409320","0","0","-30"
"94002","101191","bgm_MC170","-50","-30","0","0","bgm_MC170","3","101191","1.25","92409330","0","0","-30"
"94002","101191","bgm_MC170","-50","-30","0","0","bgm_MC170","3","101191","1.25","92409340","0","0","-30"
"94002","103013","bgm_MC170","0","-30","0","0","bgm_MC170","1","103013","1.3","92410110","0","0","-30"
"94002","103013","bgm_MC170","0","-30","0","0","bgm_MC170","1","103013","1.3","92410120","0","0","-30"
"94002","103013","bgm_MC170","0","-30","0","0","bgm_MC170","1","103013","1.3","92410130","0","0","-30"
"94002","103013","bgm_MC170","0","-30","0","0","bgm_MC170","1","103013","1.3","92410140","0","0","-30"
"94002","103013","bgm_MC170","0","20","0","0","bgm_MC170","2","103013","1.45","92410210","0","0","-30"
"94002","103013","bgm_MC170","0","20","0","0","bgm_MC170","2","103013","1.45","92410220","0","0","-30"
"94002","103013","bgm_MC170","0","20","0","0","bgm_MC170","2","103013","1.45","92410230","0","0","-30"
"94002","103013","bgm_MC170","0","20","0","0","bgm_MC170","2","103013","1.45","92410240","0","0","-30"
"94002","103013","bgm_MC170","0","-30","0","0","bgm_MC170","3","103013","1.4","92410310","0","0","-30"
"94002","103013","bgm_MC170","0","-30","0","0","bgm_MC170","3","103013","1.4","92410320","0","0","-30"
"94002","103013","bgm_MC170","0","-30","0","0","bgm_MC170","3","103013","1.4","92410330","0","0","-30"
"94002","103013","bgm_MC170","0","-30","0","0","bgm_MC170","3","103013","1.4","92410340","0","0","-30"
"94002","100198","bgm_MC170","40","-30","0","0","bgm_MC170","1","100198","1","92411110","0","0","-30"
"94002","100198","bgm_MC170","40","-30","0","0","bgm_MC170","1","100198","1","92411120","0","0","-30"
"94002","100198","bgm_MC170","40","-30","0","0","bgm_MC170","1","100198","1","92411130","0","0","-30"
"94002","100198","bgm_MC170","40","-30","0","0","bgm_MC170","1","100198","1","92411140","0","0","-30"
"94002","100198","bgm_MC170","140","-90","0","0","bgm_MC170","2","100198","1.45","92411210","0","0","-30"
"94002","100198","bgm_MC170","140","-90","0","0","bgm_MC170","2","100198","1.45","92411220","0","0","-30"
"94002","100198","bgm_MC170","140","-90","0","0","bgm_MC170","2","100198","1.45","92411230","0","0","-30"
"94002","100198","bgm_MC170","140","-90","0","0","bgm_MC170","2","100198","1.45","92411240","0","0","-30"
"94002","100198","bgm_MC170","40","-30","0","0","bgm_MC170","3","100198","1.1","92411310","0","0","-30"
"94002","100198","bgm_MC170","40","-30","0","0","bgm_MC170","3","100198","1.1","92411320","0","0","-30"
"94002","100198","bgm_MC170","40","-30","0","0","bgm_MC170","3","100198","1.1","92411330","0","0","-30"
"94002","100198","bgm_MC170","40","-30","0","0","bgm_MC170","3","100198","1.1","92411340","0","0","-30"
"94002","101621","bgm_MC170","210","-210","0","0","bgm_MC170","1","101621","1","92412110","0","0","-30"
"94002","101621","bgm_MC170","210","-210","0","0","bgm_MC170","1","101621","1","92412120","0","0","-30"
