b7db3ce3458d022d95d9396a311824db83d708fa8bd7d5eeb3aeeefc5b5144ef,292731948cb26f36cb267c65ed364ca4a0a5e2406a2a326dcc682579b1cf5de2,ba06ff5e911628fc3190bfdde9b218d930db2760efaccb2da8cd8e1b9941dce2,fae2de870aec0b950e58bb81ee208204c74e6c347fef5e9e276ee250a448af6f,69a5f68198696acec5f4f2ba7b2ed451b6d5dfd01e1f3407ea26b5d78021c412,0e8d1b756c07c3fcdb624bba0a31e6ee658af9531f4bd371068e3172156825c2,e8e87513af9047826d2859433700b406fb7e70c3c57126e634ce923aa40735af,a396d311b3d46e247a99651d43361ff6c6025ec0dd3683153c5707b307de1ac6,00fe0e43de588272623aa562820c6bb9c96ca6ec2896733b0555e472ae8d8430,227c43ee884850a040f8143095895d8cef02d9d9497e5cee7a6df7edb7f6b168,e704a65fe3f11e23dca2c82b16b0d934f68ec78f1b650582b0df73a3d5d880b3,7445aa83520e0fa7e0728d8a3ab15d9eb4ad79184fccd6031c962fa3da447aaf,2b0340d33c7d1dd65bf7b97db711ef0fda17c7fa43128366deba7dabe13c84f4,afd95daa12552934fbd1fc63033d0cd0197912b8b9e9c6f8f4a776c9cf235cd4,ee802e66ed56d26811f9ccf81689116324d50590ecc7ea8096855a22c26b2b0f
"0","-30","0","-30","0","92407110","100198","1.3","100198","0","bgm_MC170","bgm_MC170","1","0","94002"
"0","-30","0","-30","0","92407120","100198","1.3","100198","0","bgm_MC170","bgm_MC170","1","0","94002"
"0","-30","0","-30","0","92407130","100198","1.3","100198","0","bgm_MC170","bgm_MC170","1","0","94002"
"0","-30","0","-30","0","92407140","100198","1.3","100198","0","bgm_MC170","bgm_MC170","1","0","94002"
"0","-30","0","20","0","92407210","100198","1.45","100198","0","bgm_MC170","bgm_MC170","2","0","94002"
"0","-30","0","20","0","92407220","100198","1.45","100198","0","bgm_MC170","bgm_MC170","2","0","94002"
"0","-30","0","20","0","92407230","100198","1.45","100198","0","bgm_MC170","bgm_MC170","2","0","94002"
"0","-30","0","20","0","92407240","100198","1.45","100198","0","bgm_MC170","bgm_MC170","2","0","94002"
"0","-30","0","-30","0","92407310","100198","1.4","100198","0","bgm_MC170","bgm_MC170","3","0","94002"
"0","-30","0","-30","0","92407320","100198","1.4","100198","0","bgm_MC170","bgm_MC170","3","0","94002"
"0","-30","0","-30","0","92407330","100198","1.4","100198","0","bgm_MC170","bgm_MC170","3","0","94002"
"0","-30","0","-30","0","92407340","100198","1.4","100198","0","bgm_MC170","bgm_MC170","3","0","94002"
"0","-30","0","-30","0","92408110","101822","0.9","101822","0","bgm_MC170","bgm_MC170","1","0","94002"
"0","-30","0","-30","0","92408120","101822","0.9","101822","0","bgm_MC170","bgm_MC170","1","0","94002"
"0","-30","0","-30","0","92408130","101822","0.9","101822","0","bgm_MC170","bgm_MC170","1","0","94002"
"0","-30","0","-30","0","92408140","101822","0.9","101822","0","bgm_MC170","bgm_MC170","1","0","94002"
"0","-30","0","20","0","92408210","101822","1","101822","0","bgm_MC170","bgm_MC170","2","0","94002"
"0","-30","0","20","0","92408220","101822","1","101822","0","bgm_MC170","bgm_MC170","2","0","94002"
"0","-30","0","20","0","92408230","101822","1","101822","0","bgm_MC170","bgm_MC170","2","0","94002"
"0","-30","0","20","0","92408240","101822","1","101822","0","bgm_MC170","bgm_MC170","2","0","94002"
"0","-30","0","0","0","92408310","101822","0.9","101822","0","bgm_MC170","bgm_MC170","3","0","94002"
"0","-30","0","0","0","92408320","101822","0.9","101822","0","bgm_MC170","bgm_MC170","3","0","94002"
"0","-30","0","0","0","92408330","101822","0.9","101822","0","bgm_MC170","bgm_MC170","3","0","94002"
