7767b5917d03dc7cc9d47708d554acd5ce25a3b930c85789fc6d404d5e788b8a,7f0e15e24e29d058714102558602b6cd2e1cdbea2d800c18e717ea405e62d35b,d5ebb92998814ca25eed521833eb928a2ecec896a49ecb877f3b78211a5c1820,ee12ab8bfddc0f8563fd60afcdf8509f302b2186387ca07a8e49d62437fcc5cd,15d9c658f5941e3c8c8123500ae0921521c9c57913012c3f109675807d68817f,5bb15359f52c26db8477a68191867a2764296737a56489c76bc7965aa298d167,11dc8e7968ca2a46ab84d25ac37e14221722cd88e162205a10cc8a43ea303b39,e973212daf1fef59014df665618d3f8d0fdd71879f0126a58e9694e02fa17b62,2cee0d17d5ba976f829853e28ed4ca2c10e9549c54d8e7d1bcdbd8213bed472d
"0","1","0","1","2018/11/08 16:00:00","0","2018/11/12 15:59:59","1","0"
"0","2","0","1","2018/11/30 16:00:00","0","2018/12/04 15:59:59","2","0"
"0","3","0","1","2019/02/13 16:00:00","0","2019/02/23 15:59:59","3","0"
"0","4","0","1","2019/05/03 16:00:00","0","2019/05/14 15:59:59","4","0"
"0","5","0","1","2019/07/01 16:00:00","0","2019/07/15 15:59:59","5","0"
"0","6","0","1","2019/08/01 16:00:00","0","2019/08/15 15:59:59","6","0"
"0","7","0","1","2019/12/13 16:00:00","0","2019/12/30 15:59:59","7","0"
"0","8","0","1","2020/04/22 16:00:00","1","2020/05/08 15:59:59","8","0"
"0","9","0","1","2020/06/22 16:00:00","1","2020/07/07 15:59:59","9","0"
"0","10","0","1","2020/08/03 16:00:00","1","2020/08/09 15:59:59","10","0"
"0","11","0","1","2020/12/21 05:00:00","1","2021/01/06 15:59:59","11","0"
"0","12","0","1","2021/02/11 16:00:00","1","2021/02/18 04:59:59","12","0"
"0","13","0","1","2021/04/16 16:00:00","1","2021/04/22 15:59:59","13","0"
"0","14","0","1","2021/04/27 16:00:00","1","2021/05/03 15:59:59","14","0"
"0","15","0","1","2021/06/19 05:00:00","1","2021/07/02 04:59:59","15","0"
"15","16","14","0","2021/07/02 05:00:00","1","2021/08/02 04:59:59","16","0"
"0","17","0","1","2021/09/01 05:00:00","1","2021/09/11 04:59:59","17","0"
"0","18","0","1","2021/12/17 05:00:00","1","2022/01/03 04:59:59","18","0"
"18","19","17","0","2022/01/03 05:00:00","1","2022/01/31 15:59:59","19","0"
"0","20","0","1","2022/03/07 05:00:00","1","2022/03/14 04:59:59","20","0"
"20","21","7","0","2022/03/14 05:00:00","1","2022/04/03 04:59:59","21","0"
"0","22","0","1","2022/04/25 05:00:00","1","2022/05/08 04:59:59","22","0"
"22","23","13","0","2022/05/08 05:00:00","1","2022/06/04 04:59:59","23","0"
"0","24","0","1","2022/06/19 05:00:00","1","2022/07/04 04:59:59","24","0"
"24","25","15","0","2022/07/04 05:00:00","1","2022/08/02 04:59:59","25","0"
"0","26","0","1","2022/09/01 05:00:00","1","2022/09/11 04:59:59","26","0"
"0","27","0","1","2022/12/17 05:00:00","1","2023/01/03 04:59:59","27","0"
"0","28","0","1","2023/02/26 05:00:00","1","2023/03/05 04:59:59","28","0"
"0","29","0","1","2023/04/26 05:00:00","1","2023/05/08 04:59:59","29","0"
"0","30","0","1","2023/06/19 05:00:00","1","2023/07/03 04:59:59","30","0"
"0","31","0","1","2023/08/27 05:00:00","1","2023/09/02 04:59:59","31","0"
"0","32","0","1","2023/12/16 05:00:00","1","2024/01/02 04:59:59","32","0"
"0","33","0","1","2024/02/29 05:00:00","1","2024/03/06 04:59:59","33","0"
"0","34","0","1","2024/04/23 05:00:00","2","2024/05/06 04:59:59","34","0"
"0","35","0","1","2024/06/17 05:00:00","2","2024/07/02 04:59:59","35","0"
"0","36","0","1","2024/08/28 05:00:00","2","2024/09/02 04:59:59","36","0"
"0","37","0","1","2024/12/16 05:00:00","2","2025/01/02 04:59:59","37","0"
"0","38","0","1","2025/04/22 05:00:00","2","2025/05/05 04:59:59","38","0"
"0","39","0","1","2025/06/12 05:00:00","2","2025/06/23 04:59:59","39","0"
"0","40","0","1","2025/08/28 05:00:00","2","2025/09/02 04:59:59","40","0"
