27618e1d2e6cba1182cb5e9b65523efb620fc43b6842cfe3c52d728cfb46dc36,be5835e9800679983f86e3af4ff34e16c1a0b542af243fa2001bd62b5e4a732a,eda78c01bd41c0ad655aa5aa9b18dbbb2808bc0ab4abb6179f1836876fb98545,efddc98341ef03c0c37edf8534f3454683059b2b4e7b31d8f9e30f2c435ceddb,493d41d315a43ed38443fbbd7989482bfcb070524a2d04b81114cc4a2387c294,e00057eec473e3c4e737cd4861694413940578ec4be37e604cb88199b2882d67,4af32c4c3cc7ae357225d361ce34ad1d77b998dac2eeee014d403fa9b34caa91,f160e2a292b94617a1a6074714dd69828203a2014fb3a1048f3c7cba0d350b0d,fd9d5864203bde9e45cd25d0869cb8d47dd9116aedd3d134f8e12dd2a7359bd8,5f157a787acc3edfb24db3f67d03d89566ba6fbb1b07e56ddf73e761b310ce36,10a82b128c653ab1f0713e2b505910b7e4585738ad3eca91fd48fd297f26b323,18fba93497ea9cfdf347609fd91723d0699ff1d2a30d9e2993b08bd2c3c1416d,f9d308ba06b5d1e6b7aa7c57d82d5f8e422620d4f22072ca78d637d2a1917276,83332fff587f14adb04c6992d6269b18ebe7fa0eed0ef591105dbd1a42ca11a9,e1bb72be4901b61dff1865d204d7f0c41ceb3cfe13c192c7ef2b514e3626bbfe,a2400ed6eb3239454d76dea2a96d33f2d43347f76633cad2050d3c5e6851e666
"155","助人、打氣加油","16","A","44","100101","2","獸人族","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","8","27","破曉之星","日和","東山奈央","最愛幫助別人！　正向思考的格鬥少女","0"
"158","料理、觀察人類","17","O","47","100201","2","人族","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","4","5","破曉之星","優衣","種田梨沙","擅長支援戰鬥，心地善良的少女","0"
"163","讀書、騎馬、茶","18","B","46","100301","2","魔族","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","1","12","破曉之星","怜","早見沙織","冷酷又率直的劍士","0"
"128","惡作劇、探險","9","O","27","100401","5","人族","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","8","10","小小甜心","禊","諸星すみれ","愛好冒險的搗蛋鬼","0"
"146","英雄扮演遊戲","12","O","40","100501","8","獸人族","？？？","11","25","王宮騎士團","茉莉","下田麻美","仰慕英雄的見習騎士少女","0"
"150","薩克斯風","13","O","42","100601","7","魔族","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","11","22","惡魔偽王國軍","茜里","浅倉杏美","愛撒嬌又受大家喜歡","0"
"130","吃布丁","14","B","32","100701","7","魔族","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","1","23","惡魔偽王國軍","宮子","雨宮天","最愛布丁的幽靈少女","0"
"150","欣賞鏡中的自己","14","AB","40","100801","15","精靈族","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","10","10","純白之翼 蘭德索爾分部","雪","大空直美","我比任何人都還要美麗","0"
"159","寫小說","17","A","45","100901","13","魔族","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","7","5","暮光流星群","杏奈","髙野麻美","相信前世的中二病患「疾風之冥姬」","0"
"155","幻想、蒐集玩偶","16","O","42","101001","10","獸人族","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","9","22","哞哞自衛隊","真步","内田真礼","真步真步王國的公主","0"
