8b6ba911a9a25e148c08ecbaf841cead84d6d912512111c34dea19e858ec525c,a8261a3d2a86b847a89a51862deb31cee443948e539a20952f08cd54ec28a89b,bee656463e21754403d11d449e1892208665557c0e70ae9ad6221a625d13acf2,9ea38670f512cdcf2d766efb200c367a2066cd6467dbad5415e1a5c26b9c8a9e,aee2defe3828cc877f9e369d486975e528dd89bd97045f3d40749861cb5bad13,7833c952faabe416483ee0b0001d1e4d04f664ea0466974e905a9177d2af79cc
"101001","1","1110111","1","0","111011101"
"101002","1","1110211","1","0","111021101"
"301","3","1330111","1","0","133011101"
"301","3","1330112","1","0","133011201"
"302","3","1330201","0","500","133020101"
"302","3","1330202","0","500","133020201"
"303","3","1330301","0","1","133030101"
"303","3","1330302","0","250","133030201"
"303","3","1330303","0","1","133030301"
"303","3","1330304","0","1","133030401"
"303","3","1330305","0","250","133030501"
"303","3","1330306","0","1","133030601"
"304","3","1330401","0","1000","133040101"
"304","3","1330402","0","1000","133040201"
"304","3","1330403","0","1000","133040301"
"304","3","1330404","0","1000","133040401"
"305","3","1330511","1","0","133051101"
"305","3","1330512","1","0","133051201"
"401","3","1340101","0","1","134010101"
"401","3","1340102","0","1","134010201"
"402","3","1340211","1","0","134021101"
"402","3","1340212","1","0","134021201"
"1","4","1400101","0","1","140010101"
"1","4","1400102","0","1","140010201"
"1","4","1400103","0","10","140010301"
"2","4","1400201","0","0","140020101"
"0","1","2100001","0","0","210000101"
"101003","1","2110301","0","0","211030101"
"100001","2","2210101","0","0","221010101"
"100002","2","2210201","0","0","221020101"
"100003","2","2210301","0","0","221030101"
"100005","2","2210501","0","0","221050101"
"100007","2","2210701","0","0","221070101"
"100008","2","2210801","0","0","221080101"
"100009","2","2210901","0","0","221090101"
"100010","2","2211001","0","0","221100101"
"100011","2","2211101","0","0","221110101"
"100012","2","2211201","0","0","221120101"
"100013","2","2211301","0","0","221130101"
"100014","2","2211401","0","0","221140101"
"100016","2","2211601","0","0","221160101"
"100017","2","2211701","0","0","221170101"
"201020","1","2220201","0","0","222020101"
"201040","1","2220401","0","0","222040101"
"201050","1","2220501","0","0","222050101"
"201060","1","2220601","0","0","222060101"
"201070","1","2220701","0","0","222070101"
"201080","1","2220801","0","0","222080101"
"201090","1","2220901","0","0","222090101"
"201100","1","2221001","0","0","222100101"
"201110","1","2221101","0","0","222110101"
"201130","1","2221301","0","0","222130101"
"201140","1","2221401","0","0","222140101"
"201160","1","2221601","0","0","222160101"
"201180","1","2221801","0","0","222180101"
"201190","1","2221901","0","0","222190101"
"201200","1","2222001","0","0","222200101"
"201210","1","2222101","0","0","222210101"
"201220","1","2222201","0","0","222220101"
"201230","1","2222301","0","0","222230101"
"201240","1","2222401","0","0","222240101"
"201250","1","2222501","0","0","222250101"
"201270","1","2222701","0","0","222270101"
"201280","1","2222801","0","0","222280101"
"201290","1","2222901","0","0","222290101"
"201300","1","2223001","0","0","222300101"
"201320","1","2223201","0","0","222320101"
"201340","1","2223401","0","0","222340101"
"201350","1","2223501","0","0","222350101"
"201360","1","2223601","0","0","222360101"
"201370","1","2223701","0","0","222370101"
"201380","1","2223801","0","0","222380101"
"201390","1","2223901","0","0","222390101"
"201400","1","2224001","0","0","222400101"
"201410","1","2224101","0","0","222410101"
"201430","1","2224301","0","0","222430101"
"201440","1","2224401","0","0","222440101"
"201470","1","2224701","0","0","222470101"
"201480","1","2224801","0","0","222480101"
"201490","1","2224901","0","0","222490101"
"301","3","2330101","0","1000","233010101"
"305","3","2330501","0","1000","233050101"
"402","3","2340201","0","0","234020101"
"403","3","2340301","0","0","234030101"
"1","4","2400101","0","0","240010101"
"0","1","3100001","0","0","310000101"
"0","1","3100002","0","0","310000102"
"101001","1","3110101","0","0","311010101"
"101002","1","3110201","0","0","311020101"
