97429e887f459691f68dc1e881fc3d37d4f44e03295e9d67d7f71376ed5731b4,e5944d4ddca2e92471d38c9ad23866e63bc6d4b43f13d6e3fd43c900f4fe6bcb,6534c31b0698c789175642f72861ba10cdcd2c3655292228b2ae64e8f93cf076,894d744655226c0f1570789860b0695c144da8073b16a8fc01d03f3901dbffc3,49924167d71b8685911508f9b6b7ee81873124f97fce658c3c1395e8f0bd9998,c966cf41291062b01251d35c33673278af29d21f7cf24f0ba51f32e328f59f5f
"1","92407","2024/11/19 15:59:59","70001","朱火深淵","2024/11/15 16:00:00"
"2","92408","2024/12/09 15:59:59","70002","轟流深淵","2024/12/05 16:00:00"
"5","92409","2025/01/10 04:59:59","70003","玄闇深淵","2025/01/05 16:00:00"
"4","92410","2025/02/10 04:59:59","70004","燦爛深淵","2025/02/05 16:00:00"
"1","92411","2025/03/10 04:59:59","70005","朱火深淵","2025/03/05 16:00:00"
"3","92412","2025/04/10 04:59:59","70006","烈風深淵","2025/04/05 16:00:00"
"5","92413","2025/05/10 04:59:59","70007","玄闇深淵","2025/05/05 16:00:00"
"2","92414","2025/06/10 04:59:59","70008","轟流深淵","2025/06/05 16:00:00"
"3","92415","2025/07/10 04:59:59","70009","烈風深淵","2025/07/05 16:00:00"
"4","92416","2025/08/10 04:59:59","70010","燦爛深淵","2025/08/05 16:00:00"
"5","92417","2025/09/10 04:59:59","70011","玄闇深淵","2025/09/05 16:00:00"
"1","92418","2025/10/15 04:59:59","70012","朱火深淵","2025/10/10 16:00:00"
"3","92419","2025/11/10 04:59:59","70013","烈風深淵","2025/11/05 16:00:00"
"4","92420","2025/12/15 04:59:59","70014","燦爛深淵","2025/12/10 16:00:00"
"1","92421","2026/01/10 04:59:59","70015","朱火深淵","2026/01/05 16:00:00"
"2","92422","2026/02/10 04:59:59","70016","轟流深淵","2026/02/05 16:00:00"
"4","92423","2026/03/10 04:59:59","70017","燦爛深淵","2026/03/05 16:00:00"
"1","92424","2026/04/10 04:59:59","70018","朱火深淵","2026/04/05 16:00:00"
"3","92425","2026/05/10 04:59:59","70019","烈風深淵","2026/05/05 16:00:00"
"2","92426","2026/06/10 04:59:59","70020","轟流深淵","2026/06/05 16:00:00"
