0aa381cfcf49b564f0473bf8572d7f918fc5e2f0b41412facf86b885e4013d8f,df9b1a361a3d8068d00a6c6548cd70935f736ed1a03f80db733665503fd9a20f,ac32eb51a91176afda681289900e9ab67591a2b3e4a4c8d66455d3b295b2694b,d4f49ad6d952c86aef93291f2e0ddb7c3f0ddbd5066518164617580b675dbd47,0f135f58627daf944950b7b33a2e2e61d9a51f8ada2908999a8390f5fbe5cc0e,2467959c4d0e2401b5193bf7631500370db4f6b13a8398405b6cf761e500b4fe,41d18174fcc9292a80a07210666f877d044c1774b973171a059b75d9076c77f7
"呵呵呵，這樣一來就能報復嘉夜夜和老大了！","vo_minigame_1004_top_1_000","1","10001","1000101","2","vo_minigame_1004"
"接龍之戰，我要找哥哥幫忙。","vo_minigame_1004_top_1_003","1","10002","1000201","2","vo_minigame_1004"
"打手就是不管別人怎樣找碴都來者不拒！看我的！","vo_minigame_1004_top_1_004","2","10003","1000301","1","vo_minigame_1004"
"用石板進行接龍嗎……祈梨那人想的活動真有趣呢。","vo_minigame_1004_top_1_005","2","10004","1000401","1","vo_minigame_1004"
"管它是接龍還是什麼，就給他們回馬槍吧！","vo_minigame_1004_top_1_006","2","10005","1000501","1","vo_minigame_1004"
"咕麼……（我、肚子餓了）","vo_minigame_1004_top_1_007","3","10006","1000601","2","vo_minigame_1004"
"咕麼麼麼麼（接龍真有趣）","vo_minigame_1004_top_1_008","3","10007","1000701","2","vo_minigame_1004"
"咕麼麼麼麼！（祈梨 是好人）","vo_minigame_1004_top_1_009","3","10008","1000801","2","vo_minigame_1004"
"就算對手是嘉夜夜，我也不會手下留情。","vo_minigame_1004_top_2_010","1","10009","1000901","2","vo_minigame_1004"
"好極了！要比的話就要認真的比哦。","vo_minigame_1004_top_2_011","2","10009","1000902","1","vo_minigame_1004"
"嘉夜夜，要道歉就趁現在。","vo_minigame_1004_top_2_012","1","10010","1001001","2","vo_minigame_1004"
"祈梨才是，妳要偷哭的話就趁現在吧？","vo_minigame_1004_top_2_013","2","10010","1001002","1","vo_minigame_1004"
"嘉夜夜，今後可是知性的時代哦？","vo_minigame_1004_top_2_014","1","10011","1001101","2","vo_minigame_1004"
"慢著！不要把我說得像笨蛋一樣！！","vo_minigame_1004_top_2_015","2","10011","1001102","1","vo_minigame_1004"
"來，讓妳見識一下我們的力量！","vo_minigame_1004_top_2_016","1","10012","1001201","1","vo_minigame_1004"
"咕麼！（交給我！）","vo_minigame_1004_top_2_017","3","10012","1001202","2","vo_minigame_1004"
"乖乖，很好，做得好的話，就給你巧克力！","vo_minigame_1004_top_2_018","1","10013","1001301","1","vo_minigame_1004"
"咕麼！（我 喜歡巧克力）","vo_minigame_1004_top_2_019","3","10013","1001302","2","vo_minigame_1004"
"喏，祈梨……妳是不是已經迷失當時的目的了？","vo_minigame_1004_top_2_023","2","10014","1001401","1","vo_minigame_1004"
"我當然記得，就是要打倒嘉夜夜，證明我們的智慧。","vo_minigame_1004_top_2_024","1","10014","1001402","2","vo_minigame_1004"
"就算對手是祈梨，我也不會把勝利讓給妳的！","vo_minigame_1004_top_2_025","2","10015","1001501","1","vo_minigame_1004"
"正合我意，我可不會手下留情哦！","vo_minigame_1004_top_2_026","1","10015","1001502","2","vo_minigame_1004"
"嘿，妳還滿行的嘛！","vo_minigame_1004_top_2_027","2","10016","1001601","1","vo_minigame_1004"
"嘉夜夜也比我想像的還厲害呢！","vo_minigame_1004_top_2_028","1","10016","1001602","2","vo_minigame_1004"
"喂～似龍生物？","vo_minigame_1004_top_2_029","2","10017","1001701","1","vo_minigame_1004"
"咕麼！？（噫！）","vo_minigame_1004_top_2_030","3","10017","1001702","2","vo_minigame_1004"
"哎呀，那時真是不好意思啊哈哈哈！","vo_minigame_1004_top_2_031","2","10018","1001801","1","vo_minigame_1004"
"咕麼麼麼……（嘉夜夜 好可怕）","vo_minigame_1004_top_2_032","3","10018","1001802","2","vo_minigame_1004"
"你啊……還真是一臉呆樣呢。","vo_minigame_1004_top_2_033","2","10019","1001901","1","vo_minigame_1004"
"咕麼……（妳還 敢說我）","vo_minigame_1004_top_2_034","3","10019","1001902","2","vo_minigame_1004"
"咕麼……（肚子餓了 想要巧克力）","vo_minigame_1004_top_2_044","3","10020","1002001","2","vo_minigame_1004"
"怎麼了？睏了嗎？","vo_minigame_1004_top_2_045","2","10020","1002002","1","vo_minigame_1004"
"咕麼麼（這傢伙……好危險）","vo_minigame_1004_top_2_046","3","10021","1002101","2","vo_minigame_1004"
"嗯？　怎麼了？想當我的小弟嗎？","vo_minigame_1004_top_2_047","2","10021","1002102","1","vo_minigame_1004"
"咕麼……（嘉夜夜是 肌肉笨蛋）","vo_minigame_1004_top_2_048","3","10022","1002201","2","vo_minigame_1004"
"喂，你現在在想沒禮貌的事吧？","vo_minigame_1004_top_2_049","2","10022","1002202","1","vo_minigame_1004"
"欸，這個要持續到什麼時候？","vo_minigame_1004_top_3_058","2","10023","1002301","1","vo_minigame_1004"
"到嘉夜夜投降為止！","vo_minigame_1004_top_3_059","1","10023","1002302","2","vo_minigame_1004"
"咕麼麼！（給我投降！）","vo_minigame_1004_top_3_060","3","10023","1002303","2","vo_minigame_1004"
"咕麼！（祈梨 我想要巧克力）","vo_minigame_1004_top_3_065","3","10024","1002401","2","vo_minigame_1004"
"真拿你沒辦法，不可以吃太多哦！","vo_minigame_1004_top_3_066","1","10024","1002402","1","vo_minigame_1004"
"你好像很喜歡伴手禮的巧克力呢。","vo_minigame_1004_top_3_067","2","10024","1002403","1","vo_minigame_1004"
"咕麼！（我不會輸給 嘉夜夜！）","vo_minigame_1004_top_3_068","3","10025","1002501","2","vo_minigame_1004"
"哦？怎麼了？是肚子餓了嗎？","vo_minigame_1004_top_3_069","2","10025","1002502","1","vo_minigame_1004"
"……完全無法溝通。","vo_minigame_1004_top_3_070","1","10025","1002503","2","vo_minigame_1004"
