b5e164065816d35441947bdf4de285a2d36a75249b7ce8659a103315d2ba0ed5,446cf8d70b529096c3d4d8b3eae0ad96840e4ec180f1b8ad3b5ca2bea5cd25a5,b6ad0f4c2ae883a70b81e5fee7b3b9ed933678c594fb1c7c40863343fd32c90e,8b312c28dda222cf5de24949e930fc64b155d139ead3e58e0b12e6dba68f0d6c,369beebd4afe61c12669ebdcac84bbe6e87730e88726f962a57146f4a58921c8,9484ec345c19bf631247e25a9172eb0f7c3f3f9887a263ddb3d971ff9b8df9d9,74f80b467ea4fbab0228f5186121e91770b05287de55e2a347faedb8aac23b53,a72eadfd1d06ff03388afb5a90bab84a5caa0f40fd9f01f621d37a13718df9ca
"1","0","為什麼會發\n生這種事？","0","2020/12/18 05:00:00","2030/01/01 01:00:00","1","5023000"
"2","0","竟然說不出\n日安這句話","0","2020/12/18 05:00:00","2030/01/01 01:00:00","2","5023001"
"3","0","搞砸了！","0","2020/12/18 05:00:00","2030/01/01 01:00:00","3","5023002"
"4","0","優妮是\n這樣的人","0","2020/12/19 05:00:00","2030/01/01 01:00:00","4","5023002"
"5","0","克蘿依是\n這樣的人","0","2020/12/19 05:00:00","2030/01/01 01:00:00","5","5023002"
"6","0","琪愛兒是\n這樣的人","0","2020/12/19 05:00:00","2030/01/01 01:00:00","6","5023002"
"7","0","知性的\n優妮","0","2020/12/20 05:00:00","2030/01/01 01:00:00","7","5023003"
"8","0","溫柔的\n克蘿依","0","2020/12/20 05:00:00","2030/01/01 01:00:00","8","5023003"
"9","0","令人崇拜的\n琪愛兒","0","2020/12/20 05:00:00","2030/01/01 01:00:00","9","5023003"
"10","0","特別講座的\n練習","0","2020/12/21 05:00:00","2030/01/01 01:00:00","10","5023003"
"11","0","終於來了\n特別講座","0","2020/12/21 05:00:00","2030/01/01 01:00:00","11","5023004"
"12","0","真不愧是BB團的團長！","0","2020/12/21 05:00:00","2030/01/01 01:00:00","12","5023005"
"13","0","曼德拉草\n造成大混亂","0","2020/12/21 05:00:00","2030/01/01 01:00:00","13","5023006"
"14","0","最終日","0","2020/12/25 16:00:00","2030/01/01 01:00:00","14","5023007"
"0","1","","0","2020/12/25 16:00:00","2030/01/01 01:00:00","15","5023000"
"0","1","","0","2020/12/25 16:00:00","2030/01/01 01:00:00","16","5023000"
"0","1","","0","2020/12/25 16:00:00","2030/01/01 01:00:00","17","5023000"
