fe4c61c8defa015cd8aae3e6dd7c0c5b06ff29d5641900de6fe21a8041fe9cf2,cdaa0c17963d2669084f8f3ed19a5aa140162972ac8fb439c9e25e788cb7da65,7dd08c30e81c97b29248679e6fa7469b36e4de94847bc065fc5747c895fef9c9,ec6d12dca86fc9be4f76525f8df68b166dd19c23c36dce5b0243d46970b74021,3e9deaa0e994a3ae0dc8233a0fa0528cb6f15519c946c3ea7458599fb891ab54,7e6be3d53aea7e49fa60fddd8ec5f4a2c06e6f630522f9fc27a94c9824034672,6d6848a5eaed24c5c198d56547cbeff1f911d293214d026de5ed1e7d2bb236e6,051b396e551d775e38cdfa43c8919fc4a4e431e167a20fd73900f9df0bb269f7
"0","0","10012103","0","10012","0","1001201","1"
"0","0","10012107","0","10012","0","1001202","2"
"0","0","10012109","0","10012","0","1001203","3"
"0","0","10012114","0","10012","1001201","1001204","4"
"0","0","10012114","0","10012","1001202","1001204","5"
"0","0","10012114","0","10012","1001203","1001204","6"
"0","0","20012103","0","20012","0","2001201","7"
"0","0","20012107","0","20012","0","2001202","8"
"0","0","20012109","0","20012","0","2001203","9"
"0","0","20012114","0","20012","2001201","2001204","10"
"0","0","20012114","0","20012","2001202","2001204","11"
"0","0","20012114","0","20012","2001203","2001204","12"
