ed1ba8bc3eb395b3011915153b2028b932fa399082c7224700c9b94393ad1016,62e9e6244b77fe45efbcf8e8d937006f777f3830e93afcc67ff2530d6d2e0c3e,a12df295f8b82aa0604464e0b1b13a5c819310c197626fe9696e73f624aad48f,233f339ce6318522495a0af6bc9e1c40a903c3d155fa23e233d52fafd0b787aa,5290166d34e17efcb3b9593c997964c7fcb3567ca28177be2ee02bb9fdfbf2af,397a30ede40929e0f341bec52eac24a472ebb6a39691e642b19f1df048c72272,7d14cb6d9d1dea75f824f22a6a77fe502c79e2c191cef7463304d9c32ce34fb9,ad9b2da8b1ba1919aed7c96d9d0600b39d4989903a492b336d6249c52f8a5826
"3","短時間內，展開障礙物護盾！","0","101","0","2001","0","短時間內，展開障礙物護盾　　　　（TP上升率：大）"
"5","中時間內，小幅度提升速度與跳躍力！","0","102","5","3","5","中時間內，小幅度提升速度與　　　跳躍力（TP上升率：小）"
"4","短時間內，中幅度提升速度！","0","103","6","1","0","短時間內，中幅度提升速度　　　　（TP上升率：中）"
"5","中時間內，展開障礙物護盾！","0","104","0","2001","0","中時間內，展開障礙物護盾　　　　（TP上升率：小）"
"6","中時間內，小幅度提升速度！","0","105","3","1","0","中時間內，小幅度提升速度　　　　（TP上升率：小）"
"6","中時間內，對戰對手小幅度減速！","0","106","4","1001","0","中時間內，對戰對手小幅度減速　　（TP上升率：大）"
"5","中時間內，特大幅度提升速度與跳躍力！","0","107","17","3","16","中時間內，特大幅度提升速度與　　跳躍力（TP上升率：小）"
"40","回合內，中幅度提升速度！","0","108","8","1","0","回合內，中幅度提升速度　　　　　（TP上升率：小）"
"4","短時間內，特大幅度提升速度！","0","109","30","1","0","短時間內，特大幅度提升速度　　　（TP上升率：特小）"
"40","回合內，對戰對手大幅度減速！","0","110","10","1001","0","回合內，對戰對手中幅度減速　　　（TP上升率：小）"
"1","極短時間內，展開障礙物護盾！","0","111","0","2001","0","極短時間內，展開障礙物護盾　　　（TP上升率：大）"
"4","短時間內，最前方對戰對手大幅度減速！","0","112","15","1004","0","短時間內，最前方對戰對手　　　　大幅度減速（TP上升率：小）"
"6","中時間內，小幅度提升速度！","0","113","5","1","0","中時間內，小幅度提升速度　　　　（TP上升率：大）"
"5","中時間內，小幅度提升跳躍力！","0","114","5","2","0","中時間內，小幅度提升跳躍力　　　（TP上升率：大）"
"7","長時間內，以護盾防止能力降低！","0","115","0","2002","0","長時間內，以護盾防止能力降低　　（TP上升率：特大）"
"25","累積時，小幅度提升速度！","0","116","3","1","0","累積時，小幅度提升速度　　　　　（TP上升率：特大）"
"25","累積時，對戰對手小幅度減速！","0","117","3","1001","0","累積時，對戰對手小幅度減速　　　（TP上升率：特大）"
"7","長時間內，特大幅度提升速度與跳躍力！","0","118","30","3","20","長時間內，特大幅度提升速度與　　跳躍力（TP上升率：中）"
"4","短時間內，最前方對戰對手大幅度減速！","0","119","15","1004","0","短時間內，最前方的對戰對手　　　大幅度減速（TP上升率：中）"
"7","長時間內，以護盾防止能力降低！","0","120","0","2002","0","長時間內，以護盾防止能力降低　　（TP上升率：大）"
"12","長時間內，特大幅度提升跳躍力！","0","121","30","2","0","長時間內，特大幅度提升跳躍力　　（TP上升率：中）"
"30","累積時，最前方的對戰對手大幅度減速！","0","122","15","1004","0","累積時，最前方的對戰對手　　　　大幅度減速（TP上升率：中）"
"4","短時間大幅度加速後，極短時間減速！","8","123","11","4","2","短時間大幅度加速後，減速　　　　（TP上升率：大）"
"8","長時間內，中幅度提升速度！","0","124","9","1","0","長時間內，中幅度提升速度　　　　（TP上升率：大）"
"4","短時間內，展開障礙物護盾！","0","125","0","2001","0","短時間內，展開障礙物護盾　　　　（TP上升率：中）"
"30","累積時，對戰對手小幅度減速！","0","126","3","1001","0","累積時，對戰對手小幅度減速　　　（TP上升率：特大）"
"10","長時間內，特大幅度提升速度！","0","127","22","1","0","長時間內，特大幅度提升速度　　　（TP上升率：特小）"
"4","中時間內，特大幅度提升跳躍力！","0","128","30","2","0","短時間內，特大幅度提升跳躍力　　（TP上升率：大）"
"3","短時間內，對戰對手特大幅度減速！","0","129","20","1001","0","短時間內，對戰對手特大幅度減速　（TP上升率：大）"
"4","短時間內，特大幅度提升速度！","0","130","30","1","0","短時間內，特大幅度提升速度　　　（TP上升率：大）"
