a5bd7824796c9c1123eb65f04fe4701d207f88ee00d927c4ced4c916e6f4e117,d74e2a1c2b05e7bba458bcb44f87bc41da0061686a871f24562cbb015d962066,d13466448f192902800efba391244e993a848318592aa0b0b43d001e176909c6,54ca71fb2bd050a8d575efee02bec17dc3776ba54ab1954d3de7954fcaa3e610,9f1b86ae3fe2d85b13e37ce0d425e8b2c7996b8d5b2cb3e14b85fea3ad8c52be,6a4a6ec9b3213c1cfaf97380481cf088b39f4061a67ddf8227ed70b28846e20b,2c5b9c0e502f7bed7b9089d41d4dcdc69b5ae16eaebc71d43b349f2ad324d607,480e198d449c493f03bcb806761e2c23d738c8ef1c3a788ca409873b69a7bab8,9b76b834c4c54de9d6de38208f973f742570cd772f0973e9bccedd93a2d9a698,e3267975d87245323dcc151b94de59bc7f77624a517b2d71af6921e04fcd47fc,a7ff507af758c2a0008044bd6e70ec9b3d61aa28077bc10527037133130060f7,6259e6be572409529224cea9722df026ca9e0db7303136e3f87080d1975c36b1,942b31bf3ff9c6b4b7b6d572d39744b524c741f871a3987fecfee9475d36c370,e1cc0eba8b6fc040895b45319a13957257b94901d79f3b89e84d9d1b4c0fc927,3b9f1ab4da3692f20b46a4737fda4ed0b115f7abbcc17ea1471e1011d3205dba,33226ceadb21740efbc5f4b990dc86feee215cf2c64aaa4240aebd3d87e95cf7
"0","20000","1","收集 15 種布丁","0","0","0","0","0","15","12","1","94002","0","0","0"
"0","30000","2","收集 30 種布丁","0","0","0","0","0","30","12","1","94002","0","0","0"
"0","50","3","收集 40 種布丁","0","0","0","0","0","40","8","1","91002","0","0","0"
"0","50000","4","收集 50 種布丁","0","0","0","0","0","50","12","1","94002","0","0","0"
"0","50","5","收集 55 種布丁","0","0","0","0","0","55","8","1","91002","0","0","0"
"0","100000","6","收集 60 種布丁","0","0","0","0","0","60","12","1","94002","0","0","0"
"0","1","7","收集所有 66 種布丁","0","0","0","100","91002","66","15","1","11001164","0","8","0"
"0","50000","8","完成 25％ 布丁筆記本","0","0","0","0","0","25","12","2","94002","0","0","0"
"0","50","9","完成 50％ 布丁筆記本","0","0","0","0","0","50","8","2","91002","0","0","0"
"0","100000","10","完成 75％ 布丁筆記本","0","0","0","0","0","75","12","2","94002","0","0","0"
"91002","1","11","完成 100％ 布丁筆記本","100","0","0","1","11001165","100","16","2","9000100","0","15","8"
