9b9e0a5315db21c5f4a14b3d9e968324786e599ca82915065ead5e3c4ce49b00,44d7c8e323014b551bf17efab0ac862e9cce4914c72941c88cfd7edd77f0b797,d4ff65b29832f79b49f1b062bdcfc12e9af05962abf793075adeab39c63cffcf,75dfe8ee72736be6254d0aca0c10adcb12eb3147bf1ec00440684f332a33eb33,33102ea3d62c0a4ec66a894d140585663c772b985b7555d4b99f5666a8f9bca3,a243dc511134953c8a42fc53a940dbf3358244fbd2bc798b123a35522dd542a6,6bc2b49f35bc073a6557d517af9226653e516eec11a06c1a8396f3f4b5258912,8670b63c2c25fba16ba9310d417ebc7cbc16ff970c41625489f10997e2fb54bb,7a4df49221c46d9b7a297a3fab1dfd27b2dfa9770ea2ae1b8a585e683f712c1d,39740d5361f00465837d4a18e952e6e629b1e70cc16c6f480f2523707b91fdea
"111","0","101","3","0","0","25101","0","5000000","2"
"211","0","201","3","0","0","25101","0","5000000","2"
"311","0","301","2","0","0","25101","0","5500000","2"
"411","0","401","2","0","0","25101","0","5500000","2"
"511","0","501","3","0","0","25101","0","6000000","2"
"611","0","601","2","0","0","25101","0","6000000","2"
"711","0","701","2","0","0","25101","0","6500000","2"
"811","0","801","2","0","0","25101","0","6500000","2"
"911","0","901","3","0","0","25101","0","7000000","2"
"1011","0","1001","2","0","0","25101","0","7000000","2"
"1111","1112","1101","2","0","0","25101","0","7500000","2"
"1211","1212","1201","2","0","0","25101","0","7500000","2"
"1311","0","1301","3","0","0","25101","0","8000000","2"
"1411","0","1401","2","0","0","25101","0","8000000","2"
"1511","0","1501","2","0","0","25101","0","8500000","2"
"1611","0","1601","2","0","0","25101","0","8500000","2"
"1711","0","1701","3","0","0","25101","0","9000000","2"
"1811","1812","1801","2","0","0","25101","0","9000000","2"
"1911","0","1901","2","0","0","25101","0","9500000","2"
"2011","0","2001","2","0","0","25101","0","9500000","2"
"2111","0","2101","3","0","0","25101","0","10000000","2"
"2211","0","2201","2","0","0","25101","0","10000000","2"
"2311","0","2301","2","0","0","25101","0","10500000","2"
"2411","0","2401","2","0","0","25101","0","10500000","2"
"2511","0","2501","3","0","0","25101","0","11000000","2"
"2611","2612","2601","2","0","0","25101","0","11000000","2"
"2711","2712","2701","2","0","0","25101","0","11500000","2"
"2811","2812","2801","2","0","0","25101","0","11500000","2"
"2911","0","2901","3","0","0","25101","0","12000000","2"
"3011","3012","3001","2","0","0","25101","0","12000000","2"
"3111","0","3101","2","0","0","25101","0","12500000","2"
"3211","0","3201","2","0","0","25101","0","12500000","2"
"3311","0","3301","3","0","0","25101","0","13000000","2"
"3411","0","3401","3","0","0","25101","0","13000000","2"
"3511","0","3501","3","0","0","25101","0","13500000","2"
"3611","0","3601","3","0","0","25101","0","13500000","2"
"3711","0","3701","3","0","0","25101","0","13500000","2"
"3811","3812","3801","3","0","0","25101","0","14000000","2"
"3911","0","3901","3","0","0","25101","0","14000000","2"
"4011","0","4001","3","0","0","25101","0","14000000","2"
"4111","0","4101","3","0","0","25101","0","14500000","2"
"4211","4212","4201","3","0","0","25101","0","14500000","2"
"4311","0","4301","3","0","0","25101","0","14500000","2"
"4411","0","4401","3","0","0","25101","0","15000000","2"
"4511","0","4501","3","0","0","25101","0","15000000","2"
"4611","0","4601","3","0","0","25101","0","15000000","2"
"4711","0","4701","3","0","0","25101","0","15500000","2"
"4811","0","4801","3","0","0","25101","0","15500000","2"
"4911","0","4901","3","0","0","25101","0","15500000","2"
"5011","0","5001","3","0","0","25101","0","16000000","2"
"5111","0","5101","3","0","0","25101","0","16000000","2"
"5211","0","5201","3","0","0","25101","0","16000000","2"
"5311","0","5301","3","0","0","25101","0","16500000","2"
"5411","5412","5401","3","0","0","25101","0","16500000","2"
"5511","0","5501","3","0","0","25101","0","16500000","2"
"5611","0","5601","3","0","0","25101","0","17000000","2"
"5711","0","5701","3","0","0","25101","0","17000000","2"
"5811","0","5801","3","0","0","25101","0","17000000","2"
"5911","0","5901","3","0","0","25101","0","17500000","2"
"6011","0","6001","3","0","0","25101","0","17500000","2"
"6111","0","6101","3","0","0","25101","0","17500000","2"
"6211","6212","6201","3","0","0","25101","0","18000000","2"
"6311","0","6301","3","0","0","25101","0","18000000","2"
"6411","0","6401","3","0","0","25101","0","18000000","2"
"6511","0","6501","3","0","0","25101","0","18500000","2"
"6611","0","6601","3","0","0","25101","0","18500000","2"
