0de37d693dc9006dce8866d9114894ee81d69d52ed165ae56dcbac28351260b5,d39bc1666bcfd5d90243863ff525484f40a8a5a52082bb04b1a3fe69e2d5903e,8d16a684e500514833362bd020ec7e4ad1b5779532b4a244793ab346b57c93a1,2d1f1a5ba02fb9ca74e49e37efc5362bc3b21ae57a46cf6a4af824542ed6d012,db8335e702e33643e6d4d92d92494026a348c2ee0a22c8806ed7f1e1a9ff4433,96c65444d3c2f47da2730dbd75a172e3fd0ca500a7b1034839172c6c935b021c,f7224775c66762857c03f97203fb4c1a72ceb8a27692f59d4034caf1646d89d6
"10070","1007001","0","20039101","圖畫日記之1","0","0"
"10070","1007002","0","20039101","圖畫日記之2","0","1007001"
"10070","1007003","0","20039103","圖畫日記之3","0","1007002"
"10070","1007004","0","20039106","圖畫日記之4","0","1007003"
"10070","1007005","0","20039107","圖畫日記之5","0","1007004"
"10070","1007006","0","20039110","圖畫日記之6","0","1007005"
"10070","1007007","0","20039112","圖畫日記之7","0","1007006"
"10070","1007008","0","0","圖畫日記之8","2003901","1007007"
"10070","1007009","0","0","惠理子的圖畫日記","2003901","1007007"
"10070","1007010","0","0","靜流的圖畫日記","2003901","1007007"
"10070","1007011","2021/11/15 16:00:00","20039101","圖畫日記之1(批閱)","0","0"
"10070","1007012","2021/11/15 16:00:00","20039101","圖畫日記之2(批閱)","0","0"
"10070","1007013","2021/11/15 16:00:00","20039103","圖畫日記之3(批閱)","0","0"
"10070","1007014","2021/11/15 16:00:00","20039106","圖畫日記之4(批閱)","0","0"
"10070","1007015","2021/11/15 16:00:00","20039107","圖畫日記之5(批閱)","0","0"
"10070","1007016","2021/11/15 16:00:00","20039110","圖畫日記之6(批閱)","0","0"
"10070","1007017","2021/11/15 16:00:00","20039112","圖畫日記之7(批閱)","0","0"
"10070","1007018","2021/11/15 16:00:00","0","圖畫日記之8(批閱)","2003901","0"
"10070","1007019","2021/11/15 16:00:00","0","惠理子的圖畫日記(批閱)","2003901","0"
"10070","1007020","2021/11/15 16:00:00","0","靜流的圖畫日記(批閱)","2003901","0"
