3e5526c31c4cda900009667a13a1a225601567952483a1cc6321a0d3c4f8585e,bb8f9b397466a87e9754826be177eedfa336dd68a57a271c74adb0d0eacdbc79,557d160e2f7eed7b514507e59fdd783c4010146e63af4b73ab9751e8e949bd18,2548d9ecde3c1074ca2bb9a841f48513dc72121829e6ddca2cf6bbbc3e0d33ba,51ece732eec600386f39e3073a7c6ebb810ab9ca65f444070319973e57a66e2b,1aa2083d316561daaf108b20778bf2598f3aa4edd2d0b29a461d15442f1e7ec9,85e20c4f81905b03648437ff4272b7eaabcdf65321af6b7d23c553e32330cf51,48a2762a73c9247228b13cadf20fc98ad2e3dad6992a6259a4b88d53e7f5f9f6
"內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","1","未鑑定的\n平凡寶物","200","100","未鑑定的平凡寶物","53001","1"
"內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","2","未鑑定的\n貴重寶物","400","200","未鑑定的貴重寶物","53002","1"
"內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。","3","未鑑定的\n頂級寶物","800","400","未鑑定的頂級寶物","53003","1"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","平凡寶石","200","100","平凡寶石","53004","0"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","貴重寶石","400","200","貴重寶石","53005","0"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","頂級寶石","800","400","頂級寶石","53006","0"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","平凡金屬塊","200","100","平凡金屬塊","53007","0"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","貴重金屬塊","400","200","貴重金屬塊","53008","0"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","頂級金屬塊","800","400","頂級金屬塊","53009","0"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","平凡卷軸","200","100","平凡卷軸","53010","0"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","貴重卷軸","400","200","貴重卷軸","53011","0"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","頂級卷軸","800","400","頂級卷軸","53012","0"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","平凡皇冠","200","100","平凡皇冠","53013","0"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","貴重皇冠","400","200","貴重皇冠","53014","0"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","頂級皇冠","800","400","頂級皇冠","53015","0"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","平凡符文","200","100","平凡符文","53016","0"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","貴重符文","400","200","貴重符文","53017","0"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","頂級符文","800","400","頂級符文","53018","0"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","平凡王冠","200","100","平凡王冠","53019","0"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","貴重王冠","400","200","貴重王冠","53020","0"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","頂級王冠","800","400","頂級王冠","53021","0"
"平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","平凡古遺物","200","100","平凡古遺物","53022","0"
"稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","貴重古遺物","400","200","貴重古遺物","53023","0"
"非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","頂級古遺物","800","400","頂級古遺物","53024","0"
