48a2762a73c9247228b13cadf20fc98ad2e3dad6992a6259a4b88d53e7f5f9f6,557d160e2f7eed7b514507e59fdd783c4010146e63af4b73ab9751e8e949bd18,bb8f9b397466a87e9754826be177eedfa336dd68a57a271c74adb0d0eacdbc79,2548d9ecde3c1074ca2bb9a841f48513dc72121829e6ddca2cf6bbbc3e0d33ba,85e20c4f81905b03648437ff4272b7eaabcdf65321af6b7d23c553e32330cf51,3e5526c31c4cda900009667a13a1a225601567952483a1cc6321a0d3c4f8585e,51ece732eec600386f39e3073a7c6ebb810ab9ca65f444070319973e57a66e2b,1aa2083d316561daaf108b20778bf2598f3aa4edd2d0b29a461d15442f1e7ec9
"1","未鑑定的\n平凡寶物","1","200","53001","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","100","未鑑定的平凡寶物"
"1","未鑑定的\n貴重寶物","2","400","53002","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","200","未鑑定的貴重寶物"
"1","未鑑定的\n頂級寶物","3","800","53003","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。","400","未鑑定的頂級寶物"
"0","平凡寶石","1","200","53004","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","100","平凡寶石"
"0","貴重寶石","2","400","53005","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","200","貴重寶石"
"0","頂級寶石","3","800","53006","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","400","頂級寶石"
"0","平凡金屬塊","1","200","53007","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","100","平凡金屬塊"
"0","貴重金屬塊","2","400","53008","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","200","貴重金屬塊"
"0","頂級金屬塊","3","800","53009","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","400","頂級金屬塊"
"0","平凡卷軸","1","200","53010","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","100","平凡卷軸"
"0","貴重卷軸","2","400","53011","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","200","貴重卷軸"
"0","頂級卷軸","3","800","53012","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","400","頂級卷軸"
"0","平凡皇冠","1","200","53013","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","100","平凡皇冠"
"0","貴重皇冠","2","400","53014","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","200","貴重皇冠"
"0","頂級皇冠","3","800","53015","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","400","頂級皇冠"
"0","平凡符文","1","200","53016","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","100","平凡符文"
"0","貴重符文","2","400","53017","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","200","貴重符文"
"0","頂級符文","3","800","53018","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","400","頂級符文"
"0","平凡王冠","1","200","53019","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","100","平凡王冠"
"0","貴重王冠","2","400","53020","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","200","貴重王冠"
"0","頂級王冠","3","800","53021","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","400","頂級王冠"
"0","平凡古遺物","1","200","53022","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","100","平凡古遺物"
"0","貴重古遺物","2","400","53023","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","200","貴重古遺物"
"0","頂級古遺物","3","800","53024","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","400","頂級古遺物"
