73649aa47cc45fed773deb70bc6b8bcd76b440a0282d14c92534c9393cc68463,42d186ea262800ef92e89a368d85ea4f51513b23b3f817ec1a74a4944aef0a7c,fc9a6c7e5db3d5ab8322657a4b810ebd875a35ca9c1fc828efe2865e251068df,9885d6dce9d09d3eff3db3a5d99ce9e6ba4f0b5945cabf19123a03fc3892b370,8c9d9b6bb078b5d48061ab10f001056b0d0a14eee4731857bb949d64119becd6,aa45c22633de606560f2c779cb1ec296b1e3a5837ecb85daf93a1344ced4f2e2,6523ca200b37d08272545ff5211c10b1550231befa40c7229f4a3e90bbb303f8,c5cfc6741cfc9559bd846027a8834e183a4d13b255232dc592f78fa031216f1c,149b14e7c505749d0b2bd6f1df6ca018af3b7af22b0a3d604279570dd51b1517,b47801f93ebf08aa049d7f5903860d2ca5500d6752b682ebe5f2d2baf6ec5d2d,e5854dedb918ab4c74a192ca5197f5e9d004926805d73025c79503435f5d00d0,d6702a08cdc0971c84975d24b48af7bf70d3e729fbe826205f4e8eda2e709225,5abaddc0906a7b50ee4b9a483188cd30a6f5f448f8b1a6d1d94a965f7e6a5f7e,85de66f1ead7e9205604719a41db4f7aaa0ca5d02645c143a324bc81ac3dd028
"4","30","1","6","30","1","1","1","1","1","-1","1001","7","1"
"31","60","1","6","60","1","1","1","1","1","-1","1002","11","1"
"61","90","1","6","90","1","1","1","1","1","-1","1003","15","1"
"91","120","1","6","120","1","1","1","1","1","-1","1004","19","1"
"121","150","1","6","150","1","1","1","1","1","-1","1005","23","1"
"151","180","1","6","180","1","1","1","1","1","-1","1006","27","1"
"181","210","1","6","210","1","1","1","1","1","-1","1007","29","1"
"211","240","1","6","240","1","1","1","1","1","-1","1008","31","1"
"241","270","1","6","270","1","1","1","1","1","-1","1009","31","1"
"271","300","1","6","300","1","1","1","1","1","-1","1010","31","1"
"301","-1","1","6","310","1","1","1","1","1","-1","1011","31","1"
"4","30","1","5","30","1","2","1","1","1","-1","1101","7","1"
"31","60","1","5","60","1","2","1","1","1","-1","1102","11","1"
"61","90","1","5","90","1","2","1","1","1","-1","1103","15","1"
"91","120","1","5","120","1","2","1","1","1","-1","1104","19","1"
"121","150","1","5","150","1","2","1","1","1","-1","1105","23","1"
"151","180","1","5","180","1","2","1","1","1","-1","1106","27","1"
"181","210","1","5","210","1","2","1","1","1","-1","1107","29","1"
"211","240","1","5","240","1","2","1","1","1","-1","1108","31","1"
"241","270","1","5","270","1","2","1","1","1","-1","1109","31","1"
