acedead0824f64e2cccf0c7dc29a168f1c70df75a530d57eed7090064ad1ecfc,8101e33ad167479784018437ef3dff82ef55c324957dee918491b2d010b3355f,01ce2f0ae3e7caf6d664057b696c29122409af9798b1ed3228905714030739de,13c2165e8938854d272346352ddcc796eaef58d025c09e30668cff7a3c0a3bcb,371f2236ea92e91afea391e68bffa98058736d892360c8641ed26f9f34af6e5b,6fd4fa5214362be228a0ecec8ba3b93b51193fff5d74e2c14d35cbb675841a74,610386ff3923676bd9b6fd9b63485f397b270735ec6f81fd0ff22457b3ef4397,9bcca0aefe469628c209672a80250c872228dd87dbd45c696a18a8f0745f1006,434849ae866f0af54d28608f2ea03e8bb5bb6f9dc65dfc273ca94c30bd8f399f,809885a92c81c017c954b607f6d3cad0b436d06fe00b75c3405dcd3062688ed3,29f5a7acd9fe8f40f3bd2118de9da02091e9acb9f5fd5d01a678c03b97bc2aee,8e0339dbc94bde6f10d808f600b392809b2dabf0926adf307b0aea638012c8da,66700cfcec0f6fd58ab58f692b36d4e97dd2fc95a2e6576d80e55728c9d84654,ed1bc886e1dbfccd78da93e57710d85f6d839c2c8f985bb5b6b172b030af722c
"7","1","1","1001","1","1","30","1","-1","6","4","1","30","1"
"11","1","1","1002","1","1","60","1","-1","6","31","1","60","1"
"15","1","1","1003","1","1","90","1","-1","6","61","1","90","1"
"19","1","1","1004","1","1","120","1","-1","6","91","1","120","1"
"23","1","1","1005","1","1","150","1","-1","6","121","1","150","1"
"27","1","1","1006","1","1","180","1","-1","6","151","1","180","1"
"29","1","1","1007","1","1","210","1","-1","6","181","1","210","1"
"31","1","1","1008","1","1","240","1","-1","6","211","1","240","1"
"31","1","1","1009","1","1","270","1","-1","6","241","1","270","1"
"31","1","1","1010","1","1","300","1","-1","6","271","1","300","1"
"31","1","1","1011","1","1","310","1","-1","6","301","1","-1","1"
"7","2","1","1101","1","1","30","1","-1","5","4","1","30","1"
"11","2","1","1102","1","1","60","1","-1","5","31","1","60","1"
"15","2","1","1103","1","1","90","1","-1","5","61","1","90","1"
"19","2","1","1104","1","1","120","1","-1","5","91","1","120","1"
"23","2","1","1105","1","1","150","1","-1","5","121","1","150","1"
"27","2","1","1106","1","1","180","1","-1","5","151","1","180","1"
"29","2","1","1107","1","1","210","1","-1","5","181","1","210","1"
