709658e873912728f73ab91bfea34a23302c0d8ef3f6f841cd3d2e6a65180c17,ff0bd06214abf8e773537fd33c321b89776db3c051c49f86aa89e0d01d17d5a0,e633e25a5217ed4480a01168d6c1a95c3ebf949020501f32ad2aa1902040e59a,5792776cf7b23f31e09bc12847595830e205b0c360ad8da5792871c8377b4ea2,9448a608c17a3a6fa32977eec9b6bb459ada4f5c796bd27eee70d5781a8ce100,a53f74e78633160dd156215ccdaddec95cbe28638c0157fe1663f1cc31acada9,488b07e2ead2fad25a4959ba35d8edeff4699b11ef9494cc4647c02f31521267,2fc589e9c2513f6e45d50da09c92ab9cfad26638c4f1476256b2f8f05c1de2df,c9cb544c17238da59c7758df8f685d4519f14f8b1ce2cd8b3acb3603e8b9aaa8,048c986ed4e32087a7f2db52b21567a0f63a7a206d61db7d2ca631072be7fcce,50c55a4ff7464e932f50566432f225693226d259ab4c2b1ef7b2748edc4c0387
"bgm_M199_juke","2030/12/31 15:00:00","1001","1002","2020-06-22 16:00:00","來動手製作\n充滿愛意的巧克力蛋糕吧！\n超可愛的點擊遊戲！","","bgm_M199","哥哥爭奪戰！\n誰的巧克力更好吃SHOW","2030/12/31 15:00:00","10000"
"bgm_M227_juke","2030/12/31 15:00:00","1002","1003","2020-06-22 16:00:00","大旋轉！空花！\n最棒的絕頂體驗就在這裡！\n一起往上飛翔，空中的旅行！","","bgm_M227","空花大旋轉\n飛行絕頂體驗","2030/12/31 15:00:00","10000"
"bgm_M249_juke","2030/12/31 15:00:00","1003","1004","2020-06-22 16:00:00","這就是琉球魂！\n打倒蜂擁而上的奄美魔物\n令人爽快的動作遊戲！","","bgm_M249","香織的靈魂式空手道場","2030/12/31 15:00:00","10000"
"bgm_M277_juke","2030/12/31 15:00:00","1004","1005","2020-06-22 16:00:00","戰鬥白熱化！\n龍族巢穴流的\n單挑動動腦接龍！","","bgm_M277","大激戰！龍人們的接龍競賽","2030/12/31 15:00:00","10000"
"bgm_M355_Lofi_juke","2030/12/31 15:00:00","1005","1006","2020-09-01 16:00:00","你有辦法保護好起司嗎！？\n考驗瞬發力的\n訓練反射神經休閒小遊戲！","","bgm_M355_Lofi","啾啾大恐慌！\n保衛起司大作戰！","2030/12/31 15:00:00","10000"
"bgm_M399","2030/12/31 15:00:00","1006","1007","2021-01-06 16:00:00","目標成為全壘打強打！\n掌握關鍵時機擊球的\n運動類型動作小遊戲！","","bgm_M399","猛訓打擊道！\n美里的全壘打訓練場","2030/12/31 15:00:00","10000"
"bgm_M500","2030/12/31 15:00:00","1007","1008","2022-01-03 16:00:00","慈樂之音粉絲大興奮！\n獲得演唱會加油周邊，\n成為「慈樂之音神推」為目標！","","bgm_M500","慈樂之音的夏日演唱會\n演唱會會場 周邊區 ","2030/12/31 15:00:00","10000"
"bgm_M540","2030/12/31 15:00:00","1008","1009","2022-04-25 16:00:00","Let's cooking！\n和宮子一起製作蒐集布丁，\n精通布丁之道吧！","","bgm_M540","宮子廚房　通往究極之路","2030/12/31 15:00:00","10000"
"bgm_M569","2022/08/21 23:59:59","1009","1010","2022-08-01 21:00:00","5人小隊合力挑戰各式各\n樣類型的謎題！\n以當上猜謎公主為目標吧！","蘭德索爾猜謎連結！","bgm_M569","Happy Anniv.特別版　\n蘭德索爾猜謎連結！","2022/08/01 21:00:00","0"
"bgm_M605","2030/12/31 15:00:00","1010","1011","2022-11-25 16:00:00","於沙灘上奔馳的公主！\n挑戰亂七八糟的路線的\n南島沙灘搶旗！","","bgm_M605","飛奔吧常夏！\n極限沙灘搶旗","2030/12/31 15:00:00","10000"
"bgm_MC068","2030/12/31 15:00:00","1012","1012","2024-01-17 16:00:00","目標是全部答對！\n與凱留和鈴奈在放學後的教室中\n進行兩人獨處的猜謎讀書會！","放學後的猜謎讀書會　{0}","bgm_MC068","凱留與鈴奈的\n放學後的猜謎讀書會","2030/12/31 15:00:00","10000"
"bgm_MC141","2030/12/31 15:00:00","1013","1013","2024-08-15 16:00:00","前往突破魔物橫行的街道！\n率領【王宮騎士團】\n的士兵們，挑戰訓練吧！","行軍A-Go-Go！","bgm_MC141","惠理子和真琴的\n行軍A-Go-Go！","2030/12/31 15:00:00","10000"
"bgm_MC199_Battle","2030/12/31 15:00:00","1014","1014","2025-03-15 16:00:00","戰車戰鬥大會，開幕！\n用組裝起來的原創戰車，\n爭取冠軍吧！","衝突！破壞！\n非法坦克大戰","bgm_MC199","衝突！破壞！\n非法坦克大戰","2030/12/31 15:00:00","10000"
