6962b459b884b53e300fbc16dd258b7d654261fca5a119905ed1793b2bd8d1fc,59c429e54a8f725d671a5a1359c9a4c3c86ff599dd132994e0a25a7aefc4a62c,7f284de4d48ba51bbf44d140053baebfd8ebcc06ef710099f88e29433f32a717,3c4194feed9dd915ba6f014b6d1a8d7211e1127b67bc7c7c7b7935baac13ae17,6bd15376b551805904287260960f974e3f5e161d086d02436c3388863994b99b,92b9b67692fbf7f1a4a4d9d8fb7e473eb0af8131f93859d8473cd9e119695406,8bfb7ab47f8a425ba45c0f652b1c0fb9ec39fe12df71e4e9137acb385b64b8f4
"70004","21","0","0","2021/04/23 05:00:00","400","2021/04/25 04:59:59"
"70004","22","0","0","2021/04/23 05:00:00","401","2021/04/25 04:59:59"
"70005","23","1","0","0","416","0"
"70005","24","2","0","0","417","0"
"70005","25","3","0","0","418","0"
"80004","26","3","0","2021/07/17 05:00:00","9002001","2021/07/18 04:59:59"
"80004","27","3","0","2021/07/18 05:00:00","9002002","2021/07/19 04:59:59"
"80004","28","3","0","2021/07/19 05:00:00","9002003","2021/07/20 04:59:59"
"80004","29","3","0","2021/07/20 05:00:00","9002004","2021/07/21 04:59:59"
"80004","30","3","0","2021/07/21 05:00:00","9002005","2021/07/22 04:59:59"
"80004","31","3","0","2021/07/22 05:00:00","9002006","2021/07/23 04:59:59"
"80004","32","3","0","2021/07/23 05:00:00","9002007","2021/07/24 04:59:59"
"80004","33","3","0","2021/07/24 05:00:00","9002008","2021/07/25 04:59:59"
"80004","34","3","0","2021/07/25 05:00:00","9002009","2021/07/26 04:59:59"
"80004","35","3","0","2021/07/26 05:00:00","9002010","2021/07/27 04:59:59"
"80004","36","3","0","2021/07/27 05:00:00","9002011","2021/07/28 04:59:59"
"80004","37","3","0","2021/07/28 05:00:00","9002012","2021/07/29 04:59:59"
"80004","38","3","0","2021/07/29 05:00:00","9002013","2021/07/30 04:59:59"
"80004","39","3","0","2021/07/30 05:00:00","9002014","2021/07/31 04:59:59"
"80004","40","3","0","2021/07/31 05:00:00","9002015","2021/08/01 04:59:59"
