e6d7e7a7f2b0c083ce0b1ff82cfa53818a650acec422c6cb3bd7d6616bbe3ba2,f4cbec88a5bd7a694e8b128e19309796d712290bb3c95e0f94a75d925a5c5510,07846d624634c4d40ee2a6ff9c680f3a65170bdbc4be0e74a608b9fcf79c8163,6ef11284b9a4320c7c33e76cc5892debd0aa5926956557d36293e7d0fa3eec1d,25381ccb27b7ecac9831a7afb22a23e9fed5052dd9f6b193d81e34ea7ea664e0,874ddf0816126370a2ccc6411e6f16948158cc33edd5885ff5127fecbadd1156
"2024/11/19 15:59:59","2024/11/15 16:00:00","70001","1","朱火深淵","92407"
"2024/12/09 15:59:59","2024/12/05 16:00:00","70002","2","轟流深淵","92408"
"2025/01/10 04:59:59","2025/01/05 16:00:00","70003","5","玄闇深淵","92409"
"2025/02/10 04:59:59","2025/02/05 16:00:00","70004","4","燦爛深淵","92410"
"2025/03/10 04:59:59","2025/03/05 16:00:00","70005","1","朱火深淵","92411"
"2025/04/10 04:59:59","2025/04/05 16:00:00","70006","3","烈風深淵","92412"
"2025/05/10 04:59:59","2025/05/05 16:00:00","70007","5","玄闇深淵","92413"
"2025/06/10 04:59:59","2025/06/05 16:00:00","70008","2","轟流深淵","92414"
"2025/07/10 04:59:59","2025/07/05 16:00:00","70009","3","烈風深淵","92415"
"2025/08/10 04:59:59","2025/08/05 16:00:00","70010","4","燦爛深淵","92416"
"2025/09/10 04:59:59","2025/09/05 16:00:00","70011","5","玄闇深淵","92417"
"2025/10/15 04:59:59","2025/10/10 16:00:00","70012","1","朱火深淵","92418"
"2025/11/10 04:59:59","2025/11/05 16:00:00","70013","3","烈風深淵","92419"
"2025/12/15 04:59:59","2025/12/10 16:00:00","70014","4","燦爛深淵","92420"
"2026/01/10 04:59:59","2026/01/05 16:00:00","70015","1","朱火深淵","92421"
"2026/02/10 04:59:59","2026/02/05 16:00:00","70016","2","轟流深淵","92422"
"2026/03/10 04:59:59","2026/03/05 16:00:00","70017","4","燦爛深淵","92423"
