155d8a9688ebd3de28b42937e297a456f4071b29313828eaf6b05eaad9ddeabf,b1afea1125672562dca987150ccc5d5da174fd4a46a3e333c83cfcd4c573cdfa,760034a635ffe63fa7888d5e49640b691021b043831c341863f4d0d2076d1872,955c2d1584c3ea9ad1611bddf49c29cc0cb77154677ec7d774a745476f3aea53,52f63d4c91b9e662f73a90e72eb94179064c8ebd71887e0d3e08a95f771d4b46,d2708eab3e398c6e61728f4fc459d2b9b7afbb283c5269341e14d39aaea6b897
"1110111","1","111011101","1","101001","0"
"1110211","1","111021101","1","101002","0"
"1330111","3","133011101","1","301","0"
"1330112","3","133011201","1","301","0"
"1330201","3","133020101","0","302","500"
"1330202","3","133020201","0","302","500"
"1330301","3","133030101","0","303","1"
"1330302","3","133030201","0","303","250"
"1330303","3","133030301","0","303","1"
"1330304","3","133030401","0","303","1"
"1330305","3","133030501","0","303","250"
"1330306","3","133030601","0","303","1"
"1330401","3","133040101","0","304","1000"
"1330402","3","133040201","0","304","1000"
"1330403","3","133040301","0","304","1000"
"1330404","3","133040401","0","304","1000"
"1330511","3","133051101","1","305","0"
"1330512","3","133051201","1","305","0"
"1340101","3","134010101","0","401","1"
"1340102","3","134010201","0","401","1"
"1340211","3","134021101","1","402","0"
"1340212","3","134021201","1","402","0"
"1400101","4","140010101","0","1","1"
"1400102","4","140010201","0","1","1"
"1400103","4","140010301","0","1","10"
"1400201","4","140020101","0","2","0"
"2100001","1","210000101","0","0","0"
"2110301","1","211030101","0","101003","0"
"2210101","2","221010101","0","100001","0"
"2210201","2","221020101","0","100002","0"
"2210301","2","221030101","0","100003","0"
"2210501","2","221050101","0","100005","0"
"2210701","2","221070101","0","100007","0"
"2210801","2","221080101","0","100008","0"
"2210901","2","221090101","0","100009","0"
"2211001","2","221100101","0","100010","0"
"2211101","2","221110101","0","100011","0"
"2211201","2","221120101","0","100012","0"
"2211301","2","221130101","0","100013","0"
"2211401","2","221140101","0","100014","0"
"2211601","2","221160101","0","100016","0"
"2211701","2","221170101","0","100017","0"
"2220201","1","222020101","0","201020","0"
"2220401","1","222040101","0","201040","0"
"2220501","1","222050101","0","201050","0"
"2220601","1","222060101","0","201060","0"
"2220701","1","222070101","0","201070","0"
"2220801","1","222080101","0","201080","0"
"2220901","1","222090101","0","201090","0"
"2221001","1","222100101","0","201100","0"
"2221101","1","222110101","0","201110","0"
"2221301","1","222130101","0","201130","0"
"2221401","1","222140101","0","201140","0"
"2221601","1","222160101","0","201160","0"
"2221801","1","222180101","0","201180","0"
"2221901","1","222190101","0","201190","0"
"2222001","1","222200101","0","201200","0"
"2222101","1","222210101","0","201210","0"
"2222201","1","222220101","0","201220","0"
"2222301","1","222230101","0","201230","0"
"2222401","1","222240101","0","201240","0"
"2222501","1","222250101","0","201250","0"
"2222701","1","222270101","0","201270","0"
"2222801","1","222280101","0","201280","0"
"2222901","1","222290101","0","201290","0"
"2223001","1","222300101","0","201300","0"
"2223201","1","222320101","0","201320","0"
"2223401","1","222340101","0","201340","0"
"2223501","1","222350101","0","201350","0"
"2223601","1","222360101","0","201360","0"
"2223701","1","222370101","0","201370","0"
"2223801","1","222380101","0","201380","0"
"2223901","1","222390101","0","201390","0"
"2224001","1","222400101","0","201400","0"
"2224101","1","222410101","0","201410","0"
"2224301","1","222430101","0","201430","0"
"2224401","1","222440101","0","201440","0"
"2224701","1","222470101","0","201470","0"
"2224801","1","222480101","0","201480","0"
"2224901","1","222490101","0","201490","0"
"2330101","3","233010101","0","301","1000"
"2330501","3","233050101","0","305","1000"
"2340201","3","234020101","0","402","0"
"2340301","3","234030101","0","403","0"
"2400101","4","240010101","0","1","0"
"3100001","1","310000101","0","0","0"
"3100002","1","310000102","0","0","0"
"3110101","1","311010101","0","101001","0"
"3110201","1","311020101","0","101002","0"
