d2708eab3e398c6e61728f4fc459d2b9b7afbb283c5269341e14d39aaea6b897,b1afea1125672562dca987150ccc5d5da174fd4a46a3e333c83cfcd4c573cdfa,52f63d4c91b9e662f73a90e72eb94179064c8ebd71887e0d3e08a95f771d4b46,155d8a9688ebd3de28b42937e297a456f4071b29313828eaf6b05eaad9ddeabf,955c2d1584c3ea9ad1611bddf49c29cc0cb77154677ec7d774a745476f3aea53,760034a635ffe63fa7888d5e49640b691021b043831c341863f4d0d2076d1872
"0","1","101001","1110111","1","111011101"
"0","1","101002","1110211","1","111021101"
"0","3","301","1330111","1","133011101"
"0","3","301","1330112","1","133011201"
"500","3","302","1330201","0","133020101"
"500","3","302","1330202","0","133020201"
"1","3","303","1330301","0","133030101"
"250","3","303","1330302","0","133030201"
"1","3","303","1330303","0","133030301"
"1","3","303","1330304","0","133030401"
"250","3","303","1330305","0","133030501"
"1","3","303","1330306","0","133030601"
"1000","3","304","1330401","0","133040101"
"1000","3","304","1330402","0","133040201"
"1000","3","304","1330403","0","133040301"
"1000","3","304","1330404","0","133040401"
"0","3","305","1330511","1","133051101"
"0","3","305","1330512","1","133051201"
"1","3","401","1340101","0","134010101"
"1","3","401","1340102","0","134010201"
"0","3","402","1340211","1","134021101"
"0","3","402","1340212","1","134021201"
"1","4","1","1400101","0","140010101"
"1","4","1","1400102","0","140010201"
"10","4","1","1400103","0","140010301"
"0","4","2","1400201","0","140020101"
"0","1","0","2100001","0","210000101"
"0","1","101003","2110301","0","211030101"
"0","2","100001","2210101","0","221010101"
"0","2","100002","2210201","0","221020101"
"0","2","100003","2210301","0","221030101"
"0","2","100005","2210501","0","221050101"
"0","2","100007","2210701","0","221070101"
"0","2","100008","2210801","0","221080101"
"0","2","100009","2210901","0","221090101"
"0","2","100010","2211001","0","221100101"
"0","2","100011","2211101","0","221110101"
"0","2","100012","2211201","0","221120101"
"0","2","100013","2211301","0","221130101"
"0","2","100014","2211401","0","221140101"
"0","2","100016","2211601","0","221160101"
"0","2","100017","2211701","0","221170101"
"0","1","201020","2220201","0","222020101"
"0","1","201040","2220401","0","222040101"
"0","1","201050","2220501","0","222050101"
"0","1","201060","2220601","0","222060101"
"0","1","201070","2220701","0","222070101"
"0","1","201080","2220801","0","222080101"
"0","1","201090","2220901","0","222090101"
"0","1","201100","2221001","0","222100101"
"0","1","201110","2221101","0","222110101"
"0","1","201130","2221301","0","222130101"
"0","1","201140","2221401","0","222140101"
"0","1","201160","2221601","0","222160101"
"0","1","201180","2221801","0","222180101"
"0","1","201190","2221901","0","222190101"
"0","1","201200","2222001","0","222200101"
"0","1","201210","2222101","0","222210101"
"0","1","201220","2222201","0","222220101"
"0","1","201230","2222301","0","222230101"
"0","1","201240","2222401","0","222240101"
"0","1","201250","2222501","0","222250101"
"0","1","201270","2222701","0","222270101"
"0","1","201280","2222801","0","222280101"
"0","1","201290","2222901","0","222290101"
"0","1","201300","2223001","0","222300101"
"0","1","201320","2223201","0","222320101"
"0","1","201340","2223401","0","222340101"
"0","1","201350","2223501","0","222350101"
"0","1","201360","2223601","0","222360101"
"0","1","201370","2223701","0","222370101"
"0","1","201380","2223801","0","222380101"
"0","1","201390","2223901","0","222390101"
"0","1","201400","2224001","0","222400101"
"0","1","201410","2224101","0","222410101"
"0","1","201430","2224301","0","222430101"
"0","1","201440","2224401","0","222440101"
"0","1","201470","2224701","0","222470101"
"0","1","201480","2224801","0","222480101"
"0","1","201490","2224901","0","222490101"
"1000","3","301","2330101","0","233010101"
"1000","3","305","2330501","0","233050101"
"0","3","402","2340201","0","234020101"
"0","3","403","2340301","0","234030101"
"0","4","1","2400101","0","240010101"
"0","1","0","3100001","0","310000101"
"0","1","0","3100002","0","310000102"
"0","1","101001","3110101","0","311010101"
"0","1","101002","3110201","0","311020101"
