4d62f50c5814b86e4d04ee92183248a9086a7eedf03ea336d7238ed3cb244d22,9a537ab08aca2ddb34481ef71f9f79d4722b44d6eb8332a694c1a4a864974fc9,2a3e80536e22a477aae9e38fa395e38d23c7ae998e7f0963322dda596fbd4df9,376ec27b8742b41871d90e7ab8e2fbc24a845b425b7bd090d6e35f744bffbabf,d829963da76c0f30c4c514ea2a8a223d20b28fec7138729317d74a92ab10385e
"0","150","1","1","1038"
"0","151","2","2","1038"
"0","152","3","3","1038"
"0","153","4","4","1038"
"0","154","5","5","1038"
"0","156","6","1","1039"
"0","157","7","2","1039"
"0","158","8","3","1039"
"0","159","9","4","1039"
"0","160","10","5","1039"
"0","162","11","1","1040"
"0","163","12","2","1040"
"0","164","13","3","1040"
"0","165","14","4","1040"
"0","166","15","5","1040"
"0","168","16","1","1041"
"0","169","17","2","1041"
"0","170","18","3","1041"
"0","171","19","4","1041"
"0","172","20","5","1041"
"0","174","21","1","1042"
"0","175","22","2","1042"
"0","176","23","3","1042"
"0","177","24","4","1042"
"0","178","25","5","1042"
"0","180","26","1","1043"
"0","181","27","2","1043"
"0","182","28","3","1043"
"0","183","29","4","1043"
"0","184","30","5","1043"
"0","186","31","1","1044"
"0","187","32","2","1044"
"0","188","33","3","1044"
"0","189","34","4","1044"
"0","190","35","5","1044"
"0","192","36","1","1045"
"0","193","37","2","1045"
"0","194","38","3","1045"
"0","195","39","4","1045"
"0","196","40","5","1045"
"0","198","41","1","1046"
"0","199","42","2","1046"
"0","200","43","3","1046"
"0","201","44","4","1046"
"0","202","45","5","1046"
"0","204","46","1","1047"
"0","205","47","2","1047"
"0","206","48","3","1047"
"0","207","49","4","1047"
"0","208","50","5","1047"
"0","210","51","1","1048"
"0","211","52","2","1048"
"0","212","53","3","1048"
"0","213","54","4","1048"
"0","214","55","5","1048"
"0","216","56","1","1049"
"0","217","57","2","1049"
"0","218","58","3","1049"
"0","219","59","4","1049"
"0","220","60","5","1049"
"0","222","61","1","1050"
"0","223","62","2","1050"
"0","224","63","3","1050"
"0","225","64","4","1050"
"0","226","65","5","1050"
"0","228","66","1","1051"
"0","229","67","2","1051"
"0","230","68","3","1051"
"0","231","69","4","1051"
"0","232","70","5","1051"
"0","234","71","1","1052"
"0","235","72","2","1052"
"0","236","73","3","1052"
"0","237","74","4","1052"
"0","238","75","5","1052"
"0","240","76","1","1053"
"0","241","77","2","1053"
"0","242","78","3","1053"
"0","243","79","4","1053"
"0","244","80","5","1053"
"0","246","81","1","1054"
"0","247","82","2","1054"
"0","248","83","3","1054"
"0","249","84","4","1054"
"0","250","85","5","1054"
"0","252","86","1","1055"
"0","253","87","2","1055"
"0","254","88","3","1055"
"0","255","89","4","1055"
"0","256","90","5","1055"
"0","258","91","1","1056"
"0","259","92","2","1056"
"0","260","93","3","1056"
"0","261","94","4","1056"
"0","262","95","5","1056"
"0","264","96","1","1057"
"0","265","97","2","1057"
"0","266","98","3","1057"
"0","267","99","4","1057"
"0","268","100","5","1057"
"0","270","101","1","1058"
"0","271","102","2","1058"
"0","272","103","3","1058"
"0","273","104","4","1058"
"0","274","105","5","1058"
"0","276","106","1","1059"
"0","277","107","2","1059"
"0","278","108","3","1059"
"0","279","109","4","1059"
"0","282","111","1","1060"
"0","283","112","2","1060"
"0","284","113","3","1060"
"0","285","114","4","1060"
"0","288","116","1","1061"
"0","289","117","2","1061"
"0","290","118","3","1061"
"0","291","119","4","1061"
"0","294","121","1","1063"
"0","295","122","2","1063"
"0","296","123","3","1063"
"0","297","124","4","1063"
"0","299","125","1","1064"
"0","300","126","2","1064"
"0","301","127","3","1064"
"0","302","128","4","1064"
"0","304","129","1","1065"
"0","305","130","2","1065"
"0","306","131","3","1065"
"0","307","132","4","1065"
"0","308","133","1","1066"
"0","310","134","2","1066"
"0","311","135","3","1066"
"0","312","136","4","1066"
"0","313","137","1","1067"
"0","315","138","2","1067"
"0","316","139","3","1067"
"0","317","140","4","1067"
"0","318","141","1","1068"
"0","320","142","2","1068"
"0","321","143","3","1068"
"0","322","144","4","1068"
"0","323","145","1","1069"
"0","325","146","2","1069"
"0","326","147","3","1069"
"0","327","148","4","1069"
"0","328","149","1","1070"
"0","330","150","2","1070"
"0","331","151","3","1070"
"0","332","152","4","1070"
"0","333","153","1","1071"
"0","335","154","2","1071"
"0","336","155","3","1071"
"0","337","156","4","1071"
"0","338","157","1","1072"
"0","340","158","2","1072"
"0","341","159","3","1072"
"0","342","160","4","1072"
"0","343","161","1","1073"
"0","345","162","2","1073"
"0","346","163","3","1073"
"0","347","164","4","1073"
"0","348","165","1","1074"
"0","350","166","2","1074"
"0","351","167","3","1074"
"0","352","168","4","1074"
"0","353","169","1","1075"
"0","355","170","2","1075"
"0","356","171","3","1075"
"0","357","172","4","1075"
"0","358","173","1","1076"
"0","360","174","2","1076"
"0","361","175","3","1076"
"0","362","176","4","1076"
"0","363","177","1","1077"
"0","365","178","2","1077"
"0","366","179","3","1077"
"0","367","180","4","1077"
