1316259a0edf40e93ec18c1fc0eec1bb3bcf5c8f1ff5dce15401ff8f8c7baac9,d2173c25ce09f20e16e8a6bcf1836f6bb1ef3fd4bb801c4b2a7728ac489d6089,b4dcc10fa3a11da57d93695e464180269d962f5ae0137e23eaec842bed607694,6c933113ebd9cf433ff7229704a3e9fcb2bc700548f04831ee83b6ca009a9c7a,f2a36f6f790b5c7a760daad5da914f8c0fd7d562a450ecbb5daa546294843581,2cdbd7fcd053d34c0bfb2ae3aad73814ce4fcfa74b05168241ea595cac11ae55,a00bfd2237453bba7a36372f303b601e21cf7e3894d491bbe26cd71035c9a59f,ca7613efd7de87eff6b7ca7d30d78f4d60ef4c65cec72088e055a65e8f2ecf9b,6e6c713bb8a9dffc79c8710add81c67e46e97b8ebf1195ff991bd1bda8471eda,99aa2394a01fe099aaa5e2f45a14a4f5a5cf79f1d95291ce4e3a684964a6ffe1,97f02824cac22533a6c8e02cf70f1bedd4ced50c7de01abfa0925cd6ed2df3e6,99f0f1be09416c5bd488c520e4ad782e6fd3e74ffedc37706ef99d64dc886148,19fb38c54f2618acb9afa91378f5aa58a80f25ff2a104f0d6f55d936a4676df7,804073ffd27c3b16bfbd8aa6e512375875157083fc2c6d12483722c1910da0aa
"72001001","1","完成活動任務1-1 (NORMAL)","20001","0","601","72001001","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001101"
"72001002","1","完成活動任務1-2 (NORMAL)","20001","0","601","72001002","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001102"
"72001003","1","完成活動任務1-3 (NORMAL)","20001","0","601","72001003","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001103"
"72001004","1","完成活動任務1-4 (NORMAL)","20001","0","601","72001004","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001104"
"72001005","1","完成活動任務1-5 (NORMAL)","20001","0","601","72001005","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001105"
"72001006","1","完成活動任務1-6 (NORMAL)","20001","0","601","72001006","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001106"
"72001007","1","完成活動任務1-7 (NORMAL)","20001","0","601","72001007","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001107"
"72001008","1","完成活動任務1-8 (NORMAL)","20001","0","601","72001008","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001108"
"72001009","1","完成活動任務1-9 (NORMAL)","20001","0","601","72001009","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001109"
"72001010","1","完成活動任務1-10 (NORMAL)","20001","0","601","72001010","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001110"
"72001011","1","完成活動任務1-11 (NORMAL)","20001","0","601","72001011","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001111"
"72001012","1","完成活動任務1-12 (NORMAL)","20001","0","601","72001012","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001112"
"72001013","1","完成活動任務1-13 (NORMAL)","20001","0","601","72001013","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001113"
"72001014","1","完成活動任務1-14 (NORMAL)","20001","0","601","72001014","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001114"
"72001015","1","完成活動任務1-15 (NORMAL)","20001","0","601","72001015","2030/12/31 14:59:59","8004","9003","2018/01/01 12:00:00","20001102","0","20001115"
"72001016","1","完成活動任務1-1 (HARD)","20001","0","601","72001016","2030/12/31 14:59:59","8005","9003","2018/01/01 12:00:00","20001103","0","20001201"
"72001017","1","完成活動任務1-2 (HARD)","20001","0","601","72001017","2030/12/31 14:59:59","8005","9003","2018/01/01 12:00:00","20001103","0","20001202"
"72001018","1","完成活動任務1-3 (HARD)","20001","0","601","72001018","2030/12/31 14:59:59","8005","9003","2018/01/01 12:00:00","20001103","0","20001203"
