b40b2605fe0195029d27bca0cccfab0d26da17a7a6ae516ee718e8b3f35f0021,e1d95e0e3dac7202b472dc5eb2c770364c64c2900b5c5a0dc52c0c1dfac19a01,60d423dfcdd88b56f77292cc9f5e4fea30feb26548de3338fe2df4d738433dc9,42128b636a45cd8390028e5e9705fe203aca241147a0a9901c2493b18be97b76,690a76caed95e2449fc9a6aa65ad397da78fd54b7772d311434ea465c318420e,86a4b6c6bd19eef362591ec12633377c7b95a4684d4fe168a80636bd3d71c9f6,f53fca5a7185d457b7c1a7f0f646a86d6eaba99152a6f1fb62b70c069992123b,450c00ec270482bd431ce6360f8290bd9cc599ff44842cbece5104d0b4331bc8,ae740dd6d6d146dd50ec0b0d1e9cb557622830b5fdfb3935cc8dd4b39387598d,083fb42c3cf22dff5c0c6c7f43d9b4a2be4dcd3b2443bbe99b5369417d29d9bf,2deb6624c4d0baf2c35683ef5e41853c9bb11e3fbd66fb91e7d0fb2af744c96b,8f78a6d158e0d5e1004f40cc49685e272668e1690b029c9cc66fa5fd3f89a577,f973525bfc7604a06dd79ae83fdaf71869615f57e4bec238b0f6a937097d85ed,8b084eeb95f08b322cd70a1f9f573e4c32e2f805340840e597ae4c2c812e89d8,12e85a3e5306bc9783be6d5da433cc14d5450f922f36bb22987a794a0843721c,e50c285b3846ededcafe2b70ceb2946338af1c4f449553af38fb4874a7c52ed1,5ac0558140847ab5af238787bf11752a5b7d78dad91a69b6d174bb64039be72a,3fa9b7cf85712f937febc77ed9eacb593ee4715b61a6c0693f6999cff465d31d,505837c4318b4cabaac5890fcabda129e5901a6c477ab52210326a90a11b7231,1a48ba1db0aa7cb91c420684c083442695b19b5cd47a3f65dd1dfd38c9859576,59d86971aaabedb008e90493643f535ddd12b3f64a6fe9a1cae9b59a3e7a3c33
"1","0","5","0","0","500","91002","0","1","1","2","2","0","1","0","31043","8","0","1001","90006","500"
"1","0","8","0","0","1000","91002","0","2","2","2","2","0","2","0","31043","8","0","1001","90006","1000"
"1","0","10","0","0","1500","91002","0","3","3","2","2","0","3","0","31043","8","0","1001","90006","1500"
"1","0","12","0","0","2000","91002","0","4","4","2","2","0","4","0","31043","8","0","1001","90006","2000"
"1","0","14","0","0","2500","91002","0","5","5","2","2","0","5","0","31043","8","0","1001","90006","2500"
"1","0","16","0","0","3000","91002","0","6","6","2","2","0","6","0","31043","8","0","1001","90006","3000"
"1","0","18","0","0","3500","91002","0","7","7","2","2","0","7","0","31043","8","0","1001","90006","3500"
"1","0","20","0","0","4000","91002","0","8","9","2","2","0","8","0","31043","8","0","1001","90006","4000"
"1","0","25","0","0","4500","91002","0","9","-1","2","2","0","10","0","31043","8","0","1001","90006","4500"
"1","0","5","0","0","500","91002","0","10","1","2","2","0","1","0","31022","8","0","1002","90006","500"
"1","0","8","0","0","1000","91002","0","11","2","2","2","0","2","0","31022","8","0","1002","90006","1000"
"1","0","10","0","0","1500","91002","0","12","3","2","2","0","3","0","31022","8","0","1002","90006","1500"
"1","0","12","0","0","2000","91002","0","13","4","2","2","0","4","0","31022","8","0","1002","90006","2000"
"1","0","14","0","0","2500","91002","0","14","5","2","2","0","5","0","31022","8","0","1002","90006","2500"
"1","0","16","0","0","3000","91002","0","15","6","2","2","0","6","0","31022","8","0","1002","90006","3000"
"1","0","18","0","0","3500","91002","0","16","7","2","2","0","7","0","31022","8","0","1002","90006","3500"
"1","0","20","0","0","4000","91002","0","17","8","2","2","0","8","0","31022","8","0","1002","90006","4000"
"1","0","25","0","0","4500","91002","0","18","9","2","2","0","9","0","31022","8","0","1002","90006","4500"
"1","0","30","0","0","5000","91002","0","19","-1","2","2","0","10","0","31022","8","0","1002","90006","5000"
"1","0","5","0","0","500","91002","0","20","1","2","2","0","1","0","31042","8","0","1003","90006","500"
"1","0","8","0","0","1000","91002","0","21","2","2","2","0","2","0","31042","8","0","1003","90006","1000"
"1","0","10","0","0","1500","91002","0","22","3","2","2","0","3","0","31042","8","0","1003","90006","1500"
"1","0","12","0","0","2000","91002","0","23","4","2","2","0","4","0","31042","8","0","1003","90006","2000"
"1","0","14","0","0","2500","91002","0","24","5","2","2","0","5","0","31042","8","0","1003","90006","2500"
"1","0","16","0","0","3000","91002","0","25","6","2","2","0","6","0","31042","8","0","1003","90006","3000"
"1","0","18","0","0","3500","91002","0","26","7","2","2","0","7","0","31042","8","0","1003","90006","3500"
"1","0","20","0","0","4000","91002","0","27","8","2","2","0","8","0","31042","8","0","1003","90006","4000"
