f973525bfc7604a06dd79ae83fdaf71869615f57e4bec238b0f6a937097d85ed,60d423dfcdd88b56f77292cc9f5e4fea30feb26548de3338fe2df4d738433dc9,e1d95e0e3dac7202b472dc5eb2c770364c64c2900b5c5a0dc52c0c1dfac19a01,e50c285b3846ededcafe2b70ceb2946338af1c4f449553af38fb4874a7c52ed1,ae740dd6d6d146dd50ec0b0d1e9cb557622830b5fdfb3935cc8dd4b39387598d,42128b636a45cd8390028e5e9705fe203aca241147a0a9901c2493b18be97b76,083fb42c3cf22dff5c0c6c7f43d9b4a2be4dcd3b2443bbe99b5369417d29d9bf,450c00ec270482bd431ce6360f8290bd9cc599ff44842cbece5104d0b4331bc8,1a48ba1db0aa7cb91c420684c083442695b19b5cd47a3f65dd1dfd38c9859576,2deb6624c4d0baf2c35683ef5e41853c9bb11e3fbd66fb91e7d0fb2af744c96b,f53fca5a7185d457b7c1a7f0f646a86d6eaba99152a6f1fb62b70c069992123b,3fa9b7cf85712f937febc77ed9eacb593ee4715b61a6c0693f6999cff465d31d,5ac0558140847ab5af238787bf11752a5b7d78dad91a69b6d174bb64039be72a,12e85a3e5306bc9783be6d5da433cc14d5450f922f36bb22987a794a0843721c,8f78a6d158e0d5e1004f40cc49685e272668e1690b029c9cc66fa5fd3f89a577,8b084eeb95f08b322cd70a1f9f573e4c32e2f805340840e597ae4c2c812e89d8,b40b2605fe0195029d27bca0cccfab0d26da17a7a6ae516ee718e8b3f35f0021,86a4b6c6bd19eef362591ec12633377c7b95a4684d4fe168a80636bd3d71c9f6,690a76caed95e2449fc9a6aa65ad397da78fd54b7772d311434ea465c318420e,505837c4318b4cabaac5890fcabda129e5901a6c477ab52210326a90a11b7231,59d86971aaabedb008e90493643f535ddd12b3f64a6fe9a1cae9b59a3e7a3c33
"0","5","0","31043","1","0","1","0","90006","2","91002","0","8","0","2","1","1","500","0","1001","500"
"0","8","0","31043","2","0","2","0","90006","2","91002","0","8","0","2","2","1","1000","0","1001","1000"
"0","10","0","31043","3","0","3","0","90006","2","91002","0","8","0","2","3","1","1500","0","1001","1500"
"0","12","0","31043","4","0","4","0","90006","2","91002","0","8","0","2","4","1","2000","0","1001","2000"
"0","14","0","31043","5","0","5","0","90006","2","91002","0","8","0","2","5","1","2500","0","1001","2500"
"0","16","0","31043","6","0","6","0","90006","2","91002","0","8","0","2","6","1","3000","0","1001","3000"
"0","18","0","31043","7","0","7","0","90006","2","91002","0","8","0","2","7","1","3500","0","1001","3500"
"0","20","0","31043","8","0","9","0","90006","2","91002","0","8","0","2","8","1","4000","0","1001","4000"
"0","25","0","31043","9","0","-1","0","90006","2","91002","0","8","0","2","10","1","4500","0","1001","4500"
"0","5","0","31022","10","0","1","0","90006","2","91002","0","8","0","2","1","1","500","0","1002","500"
"0","8","0","31022","11","0","2","0","90006","2","91002","0","8","0","2","2","1","1000","0","1002","1000"
"0","10","0","31022","12","0","3","0","90006","2","91002","0","8","0","2","3","1","1500","0","1002","1500"
"0","12","0","31022","13","0","4","0","90006","2","91002","0","8","0","2","4","1","2000","0","1002","2000"
"0","14","0","31022","14","0","5","0","90006","2","91002","0","8","0","2","5","1","2500","0","1002","2500"
"0","16","0","31022","15","0","6","0","90006","2","91002","0","8","0","2","6","1","3000","0","1002","3000"
"0","18","0","31022","16","0","7","0","90006","2","91002","0","8","0","2","7","1","3500","0","1002","3500"
"0","20","0","31022","17","0","8","0","90006","2","91002","0","8","0","2","8","1","4000","0","1002","4000"
"0","25","0","31022","18","0","9","0","90006","2","91002","0","8","0","2","9","1","4500","0","1002","4500"
"0","30","0","31022","19","0","-1","0","90006","2","91002","0","8","0","2","10","1","5000","0","1002","5000"
"0","5","0","31042","20","0","1","0","90006","2","91002","0","8","0","2","1","1","500","0","1003","500"
"0","8","0","31042","21","0","2","0","90006","2","91002","0","8","0","2","2","1","1000","0","1003","1000"
"0","10","0","31042","22","0","3","0","90006","2","91002","0","8","0","2","3","1","1500","0","1003","1500"
"0","12","0","31042","23","0","4","0","90006","2","91002","0","8","0","2","4","1","2000","0","1003","2000"
"0","14","0","31042","24","0","5","0","90006","2","91002","0","8","0","2","5","1","2500","0","1003","2500"
"0","16","0","31042","25","0","6","0","90006","2","91002","0","8","0","2","6","1","3000","0","1003","3000"
"0","18","0","31042","26","0","7","0","90006","2","91002","0","8","0","2","7","1","3500","0","1003","3500"
"0","20","0","31042","27","0","8","0","90006","2","91002","0","8","0","2","8","1","4000","0","1003","4000"
"0","25","0","31042","28","0","9","0","90006","2","91002","0","8","0","2","9","1","4500","0","1003","4500"
"0","30","0","31042","29","0","-1","0","90006","2","91002","0","8","0","2","10","1","5000","0","1003","5000"
"0","5","0","31018","30","0","1","0","90006","2","91002","0","8","0","2","1","1","500","0","1004","500"
"0","8","0","31018","31","0","2","0","90006","2","91002","0","8","0","2","2","1","1000","0","1004","1000"
"0","10","0","31018","32","0","3","0","90006","2","91002","0","8","0","2","3","1","1500","0","1004","1500"
"0","12","0","31018","33","0","4","0","90006","2","91002","0","8","0","2","4","1","2000","0","1004","2000"
"0","14","0","31018","34","0","5","0","90006","2","91002","0","8","0","2","5","1","2500","0","1004","2500"
"0","16","0","31018","35","0","6","0","90006","2","91002","0","8","0","2","6","1","3000","0","1004","3000"
"0","18","0","31018","36","0","7","0","90006","2","91002","0","8","0","2","7","1","3500","0","1004","3500"
"0","20","0","31018","37","0","8","0","90006","2","91002","0","8","0","2","8","1","4000","0","1004","4000"
"0","25","0","31018","38","0","9","0","90006","2","91002","0","8","0","2","9","1","4500","0","1004","4500"
"0","30","0","31018","39","0","-1","0","90006","2","91002","0","8","0","2","10","1","5000","0","1004","5000"
"0","5","0","31025","40","0","1","0","90006","2","91002","0","8","0","2","1","1","500","0","1005","500"
"0","8","0","31025","41","0","2","0","90006","2","91002","0","8","0","2","2","1","1000","0","1005","1000"
"0","10","0","31025","42","0","3","0","90006","2","91002","0","8","0","2","3","1","1500","0","1005","1500"
"0","12","0","31025","43","0","4","0","90006","2","91002","0","8","0","2","4","1","2000","0","1005","2000"
"0","14","0","31025","44","0","5","0","90006","2","91002","0","8","0","2","5","1","2500","0","1005","2500"
"0","16","0","31025","45","0","6","0","90006","2","91002","0","8","0","2","6","1","3000","0","1005","3000"
"0","18","0","31025","46","0","7","0","90006","2","91002","0","8","0","2","7","1","3500","0","1005","3500"
"0","20","0","31025","47","0","8","0","90006","2","91002","0","8","0","2","8","1","4000","0","1005","4000"
"0","25","0","31025","48","0","9","0","90006","2","91002","0","8","0","2","9","1","4500","0","1005","4500"
"0","30","0","31025","49","0","-1","0","90006","2","91002","0","8","0","2","10","1","5000","0","1005","5000"
"0","5","0","31043","50","0","1","0","90006","2","91002","0","8","0","2","1","1","500","0","1006","500"
"0","8","0","31043","51","0","2","0","90006","2","91002","0","8","0","2","2","1","1000","0","1006","1000"
"0","10","0","31043","52","0","3","0","90006","2","91002","0","8","0","2","3","1","1500","0","1006","1500"
"0","12","0","31043","53","0","4","0","90006","2","91002","0","8","0","2","4","1","2000","0","1006","2000"
"0","14","0","31043","54","0","5","0","90006","2","91002","0","8","0","2","5","1","2500","0","1006","2500"
"0","16","0","31043","55","0","6","0","90006","2","91002","0","8","0","2","6","1","3000","0","1006","3000"
"0","18","0","31043","56","0","7","0","90006","2","91002","0","8","0","2","7","1","3500","0","1006","3500"
"0","20","0","31043","57","0","8","0","90006","2","91002","0","8","0","2","8","1","4000","0","1006","4000"
"0","25","0","31043","58","0","9","0","90006","2","91002","0","8","0","2","9","1","4500","0","1006","4500"
"0","30","0","31043","59","0","-1","0","90006","2","91002","0","8","0","2","10","1","5000","0","1006","5000"
"0","5","0","31022","60","0","1","0","90006","2","91002","0","8","0","2","1","1","500","0","1007","500"
"0","8","0","31022","61","0","2","0","90006","2","91002","0","8","0","2","2","1","1000","0","1007","1000"
"0","10","0","31022","62","0","3","0","90006","2","91002","0","8","0","2","3","1","1500","0","1007","1500"
"0","12","0","31022","63","0","4","0","90006","2","91002","0","8","0","2","4","1","2000","0","1007","2000"
