505837c4318b4cabaac5890fcabda129e5901a6c477ab52210326a90a11b7231,1a48ba1db0aa7cb91c420684c083442695b19b5cd47a3f65dd1dfd38c9859576,59d86971aaabedb008e90493643f535ddd12b3f64a6fe9a1cae9b59a3e7a3c33,8b084eeb95f08b322cd70a1f9f573e4c32e2f805340840e597ae4c2c812e89d8,f973525bfc7604a06dd79ae83fdaf71869615f57e4bec238b0f6a937097d85ed,12e85a3e5306bc9783be6d5da433cc14d5450f922f36bb22987a794a0843721c,5ac0558140847ab5af238787bf11752a5b7d78dad91a69b6d174bb64039be72a,690a76caed95e2449fc9a6aa65ad397da78fd54b7772d311434ea465c318420e,86a4b6c6bd19eef362591ec12633377c7b95a4684d4fe168a80636bd3d71c9f6,450c00ec270482bd431ce6360f8290bd9cc599ff44842cbece5104d0b4331bc8,8f78a6d158e0d5e1004f40cc49685e272668e1690b029c9cc66fa5fd3f89a577,60d423dfcdd88b56f77292cc9f5e4fea30feb26548de3338fe2df4d738433dc9,e1d95e0e3dac7202b472dc5eb2c770364c64c2900b5c5a0dc52c0c1dfac19a01,42128b636a45cd8390028e5e9705fe203aca241147a0a9901c2493b18be97b76,f53fca5a7185d457b7c1a7f0f646a86d6eaba99152a6f1fb62b70c069992123b,e50c285b3846ededcafe2b70ceb2946338af1c4f449553af38fb4874a7c52ed1,083fb42c3cf22dff5c0c6c7f43d9b4a2be4dcd3b2443bbe99b5369417d29d9bf,ae740dd6d6d146dd50ec0b0d1e9cb557622830b5fdfb3935cc8dd4b39387598d,b40b2605fe0195029d27bca0cccfab0d26da17a7a6ae516ee718e8b3f35f0021,2deb6624c4d0baf2c35683ef5e41853c9bb11e3fbd66fb91e7d0fb2af744c96b,3fa9b7cf85712f937febc77ed9eacb593ee4715b61a6c0693f6999cff465d31d
"1001","90006","500","1","0","0","8","0","500","0","2","5","0","0","91002","31043","1","1","1","2","0"
"1001","90006","1000","2","0","0","8","0","1000","0","2","8","0","0","91002","31043","2","2","1","2","0"
"1001","90006","1500","3","0","0","8","0","1500","0","2","10","0","0","91002","31043","3","3","1","2","0"
"1001","90006","2000","4","0","0","8","0","2000","0","2","12","0","0","91002","31043","4","4","1","2","0"
"1001","90006","2500","5","0","0","8","0","2500","0","2","14","0","0","91002","31043","5","5","1","2","0"
"1001","90006","3000","6","0","0","8","0","3000","0","2","16","0","0","91002","31043","6","6","1","2","0"
"1001","90006","3500","7","0","0","8","0","3500","0","2","18","0","0","91002","31043","7","7","1","2","0"
"1001","90006","4000","8","0","0","8","0","4000","0","2","20","0","0","91002","31043","9","8","1","2","0"
"1001","90006","4500","10","0","0","8","0","4500","0","2","25","0","0","91002","31043","-1","9","1","2","0"
"1002","90006","500","1","0","0","8","0","500","0","2","5","0","0","91002","31022","1","10","1","2","0"
"1002","90006","1000","2","0","0","8","0","1000","0","2","8","0","0","91002","31022","2","11","1","2","0"
"1002","90006","1500","3","0","0","8","0","1500","0","2","10","0","0","91002","31022","3","12","1","2","0"
"1002","90006","2000","4","0","0","8","0","2000","0","2","12","0","0","91002","31022","4","13","1","2","0"
"1002","90006","2500","5","0","0","8","0","2500","0","2","14","0","0","91002","31022","5","14","1","2","0"
"1002","90006","3000","6","0","0","8","0","3000","0","2","16","0","0","91002","31022","6","15","1","2","0"
"1002","90006","3500","7","0","0","8","0","3500","0","2","18","0","0","91002","31022","7","16","1","2","0"
"1002","90006","4000","8","0","0","8","0","4000","0","2","20","0","0","91002","31022","8","17","1","2","0"
"1002","90006","4500","9","0","0","8","0","4500","0","2","25","0","0","91002","31022","9","18","1","2","0"
